,Train,2012
0,Total U.S.-Mexican border,8957
1,Total top 5 gateways,8490
2,"Laredo, TX",3492
3,"Eagle Pass, TX",2349
4,"El Paso, TX",1392
5,"Nogales, AZ",657
6,"Brownsville, TX",600
