,Truck Container,2014
0,Total U.S.-Canadian border,5579788
1,Total top 5 gateways,3852285
2,"Detroit, MI",1475518
3,"Buffalo-Niagara, NY",954145
4,"Port Huron, MI",768121
5,"Blaine, WA",367979
6,"Champlain-Rouse Pt., NY",286522
