,Personal vehicle passengers ─ top 5 gateways,2011
0,"San Ysidro, CA",21522906
1,"El Paso, TX",14940566
2,"Hidalgo, TX",9040470
3,"Laredo, TX",8458293
4,"Brownsville, TX",7972023
