,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Number in use,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Locomotives,355,419,291,318,316,336,360,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274,282,287,485,418
2,Cars,1913,2128,1854,1863,1786,1796,1853,1852,1722,1730,1728,1962,1992,1894,2084,2896,1623,1211,1186,1191,1164,1177,1214,1274,1301,2090,1447
3,Miles traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Train-miles,30,30,30,33,34,34,35,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,37,37,38,38
5,Car-miles,253,235,251,301,313,307,303,304,292,276,288,312,342,368,378,379,332,308,265,264,267,272,283,295,296,319,325
6,Train Energy Consumption,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Electric (million of kWhs),180,254,295,330,303,300,301,309,336,363,390,416,443,470,456,518,537,551,531,549,578,582,565,559,555,549,525
8,Diesel (million gallons),63,64,65,82,82,82,83,74,72,71,76,76,79,95,97,84,75,69,65,62,62,63,62,63,63,63,66
9,Average miles traveled per car (thousands),132,110,135,162,175,171,164,164,170,160,167,159,172,194,181,131,204,255,223,222,229,231,233,231,228,153,225
