,Personal vehicles – top 5 gateways,2007
0,"Buffalo-Niagara Falls, NY",5977040
1,"Detroit, MI",5471657
2,"Blaine, WA",2763389
3,"Port Huron, MI",1704479
4,"Calais, ME",1032840
