,Train,2009
0,Total U.S.-Mexican border,7475
1,Total top 5 gateways,6969
2,"Laredo, TX",2716
3,"Eagle Pass, TX",1704
4,"El Paso, TX",1502
5,"Nogales, AZ",563
6,"Brownsville, TX",484
