,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,TOTAL all bridges,572205,574036,572197,573716,576460,581135,581863,582751,582976,585542,587135,589673,590868,591922,593812,595362,597339,599765,601396,603259,604460,605087,607378,607708,610749,611845
1,Urban,108770,112363,115312,117488,121141,122537,124950,127633,128312,130339,131778,133397,135339,135415,137598,142408,146041,151171,153407,156305,157571,158864,160605,163220,166292,168753
2,Rural,463435,461673,456885,456228,455319,458598,456913,455118,454664,455203,455357,456276,455529,456507,456214,452954,451298,448594,447989,446954,446889,446223,446773,444488,444457,443092
3,"Structurally deficient bridges, total",137865,134534,118698,111980,107683,104317,101518,98475,93072,88150,89415,86107,83992,82244,79949,77835,75401,74056,72870,72397,70427,68755,66749,63510,61365,58791
4,Urban,16847,17032,16323,15932,15692,15205,15094,14846,14073,12967,13442,13060,12885,12670,12540,12944,12884,13291,13244,13135,12736,12271,11967,11470,11093,10660
5,Rural,121018,117502,102375,96048,91991,89112,86424,83629,78999,75183,75973,73047,71107,69574,67409,64891,62517,60765,59626,59262,57691,56484,54782,52040,50272,48131
6,"Functionally obsolete bridges, total",100355,97593,80393,80000,79832,80950,81208,77410,79500,81900,91132,91309,90775,90296,90062,89989,89564,89066,89175,87455,85857,84832,84748,84344,84525,84124
7,Urban,30266,30842,26243,26511,27024,27487,28087,26865,27588,29065,33214,33475,33691,33952,34497,35711,36546,37654,38228,38295,38067,38231,38491,38832,39215,39476
8,Rural,70089,66751,54150,53489,52808,53463,53121,50545,51912,52835,57918,57834,57084,56344,55565,54278,53018,51412,50947,49160,47790,46601,46257,45512,45310,44648
