,Bus passengers – top 5 gateways,2014
0,"Buffalo-Niagara Falls, NY",590406
1,"Champlain-Rouses Point, NY",332621
2,"Detroit, MI",305850
3,"Blaine, WA",260497
4,"Skagway, AK",184949
