,Â,1961,1971,1981,1991,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total world,11391,26453,27407,35288,35717,36100,37318,38481,37286,38816,40732,40144,41215,41782,42832,44892,48136,49997,48788,42296,50938,51998,55220,56432,56417,55770
1,U.S. percent of world,48.5,32.5,22.8,15.4,18.5,17.5,16.2,15.3,14.7,14.4,13.4,12.0,12.0,10.7,9.7,9.5,9.0,7.7,7.6,5.2,5.4,5.7,7.4,7.7,7.5,7.5
2,Argentina,78,193,139,114,338,227,269,366,353,225,239,170,111,110,171,183,263,351,400,380,516,577,497,507,364,309
3,Australia,182,393,352,269,323,314,303,320,350,294,324,286,307,366,341,320,298,306,286,188,205,190,190,181,150,153
4,Austria,8,1,7,14,45,59,97,98,91,124,116,131,131,119,227,231,248,200,125,57,86,130,124,147,135,104
5,Belgium,U,279,216,253,409,386,368,356,319,218,912,1059,937,792,852,895,882,790,680,525,528,566,507,480,481,368
6,Brazil,98,342,406,705,1248,1297,1459,1680,1244,1102,1348,1482,1521,1505,1756,2009,2092,2388,2561,2578,2828,2340,2626,2745,2317,1990
7,Canada,328,1083,803,1060,1214,1337,1279,1374,1122,1626,1551,1275,1369,1340,1336,1407,1428,1342,1195,822,967,990,1040,965,914,889
8,China,U,U,U,81,250,321,382,482,507,570,620,704,1091,2019,2316,3586,5161,5185,4971,7322,9494,10053,10705,12059,12500,11991
9,Czech Republicb,59,149,181,173,174,208,263,321,368,348,428,457,441,436,443,599,849,926,933,968,1070,1192,1172,1127,1244,1297
10,Finland,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,46,80
11,France,988,2694,2612,3188,3175,3051,3148,2259,2603,2676,2883,3182,3284,3220,2913,3113,2728,2551,2145,1815,1914,1914,1683,1479,1503,1570
12,Germany,1802,3829,3758,4677,4094,4360,4540,4678,5348,5310,4803,5301,4799,5145,5192,5350,5399,5709,5532,4965,5552,5872,5388,5440,5604,5708
13,India,22,42,42,179,237,330,396,410,384,519,514,548,706,907,940,999,1186,1377,1507,1781,2317,2479,2520,2370,2384,2545
14,Italy,694,1701,1257,1633,1341,1422,1318,1563,1402,1410,1422,1272,1126,1026,834,726,893,911,659,661,573,486,397,388,401,663
15,Japan,250,3718,6974,9753,7802,7611,7864,8491,8056,8100,8363,8118,8619,8478,8720,9017,9757,9945,9916,6862,8307,7159,8554,8189,8277,7831
16,Malaysia,U,U,U,102,137,164,176,280,126,200,280,345,U,U,U,U,U,U,U,U,U,U,U,U,U,U
17,Mexico,U,154,355,720,857,699,798,855,953,994,1130,1001,960,774,782,846,1098,1209,1217,943,1386,1657,1810,1772,1916,1968
18,Netherlands,13,78,78,85,92,100,145,197,243,262,215,189,182,163,188,115,87,62,59,51,48,41,0,0,29,57
19,Poland,14,86,248,168,349,347,353,295,460,651,533,367,287,285,516,527,609,762,864,833,799,722,534,475,471,535
20,Portugal,U,U,U,U,38,41,119,186,181,187,191,177,183,166,151,138,143,134,132,102,115,142,116,110,118,115
21,Romania,U,U,U,84,85,71,76,108,104,88,58,57,U,U,U,U,U,U,U,U,U,U,U,U,U,U
22,Russia,149,518,1324,1308,796,838,868,982,U,946,966,1022,981,1010,1110,1068,1176,1293,1470,596,1208,1738,1969,1920,1693,1216
23,Slovakia,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,218,295,571,576,463,563,586,844,906,902,957
24,South Africa,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,325,334,276,321,223,295,312,275,265,277,344
25,South Korea,U,U,69,1158,1806,2003,2265,2308,1625,2362,2602,2471,2651,2768,2054,2195,2298,2509,2436,2375,2792,2902,2868,2639,2515,2375
26,Spain,55,453,855,1943,1974,2131,2213,2342,2217,2029,2445,2211,2267,2399,2403,2174,2187,2309,2014,1827,1951,1868,1595,1755,1898,2219
27,Sweden,110,287,258,269,353,388,368,376,368,385,260,248,238,280,290,289,289,317,252,129,177,189,163,161,154,189
28,Taiwan,U,U,U,266,291,282,265,268,293,255,265,195,245,265,300,324,211,213,139,184,U,U,U,U,U,U
29,Turkey,U,13,25,196,213,233,208,243,U,U,297,175,204,294,447,454,546,635,622,511,603,640,577,634,733,791
30,United Kingdom,1004,1742,955,1237,1467,1532,1686,1698,1748,1787,1629,1492,1628,1658,1647,1596,1442,1535,1448,999,1274,1344,1464,1509,1528,1588
31,United States,5522,8584,6253,5440,6601,6326,6035,5878,5492,5578,5471,4808,4957,4453,4166,4266,4312,3867,3731,2196,2731,2976,4106,4369,4253,4162
32,Venezuela,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,95,102,113,78,59,61,58,54,34,7,5
33,"Yugoslavia, Federal Republic ofc",15,114,240,213,8,8,9,11,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
