,Personal vehicles ─ top 5 gateways,2002
0,"San Ysidro, CA",16441766
1,"El Paso, TX",13095153
2,"Hidalgo, TX",8136100
3,"Brownsville, TX",7896809
4,"Laredo, TX",6921709
