,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL lane-kilometers,12749503,12903711,12956959,13016041,13074455,13087501,13104911,13129436,13162268,13264917,13133628,13161188,13235639,13280089,13349784,13381890,13420032,13472974,13551624,13610790,13653625,13747278,13810035,13788245,13850020,13930595,14107589
1,"Urban, total",2245429,2482154,2688403,2708127,2830403,2902894,2938464,2961365,2989596,3029873,3044248,3051294,3082703,3165650,3229046,3393543,3539197,3642525,3715335,3772074,3849593,3931200,3964415,3959806,4027161,4250054,4312552
2,Interstate,77986,92207,100124,101109,108254,111341,113993,114870,115535,116286,117492,117954,118950,119867,120873,128089,133456,138381,141532,143666,146069,146368,148546,149208,151432,159219,165024
3,Other arterialb,536995,598111,642733,647536,673041,700686,712093,717491,723368,730035,730739,724866,734152,736347,744893,779198,813247,843036,857673,869350,888965,915059,918165,903600,914828,936475,923032
4,Collectorc,233561,261320,270000,266005,283465,289123,295078,297780,300823,303925,301805,299876,303474,305032,307132,333707,350274,362984,373131,376350,390612,406331,414060,405620,412239,436343,479744
5,Local,1396888,1530515,1675546,1693477,1765643,1801744,1817300,1831224,1849870,1879627,1894212,1908598,1926127,2004404,2056148,2152549,2242220,2298124,2342999,2382708,2423947,2463442,2483644,2501377,2548662,2718016,2744752
6,"Rural, total",10504074,10421557,10268556,10307914,10244052,10184606,10166447,10168070,10172671,10235043,10089380,10109894,10152936,10114439,10120738,9988347,9880835,9830449,9836290,9838716,9804032,9816078,9845621,9828439,9822859,9680541,9795036
7,Interstate,210792,212284,218663,219680,214794,212655,211252,212298,213983,214308,214415,215971,216597,216713,216569,209833,205817,202076,200170,198773,197668,196144,198916,199293,200791,194511,191010
8,Other arterialb,816095,820773,832581,833339,847664,846364,852659,854089,857549,864200,865816,867908,869781,872807,875501,859837,856243,852236,853147,853718,853928,864848,872507,866282,866324,853884,851236
9,Collectorc,2303401,2360568,2361876,2361810,2319815,2308561,2304885,2281129,2279896,2283075,2278467,2275537,2276686,2275862,2267167,2234598,2222041,2210189,2202341,2203997,2198491,2219178,2225165,2203875,2199352,2187047,2157542
10,Local,7173786,7027931,6855435,6893084,6861779,6817027,6797650,6820554,6821243,6873460,6730682,6750479,6789872,6749058,6761501,6684079,6596733,6565948,6580632,6582228,6553946,6535908,6549033,6558989,6556391,6445099,6595249
