,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL freight,997.8,1154.8,1389.5,1537.7,1813.4,1622.4,1963.0,1897.9,1934.2,1930.7,2009.2,2032.5,2072.1,2116.6,2122.4,2107.0,2199.6,2171.2,2123.1,2172.0,2315.1,2293.0,2348.2,2326.0,2247.2,2005.6,2117.7,2147.7,2224.7,2192.1,2233.7
1,Foreign,307.8,402.5,527.0,679.2,835.9,702.5,944.9,919.5,941.2,961.7,1012.2,1040.9,1073.6,1107.3,1129.8,1143.8,1229.0,1225.4,1196.8,1250.2,1365.2,1359.6,1419.7,1399.3,1379.6,1228.0,1307.2,1342.2,1421.9,1383.6,1383.6
2,Imports,191.7,244.8,307.8,432.3,469.5,374.4,544.3,503.8,532.3,588.6,652.7,610.2,664.6,715.1,762.7,780.9,852.5,863.5,848.2,911.5,988.0,995.1,1025.9,975.8,906.0,779.2,801.1,788.5,729.8,688.3,690.3
3,Exports,116.1,157.8,219.2,246.9,366.4,328.1,400.6,415.7,408.9,373.1,359.5,430.6,409.0,392.2,367.1,362.9,376.5,362.0,348.7,338.7,377.2,364.5,393.8,423.5,473.6,448.8,506.1,553.8,560.1,566.9,587.7
4,Domestic,690.0,752.2,862.5,858.5,977.5,920.0,1018.1,978.4,993.0,969.0,997.0,991.6,998.5,1009.3,992.6,963.2,970.5,945.7,926.2,921.8,949.9,933.4,928.5,926.7,867.6,777.5,810.5,805.5,802.8,808.4,850.1
5,Inland,264.0,335.3,428.3,457.2,485.3,485.0,564.8,544.7,563.4,550.9,561.0,562.7,564.3,572.0,567.0,566.6,570.1,562.3,551.6,553.0,568.1,566.1,569.4,564.2,533.9,474.0,513.1,502.2,512.6,514.1,543.8
6,Coastal,189.8,182.8,216.3,210.4,299.0,281.0,270.9,267.2,258.7,246.5,251.3,241.9,242.6,238.7,226.5,207.6,205.9,202.9,196.3,202.7,200.1,193.8,183.1,186.7,169.0,152.2,149.2,146.0,138.0,149.6,156.0
7,Great Lakes,140.7,139.4,142.5,117.3,104.4,83.4,99.9,93.8,97.4,99.7,104.1,105.3,104.2,111.3,110.8,103.3,103.7,90.7,92.0,81.4,93.9,87.3,87.9,86.8,82.0,57.3,73.1,79.7,76.6,77.4,79.8
8,Intraport,94.5,93.3,73.9,71.0,85.4,67.4,78.4,68.6,69.7,67.5,75.2,75.4,80.7,81.5,81.7,80.4,85.8,84.6,81.7,78.8,82.8,81.8,82.9,84.4,78.9,89.8,71.0,73.7,73.5,66.2,69.4
9,Intraterritory,0.9,1.3,1.5,2.6,3.3,3.1,4.1,4.1,3.9,4.5,5.4,6.2,6.6,5.7,6.5,5.3,5.0,5.3,4.6,5.8,5.0,4.4,5.3,4.7,3.8,4.2,4.2,3.8,2.1,1.1,1.2
