,Â,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) old2013,2014
0,TOTAL all sources,31.22,28.04,25.93,23.31,23.08,22.37,22.08,21.77,21.35,18.62,18.39,18.84,18.94,17.55,16.35,15.93,15.03,14.81,14.57,14.55,13.12,11.7,10.32,9.09,7.73,6.48,5.19,5.1,4.99
1,Highway vehicles,0.27,0.33,0.39,0.46,0.50,0.47,0.44,0.40,0.37,0.34,0.30,0.30,0.30,0.30,0.26,0.25,0.29,0.25,0.21,0.17,0.11,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02
2,Off-Highway,0.28,0.3,0.32,0.35,0.37,0.38,0.39,0.39,0.40,0.41,0.41,0.42,0.43,0.48,0.44,0.44,0.73,0.65,0.58,0.51,0.4,0.29,0.2,0.21,0.12,0.13,0.11,0.09,0.08
3,Fuel combustion,23.46,22.66,21.39,20.02,20.29,19.80,19.49,19.25,18.89,16.23,16.25,16.65,16.74,15.34,14.16,13.74,12.8,12.7,12.59,12.72,11.54,10.37,9.15,7.97,6.75,5.52,4.25,4.18,4.09
4,Industrial processesa,7.09,4.68,3.77,(R) 2.43,(R) 1.85,(R) 1.67,(R) 1.71,(R) 1.65,(R) 1.61,(R) 1.59,(R) 1.37,(R) 1.42,(R) 1.42,(R) 1.32,(R) 1.38,(R) 1.42,1.05,1.03,1.01,0.99,0.91,0.84,0.76,0.7,0.64,0.58,0.58,0.58,0.58
5,Waste disposal and recycling,0.01,0.05,0.03,0.03,0.04,0.04,0.04,0.07,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
6,Miscellaneous,0.11,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.07,0.07,0.04,0.13,0.14,0.15,0.13,0.13,0.13,0.14,0.15,0.16,0.2,0.2,0.2,0.2
