,Rail Container,2015
0,Total U.S.-Mexican border,938540
1,Total top 5 gateways,928642
2,"Laredo, TX",392416
3,"Eagle Pass, TX",274232
4,"El Paso, TX",109120
5,"Nogales, AZ",79315
6,"Brownsville, TX",73559
