,Train passengers – top 5 gateways,2003
0,"Skagway, AK",44430
1,"Blaine, WA",43515
2,"Buffalo-Niagara Falls, NY",37240
3,"Champlain-Rouses Point, NY",28325
4,"Port Huron, MI",25485
