,Rail Container,2008
0,Total U.S.-Canadian border,1898581
1,Total top 5 gateways,1329412
2,"Port Huron, MI",426661
3,"International Falls, MN",335442
4,"Portal, ND",235589
5,"Detroit, MI",210255
6,"Buffalo-Niagara, NY",121465
