,Truck,2007
0,Total U.S.-Canadian border,6477761
1,Total top 5 gateways,4375717
2,"Detroit, MI",1773465
3,"Buffalo-Niagara, NY",1088438
4,"Port Huron, MI",770282
5,"Champlain-Rouse Pt., NY",387033
6,"Blaine, WA",356499
