,Personal vehicle passengers ─ top 5 gateways,2002
0,"San Ysidro, CA",36171884
1,"El Paso, TX",26363164
2,"Hidalgo, TX",17613527
3,"Laredo, TX",15915545
4,"Brownsville, TX",15820595
