,Personal vehicle passengers – top 5 gateways,2014
0,"Buffalo-Niagara Falls, NY",11617483
1,"Blaine, WA",9711226
2,"Detroit, MI",7049603
3,"Port Huron, MI",3864165
4,"Champlain-Rouses Point, NY",2561398
