,Train,2008
0,Total U.S.-Mexican border,10262
1,Total top 5 gateways,9563
2,"Laredo, TX",3921
3,"El Paso, TX",2473
4,"Eagle Pass, TX",1654
5,"Brownsville, TX",875
6,"Nogales, AZ",640
