,Truck,2006
0,Total U.S.-Canadian border,6649249
1,Total top 5 gateways,4499055
2,"Detroit, MI",1770008
3,"Buffalo-Niagara, NY",1117789
4,"Port Huron, MI",835927
5,"Champlain-Rouse Pt., NY",409372
6,"Blaine, WA",365959
