,Buses – top 5 gateways,2005
0,"Buffalo-Niagara Falls, NY",45289
1,"Detroit, MI",37244
2,"Blaine, WA",12720
3,"Skagway, AK",10257
4,"Sault Ste. Marie, MI",10243
