,"All U.S.-Canadian land gateways  2002  All personal vehicle passengers  68,986,616  All personal vehicles  32,538,817  All bus passengers  4,212,863  All pedestrians  1,081,682  All train passengers  255,134  All buses  160,961",All U.S.-Canadian land gateways,2002,All personal vehicle passengers,"68,986,616",All personal vehicles,"32,538,817",All bus passengers,"4,212,863",All pedestrians,"1,081,682",All train passengers,"255,134",All buses,"160,961","All U.S.-Canadian land gateways  2003  All personal vehicle passengers  62,136,536  All personal vehicles  30,245,165  All bus passengers  3,779,970  All pedestrians  937,493  All train passengers  234,796  All buses  156,589",All U.S.-Canadian land gateways.1,2003,All personal vehicle passengers.1,"62,136,536",All personal vehicles.1,"30,245,165",All bus passengers.1,"3,779,970",All pedestrians.1,"937,493",All train passengers.1,"234,796",All buses.1,"156,589","All U.S.-Canadian land gateways  2004  All personal vehicle passengers  63,269,668  All personal vehicles  30,660,487  All bus passengers  3,890,380  All pedestrians  826,017  All train passengers  223,477  All buses  155,702",All U.S.-Canadian land gateways.2,2004,All personal vehicle passengers.2,"63,269,668",All personal vehicles.2,"30,660,487",All bus passengers.2,"3,890,380",All pedestrians.2,"826,017",All train passengers.2,"223,477",All buses.2,"155,702","All U.S.-Canadian land gateways  2005  All personal vehicle passengers  62,501,376  All personal vehicles  30,351,683  All bus passengers  3,854,858  All pedestrians  605,339  All train passengers  235,758  All buses  153,454",All U.S.-Canadian land gateways.3,2005,All personal vehicle passengers.3,"62,501,376",All personal vehicles.3,"30,351,683",All bus passengers.3,"3,854,858",All pedestrians.3,"605,339",All train passengers.3,"235,758",All buses.3,"153,454","All U.S.-Canadian land gateways  2006  All personal vehicle passengers  62,986,037  All personal vehicles  30,038,524  All bus passengers  3,499,103  All pedestrians  533,739  All train passengers  244,683  All buses  129,452",All U.S.-Canadian land gateways.4,2006,All personal vehicle passengers.4,"62,986,037",All personal vehicles.4,"30,038,524",All bus passengers.4,"3,499,103",All pedestrians.4,"533,739",All train passengers.4,"244,683",All buses.4,"129,452","All U.S.-Canadian land gateways  2007  All personal vehicle passengers  58,409,016  All personal vehicles  29,775,714  All bus passengers  3,684,631  All pedestrians  441,066  All train passengers  233,070  All buses  136,430",All U.S.-Canadian land gateways.5,2007,All personal vehicle passengers.5,"58,409,016",All personal vehicles.5,"29,775,714",All bus passengers.5,"3,684,631",All pedestrians.5,"441,066",All train passengers.5,"233,070",All buses.5,"136,430","All U.S.-Canadian land gateways  2008  All personal vehicle passengers  57,423,879  All personal vehicles  28,686,786  All bus passengers  3,404,305  All pedestrians  499,666  All train passengers  238,593  All buses  127,233",All U.S.-Canadian land gateways.6,2008,All personal vehicle passengers.6,"57,423,879",All personal vehicles.6,"28,686,786",All bus passengers.6,"3,404,305",All pedestrians.6,"499,666",All train passengers.6,"238,593",All buses.6,"127,233"
27,All buses,153454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,All U.S.-Canadian land gateways,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,All personal vehicle passengers,62986037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,All personal vehicles,30038524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,All bus passengers,3499103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,All pedestrians,533739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,All train passengers,244683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,All buses,129452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All U.S.-Canadian land gateways,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,All personal vehicle passengers,58409016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,All personal vehicles,29775714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,All bus passengers,3684631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,All pedestrians,441066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,All train passengers,233070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,All buses,136430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,All U.S.-Canadian land gateways,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,All personal vehicle passengers,57423879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,All personal vehicles,28686786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,All bus passengers,3404305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,All pedestrians,499666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,All train passengers,238593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,All buses,127233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Personal vehicle passengers – top 5 gateways  2002  Buffalo-Niagara Falls, NY  17,031,458  Detroit, MI  12,318,806  Blaine, WA  4,794,088  Port Huron, MI  4,188,972  Champlain-Rouses Point, NY  3,766,141",Personal vehicle passengers – top 5 gateways,2002.0,"Buffalo-Niagara Falls, NY",17031458.0,"Detroit, MI",12318806.0,"Blaine, WA",4794088.0,"Port Huron, MI",4188972.0,"Champlain-Rouses Point, NY",3766141.0,"Personal vehicle passengers – top 5 gateways  2003  Buffalo-Niagara Falls, NY  13,216,214  Detroit, MI  10,965,872  Blaine, WA  4,491,959  Port Huron, MI  3,821,908  Champlain-Rouses Point, NY  3,521,091",Personal vehicle passengers – top 5 gateways,2003,"Buffalo-Niagara Falls, NY",13216214.0,"Detroit, MI",10965872.0,"Blaine, WA",4491959.0,"Port Huron, MI",3821908.0,"Champlain-Rouses Point, NY",3521091.0,"Personal vehicle passengers – top 5 gateways  2004  Buffalo-Niagara Falls, NY  13,195,191  Detroit, MI  10,574,206  Blaine, WA  4,936,364  Port Huron, MI  3,909,238  Champlain-Rouses Point, NY  3,538,682",Personal vehicle passengers – top 5 gateways,2004,"Buffalo-Niagara Falls, NY",13195191,"Detroit, MI",10574206.0,"Blaine, WA",4936364.0,"Port Huron, MI",3909238.0,"Champlain-Rouses Point, NY",3538682.0,"Personal vehicle passengers – top 5 gateways  2005  Buffalo-Niagara Falls, NY  13,224,477  Detroit, MI  10,655,076  Blaine, WA  4,868,308  Port Huron, MI  4,001,589  Champlain-Rouses Point, NY  2,921,118",Personal vehicle passengers – top 5 gateways,2005,"Buffalo-Niagara Falls, NY",13224477,"Detroit, MI",10655076,"Blaine, WA",4868308.0,"Port Huron, MI",4001589.0,"Champlain-Rouses Point, NY",2921118.0,"Personal vehicle passengers – top 5 gateways  2006  Buffalo-Niagara Falls, NY  13,514,778  Detroit, MI  9,932,051  Blaine, WA  5,276,202  Port Huron, MI  4,106,919  Champlain-Rouses Point, NY  2,920,749",Personal vehicle passengers – top 5 gateways,2006,"Buffalo-Niagara Falls, NY",13514778,"Detroit, MI",9932051,"Blaine, WA",5276202,"Port Huron, MI",4106919.0,"Champlain-Rouses Point, NY",2920749,"Personal vehicle passengers – top 5 gateways  2007  Buffalo-Niagara Falls, NY  14,372,038  Detroit, MI  9,560,365  Blaine, WA  5,187,218  Port Huron, MI  3,523,429  Champlain-Rouses Point, NY  1,923,295",Personal vehicle passengers – top 5 gateways,2007,"Buffalo-Niagara Falls, NY",14372038,"Detroit, MI",9560365,"Blaine, WA",5187218,"Port Huron, MI",3523429,"Champlain-Rouses Point, NY",1923295.0,"Personal vehicle passengers – top 5 gateways  2008  Buffalo-Niagara Falls, NY  13,102,189  Detroit, MI  8,386,427  Blaine, WA  5,754,718  Port Huron, MI  3,500,157  Champlain-Rouses Point, NY  1,946,442",Personal vehicle passengers – top 5 gateways,2008,"Buffalo-Niagara Falls, NY",13102189,"Detroit, MI",8386427,"Blaine, WA",5754718,"Port Huron, MI",3500157,"Champlain-Rouses Point, NY",1946442,,,,,,,,,,,,,,
50,Personal vehicle passengers – top 5 gateways,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Buffalo-Niagara Falls, NY",17031458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Detroit, MI",12318806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Blaine, WA",4794088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Port Huron, MI",4188972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Champlain-Rouses Point, NY",3766141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
