,Buses – top 5 gateways,2009
0,"Detroit, MI",29777
1,"Buffalo-Niagara Falls, NY",28534
2,"Blaine, WA",15159
3,"Skagway, AK",10571
4,"Champlain-Rouses Point, NY",8565
