,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
33,"Fatalities, all modes",4.4,4.1,3.7,4.0,4.4,3.8,3.7,3.6,3.7,3.7,3.5,3.1,3.3,3.0,3.0,2.8,2.7,3.1,3,3,3.3,3.5,3.7,3.6,3.1
34,Motor busc,2.2,1.8,2.1,1.8,2.4,1.8,2.3,2.4,2.3,2.1,1.8,1.9,1.5,2.1,1.6,1.4,2.0,2.0,1,1,1.6,2.0,1.9,2.0,1.7
35,Light rail,4.0,7.1,4.8,8.0,4.7,6.0,2.3,1.2,8.4,5.9,9.5,6.4,3.9,4.4,6.0,5.0,4.2,7.9,4,7,5.3,9.0,8.8,6.5,8.1
36,Heavy rail,5.2,4.9,4.3,4.2,4.0,3.9,3.4,3.2,2.3,3.3,3.0,2.2,2.7,1.8,2.2,1.2,0.8,0.9,2,3,2.8,2.6,2.7,2.9,2.4
37,Commuter rail,36.4,33.9,28.3,32.4,35.2,28.6,23.8,25.4,26.1,25.4,22.4,22.3,30.6,20.5,22.8,27.4,21.3,30.0,24,18,26.3,26.0,29.6,27.4,21.9
38,Demand responsive,0.0,22.6,0.0,13.5,12.0,33.9,65.5,14.6,18.1,4.3,32.8,18.6,7.7,13.5,7.2,13.9,13.6,12.1,7,7,10.9,2.1,13.9,9.9,9.8
39,Van pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,47.1,0.0,4.9,4.4,0,13,3.2,0.0,5.6,5.6,0.0
40,Automated guideway,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,10.7,26.0,0.0,4.8,0,10,10.0,0.0,4.8,4.8,4.5
41,"Injured persons, all modesf",714,706,753,746,793,798,767,737,720,679,680,631,230,231,237,218,232,238,261,281,283,242,231,255,230
42,Motor busc,815,808,848,848,924,910,890,860,871,837,825,767,231,239,249,232,239,263,257,283,290,244,228,264,265
43,Light rail,715,682,677,524,432,529,620,419,394,440,423,368,160,165,187,161,161,202,223,227,201,191,174,151,190
44,Heavy rail,446,437,493,537,543,553,514,506,462,383,412,390,180,156,173,136,165,145,205,216,217,184,193,206,137
45,Commuter rail,853,843,972,516,747,738,646,769,466,471,459,465,391,425,362,437,357,374,443,485,522,486,417,414,369
46,Demand responsive,5835,4678,5393,4401,4390,5286,5251,2336,4821,5846,7113,5117,1369,1569,1242,1363,1820,1943,2072,1892,1785,1563,1441,1539,1636
47,Van pool,1037,1721,584,1398,638,537,461,701,773,411,524,405,302,141,309,168,269,173,77,218,126,50,50,172,53
48,Automated guideway,68,0,127,194,160,123,317,272,195,389,239,464,364,353,160,17,94,53,189,353,890,1036,376,424,295
49,"All incidents, all modesf",1179,1126,1005,921,964,871,824,808,773,720,718,680,292,257,267,264,283,260,248,261,258,212,201,235,208
50,Motor busc,1434,1327,1104,994,1077,943,906,890,883,834,840,796,260,228,242,239,266,253,208,229,223,179,166,194,192
51,Light rail,842,841,796,606,516,512,522,452,411,410,417,398,314,292,268,297,278,282,224,212,178,174,168,164,190
52,Heavy rail,541,664,732,769,738,705,637,624,565,484,486,455,257,208,228,204,214,201,251,249,252,218,222,236,165
53,Commuter rail,1060,991,1207,698,980,885,810,991,670,668,533,554,453,466,424,435,394,419,445,519,578,533,456,598,564
54,Demand responsive,21440,9333,8600,6385,6378,6632,7644,3030,5532,6854,7666,6402,2808,2655,2454,2774,3190,2115,1805,1713,1562,447,419,1300,1364
55,Van pool,4147,3570,1229,2867,858,1245,1366,2104,2238,1353,1611,2116,253,89,229,714,176,204,40,79,45,40,31,72,31
56,Automated guideway,51,28,145,194,160,154,396,323,260,371,271,464,299,401,203,52,61,101,223,381,800,1082,390,438,309
