,All U.S.-Canadian land gateways,2013
0,All personal vehicle passengers,62347059
1,All personal vehicles,"(R) 33,833,388"
2,All bus passengers,2375944
3,All pedestrians,417094
4,All train passengers,279477
5,All buses,106152
