,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Revenue passenger-miles (millions)a,"(R) 3,753",4503,4785,6057,6273,6091,6199,"(R) 5,869","(R) 5,401","(R) 5,066",5166,5304,5330,5498,5571,5314,5680,5511,5381,5410,5783,6179,5914,6420,6568,6804,6810,6675,6536
1,Total energy consumed (billion Btu)b,9367,9673,9995,12512,12406,12328,12511,11251,11184,11117,11823,11962,12494,14776,14987,13479,12182,11394,10895,10536,10547,10783,10486,10710,10696,10620,10951,10872,10384
2,"Electric (millions of kWh)b,c",180,254,295,330,303,300,301,309,336,363,390,416,443,470,456,518,537,551,531,549,578,582,565,559,555,549,525,515,504
3,Diesel (million gallons)c,63,64,65,82,82,82,83,74,72,71,76,76,79,95,97,84,75,69,65,62,62,63,62,63,63,63,66,66,62
4,Energy intensity (Btu/revenue passenger-mile)a,"(R) 2,496",2148,2089,2066,1978,2024,2018,"(R) 1,917","(R) 2,071","(R) 2,194",2289,2255,2344,2688,2690,2537,2145,2068,2025,1948,1824,1745,1773,1668,1628,1561,1608,1629,1589
