,Truck Container,2003
0,Total U.S.-Canadian border,6606307
1,Total top 5 gateways,4397004
2,"Detroit, MI",1588769
3,"Buffalo-Niagara, NY",1162950
4,"Port Huron, MI",927740
5,"Champlain-Rouse Pt., NY",378783
6,"Blaine, WA",338762
