,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Total government revenues,146366,147822,150379,164753,182235,173694,165439,169112,164595,161860,167844,167806,171508,163934,158587,157570,163336,167939
1,Federal,47088,46970,47086,57386,73913,63684,56702,59017,57441,54851,59789,56234,57178,53126,48190,47290,48867,51708
2,State and local,99277,100851,103293,107367,108322,110010,108736,110095,107154,107009,108055,111572,114330,110808,110397,110280,114470,116231
3,Total government expenditures,222298,226484,232003,239385,254070,253871,281343,291504,295575,279447,277121,276054,286308,293221,310836,309055,297376,298098
4,State and local expenditures including federal grants,191728,196727,203009,208988,222108,224824,239333,242840,243256,236391,235779,239916,251320,255779,270474,264409,255998,262243
5,Federal grants,38599,37807,38795,36698,41807,45714,49003,52031,49766,47710,47692,45676,45816,49668,51460,46846,43216,49506
6,"Federal expenditures, less grants",30570,29757,28994,30397,31962,29047,42009,48664,52319,43056,41342,36138,34988,37441,40363,44646,41378,35855
