,Rail Container,2010
0,Total U.S.-Mexican border,706067
1,Total top 5 gateways,695789
2,"Laredo, TX",327453
3,"Eagle Pass, TX",182665
4,"El Paso, TX",89808
5,"Nogales, AZ",54003
6,"Brownsville, TX",41860
