,Rail Container,2008
0,Total U.S.-Mexican border,776385
1,Total top 5 gateways,762740
2,"Laredo, TX",328592
3,"El Paso, TX",160795
4,"Eagle Pass, TX",142377
5,"Brownsville, TX",75419
6,"Nogales, AZ",55557
