,Pedestrians – top 5 gateways,2011
0,"Buffalo-Niagara Falls, NY",282815
1,"Sumas, WA",26527
2,"Detroit, MI",20913
3,"International Falls, MN",18582
4,"Point Roberts, WA",16717
