,Buses – top 5 gateways,2015
0,"Detroit, MI",19877
1,"Buffalo-Niagara Falls, NY",18468
2,"Blaine, WA",15215
3,"Skagway, AK",11148
4,"Champlain-Rouses Point, NY",9513
