,Bus passengers – top 5 gateways,2012
0,"Buffalo-Niagara Falls, NY",687530
1,"Champlain-Rouses Point, NY",410941
2,"Blaine, WA",324371
3,"Detroit, MI",265757
4,"Skagway, AK",155359
