,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Average total cost per mile (current Â¢),14.4,21.2,23.2,33.0,37.3,38.8,38.7,39.4,41.2,42.6,44.8,46.1,47.0,49.1,51.0,50.2,51.7,56.2,52.2,52.2,54.1,54.0,56.6,58.5,59.6,60.8,59.2,58.0,57.1
1,Gasb,4.8,5.9,5.6,5.4,6.6,5.9,5.9,5.6,5.8,5.6,6.6,6.2,5.6,6.9,7.9,5.9,7.2,6.5,9.5,8.9,11.7,10.1,11.4,12.3,14.2,14.5,13.0,11.2,8.5
2,Gas as a percent of total costb,33.4,27.9,24.0,16.4,17.7,15.2,15.2,14.2,14.1,13.1,14.7,13.5,11.9,14.1,15.5,11.7,13.9,11.6,18.2,17.1,21.6,18.7,20.1,21.1,23.8,23.8,22.0,19.3,14.8
3,Maintenancec,1.0,1.1,1.2,2.1,2.2,2.2,2.4,2.5,2.6,2.8,2.8,3.1,3.3,3.6,3.9,4.1,4.1,5.4,4.9,4.9,4.6,4.6,4.5,4.4,4.5,5.0,5.1,5.1,5.3
4,Tires,0.7,0.6,0.7,0.9,0.9,0.9,0.9,1.0,1.2,1.2,1.4,1.4,1.7,1.7,1.8,1.8,1.8,0.7,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0
5,"Average total cost per 15,000 miles (current $)",2154.0,3176.0,3484.0,4954.0,5601.0,5824.0,5804.0,5916.0,6185.0,6389.0,6723.0,6908.0,7050.0,7363.0,7654.0,7534.0,7754.0,8431.0,7834.0,7823.0,8121.0,8096.0,8487.0,8776.0,8946.0,9122.0,8876.0,8698.0,8558.0
6,Variable cost,968.0,1143.0,1113.0,1260.0,1455.0,1350.0,1380.0,1365.0,1440.0,1440.0,1620.0,1605.0,1590.0,1829.0,2040.0,1770.0,1965.0,1890.0,2265.0,2175.0,2545.0,2313.0,2511.0,2662.0,2946.0,3064.0,2855.0,2596.0,2208.0
7,Fixed costd,1186.0,2033.0,2371.0,3694.0,4146.0,4474.0,4424.0,4551.0,4745.0,4949.0,5103.0,5303.0,5460.0,5534.0,5614.0,5764.0,5789.0,6541.0,5569.0,5648.0,5576.0,5783.0,5976.0,6114.0,6000.0,6058.0,6021.0,6102.0,6350.0
