,Truck Container,2008
0,Total U.S.-Mexican border,4844250
1,Total top 5 gateways,3882764
2,"Laredo, TX",1555414
3,"Otay Mesa/San Ysidro, CA",774195
4,"El Paso, TX",752574
5,"Hidalgo, TX",477014
6,"Calexico East, CA",323567
