,Bus passengers – top 5 gateways,2003
0,"Buffalo-Niagara Falls, NY",1321778
1,"Detroit, MI",904425
2,"Blaine, WA",283863
3,"Champlain-Rouses Point, NY",234620
4,"Sault Ste. Marie, MI",192760
