,Â,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Amtrak,510,503,491,487,498,504,516,523,524,535,540,530,542,516,508,510,515,512,515,514,529,531,510,508,510,511,512,511,512,516,518
1,Rail transit,1822,1895,1920,2164,2027,2143,2169,2192,2240,2286,2376,2382,2325,2391,2524,2567,2595,2621,2784,2797,2909,2946,2985,2997,3027,3101,3124,3165,3216,3227,3355
