,State,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,Total
0,Ban on hand-held devices for all drivers,Â,Â,Â,Â,Y,Â,Y,Y,Y,Â,Â,Y,Â,Y,Â,Â,Â,Â,Â,Â,Y,Â,Â,Â,Â,Â,Â
1,Ban on texting for all drivers,Y,Y,Â,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Â,Â
