,"Truck  2002  Total U.S.-Mexican border  4,426,593  Total top 5 gateways  3,544,815  Laredo, TX  1,441,653  Otay Mesa, CA  731,291  El Paso, TX  705,199  Hidalgo, TX  390,282  Calexico East, CA  276,390",Truck,2002,Total U.S.-Mexican border,"4,426,593",Total top 5 gateways,"3,544,815","Laredo, TX","1,441,653","Otay Mesa, CA","731,291","El Paso, TX","705,199","Hidalgo, TX","390,282","Calexico East, CA","276,390","Truck  2003  Total U.S.-Mexican border  4,238,045  Total top 5 gateways  3,378,199  Laredo, TX  1,354,229  Otay Mesa, CA  697,152  El Paso, TX  659,614  Hidalgo, TX  406,064  Calexico East, CA  261,140",Truck.1,2003,Total U.S.-Mexican border.1,"4,238,045",Total top 5 gateways.1,"3,378,199","Laredo, TX.1","1,354,229","Otay Mesa, CA.1","697,152","El Paso, TX.1","659,614","Hidalgo, TX.1","406,064","Calexico East, CA.1","261,140","Truck  2004  Total U.S.-Mexican border  4,503,688  Total top 5 gateways  3,604,137  Laredo, TX  1,391,850  Otay Mesa, CA  726,164  El Paso, TX  719,545  Hidalgo, TX  454,351  Calexico East, CA  312,227",Truck.2,2004,Total U.S.-Mexican border.2,"4,503,688",Total top 5 gateways.2,"3,604,137","Laredo, TX.2","1,391,850","Otay Mesa, CA.2","726,164","El Paso, TX.2","719,545","Hidalgo, TX.2","454,351","Calexico East, CA.2","312,227","Truck  2005  Total U.S.-Mexican border  4,675,897  Total top 5 gateways  3,737,803  Laredo, TX  1,455,607  El Paso, TX  740,654  Otay Mesa, CA  730,253  Hidalgo, TX  491,077  Calexico East, CA  320,212",Truck.3,2005,Total U.S.-Mexican border.3,"4,675,897",Total top 5 gateways.3,"3,737,803","Laredo, TX.3","1,455,607","El Paso, TX.3","740,654","Otay Mesa, CA.3","730,253","Hidalgo, TX.3","491,077","Calexico East, CA.3","320,212","Truck  2006  Total U.S.-Mexican border  4,759,679  Total top 5 gateways  3,778,528  Laredo, TX  1,518,989  Otay Mesa, CA  749,472  El Paso, TX  744,951  Hidalgo, TX  457,825  Calexico East, CA  307,291",Truck.4,2006,Total U.S.-Mexican border.4,"4,759,679",Total top 5 gateways.4,"3,778,528","Laredo, TX.4","1,518,989","Otay Mesa, CA.4","749,472","El Paso, TX.4","744,951","Hidalgo, TX.4","457,825","Calexico East, CA.4","307,291","Truck  2007  Total U.S.-Mexican border  4,882,500  Total top 5 gateways  3,895,641  Laredo, TX  1,563,836  El Paso, TX  782,936  Otay Mesa, CA  738,765  Hidalgo, TX  486,756  Calexico East, CA  323,348",Truck.5,2007,Total U.S.-Mexican border.5,"4,882,500",Total top 5 gateways.5,"3,895,641","Laredo, TX.5","1,563,836","El Paso, TX.5","782,936","Otay Mesa, CA.5","738,765","Hidalgo, TX.5","486,756","Calexico East, CA.5","323,348","Truck  2008  Total U.S.-Mexican border  4,866,252  Total top 5 gateways  3,893,000  Laredo, TX  1,555,197  Otay Mesa, CA  776,972  El Paso, TX  758,856  Hidalgo, TX  476,000  Calexico East, CA  325,975",Truck.6,2008,Total U.S.-Mexican border.6,"4,866,252",Total top 5 gateways.6,"3,893,000","Laredo, TX.6","1,555,197","Otay Mesa, CA.6","776,972","El Paso, TX.6","758,856","Hidalgo, TX.6","476,000","Calexico East, CA.6","325,975"
12,"Otay Mesa, CA",697152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"El Paso, TX",659614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Hidalgo, TX",406064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Calexico East, CA",261140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Mexican border,4503688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,3604137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Laredo, TX",1391850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Otay Mesa, CA",726164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"El Paso, TX",719545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Hidalgo, TX",454351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Calexico East, CA",312227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Mexican border,4675897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,3737803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Laredo, TX",1455607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"El Paso, TX",740654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Otay Mesa, CA",730253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Hidalgo, TX",491077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Calexico East, CA",320212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Truck,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Total U.S.-Mexican border,4759679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total top 5 gateways,3778528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Laredo, TX",1518989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Otay Mesa, CA",749472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"El Paso, TX",744951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Hidalgo, TX",457825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Calexico East, CA",307291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Truck,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Total U.S.-Mexican border,4882500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Total top 5 gateways,3895641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Laredo, TX",1563836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"El Paso, TX",782936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Otay Mesa, CA",738765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Hidalgo, TX",486756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Calexico East, CA",323348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Truck,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Total U.S.-Mexican border,4866252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Total top 5 gateways,3893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Laredo, TX",1555197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Otay Mesa, CA",776972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"El Paso, TX",758856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Hidalgo, TX",476000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Calexico East, CA",325975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Train  2002  Total U.S.-Mexican border  7,757  Total top 5 gateways  7,179  Laredo, TX  3,270  Eagle Pass, TX  1,718  Brownsville, TX  964  Nogales, AZ  607  El Paso, TX  620",Train,2002.0,Total U.S.-Mexican border,7757.0,Total top 5 gateways,7179.0,"Laredo, TX",3270.0,"Eagle Pass, TX",1718.0,"Brownsville, TX",964.0,"Nogales, AZ",607.0,"El Paso, TX",620.0,"Train  2003  Total U.S.-Mexican border  7,774  Total top 5 gateways  7,265  Laredo, TX  3,510  Eagle Pass, TX  1,624  Brownsville, TX  1,045  El Paso, TX  629  Nogales, AZ  457",Train,2003.0,Total U.S.-Mexican border,7774.0,Total top 5 gateways,7265.0,"Laredo, TX",3510.0,"Eagle Pass, TX",1624.0,"Brownsville, TX",1045.0,"El Paso, TX",629.0,"Nogales, AZ",457.0,"Train  2004  Total U.S.-Mexican border  7,844  Total top 5 gateways  7,282  Laredo, TX  3,443  Eagle Pass, TX  1,653  Brownsville, TX  998  El Paso, TX  744  Nogales, AZ  444",Train,2004.0,Total U.S.-Mexican border,7844.0,Total top 5 gateways,7282.0,"Laredo, TX",3443.0,"Eagle Pass, TX",1653.0,"Brownsville, TX",998.0,"El Paso, TX",744.0,"Nogales, AZ",444.0,"Train  2005  Total U.S.-Mexican border  9,458  Total top 5 gateways  8,719  Laredo, TX  3,459  Eagle Pass, TX  1,812  El Paso, TX  1,618  Brownsville, TX  1,045  Nogales, AZ  785",Train,2005.0,Total U.S.-Mexican border,9458.0,Total top 5 gateways,8719.0,"Laredo, TX",3459.0,"Eagle Pass, TX",1812.0,"El Paso, TX",1618.0,"Brownsville, TX",1045.0,"Nogales, AZ",785.0,"Train  2006  Total U.S.-Mexican border  10,166  Total top 5 gateways  9,344  Laredo, TX  3,850  El Paso, TX  2,449  Eagle Pass, TX  1,337  Brownsville, TX  1,055  Nogales, AZ  653",Train,2006.0,Total U.S.-Mexican border,10166.0,Total top 5 gateways,9344.0,"Laredo, TX",3850.0,"El Paso, TX",2449.0,"Eagle Pass, TX",1337.0,"Brownsville, TX",1055.0,"Nogales, AZ",653.0,"Train  2007  Total U.S.-Mexican border  10,648  Total top 5 gateways  9,745  Laredo, TX  3,994  El Paso, TX  2,691  Eagle Pass, TX  1,485  Brownsville, TX  984  Calexico East, CA  591",Train,2007.0,Total U.S.-Mexican border,10648.0,Total top 5 gateways,9745.0,"Laredo, TX",3994.0,"El Paso, TX",2691.0,"Eagle Pass, TX",1485.0,"Brownsville, TX",984.0,"Calexico East, CA",591.0,"Train  2008  Total U.S.-Mexican border  10,262  Total top 5 gateways  9,563  Laredo, TX  3,921  El Paso, TX  2,473  Eagle Pass, TX  1,654  Brownsville, TX  875  Nogales, AZ  640",Train,2008.0,Total U.S.-Mexican border,10262.0,Total top 5 gateways,9563.0,"Laredo, TX",3921.0,"El Paso, TX",2473.0,"Eagle Pass, TX",1654.0,"Brownsville, TX",875.0,"Nogales, AZ",640.0
57,Train,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Total U.S.-Mexican border,7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Total top 5 gateways,7179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Laredo, TX",3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Eagle Pass, TX",1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Brownsville, TX",964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Nogales, AZ",607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"El Paso, TX",620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Train,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Total U.S.-Mexican border,7774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Total top 5 gateways,7265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Laredo, TX",3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Eagle Pass, TX",1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
