,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Certificated carriersa,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Jet fuel,264,525,1061,1020,1150,1366,1649,1534,1566,1615,1688,1730,1780,1844,1796,1956,1877,1770,1659,1676,1806,1793,1758,1755,1683,1505,1493,1462,1382,1371,1393
3,General aviationb,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Aviation gasoline,29,35,66,50,63,51,42,43,38,32,32,34,35,35,37,42,40,34,33,33,33,35,34,33,30,27,27,26,25,24,24
5,Jet fuel,N,8,28,61,103,93,90,78,67,61,63,76,82,87,110,131,131,124,127,126,166,206,222,201,230,195,194,197,194,170,185
6,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Gasoline, diesel and other fuels",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,"Light duty vehicle, short wheel base and motorcyclec",5146,6215,8485,9282,8773,8963,8720,8063,8203,8406,8510,8534,8677,8762,8988,9187,9159,9219,9458,9456,9451,9701,9404,11256,10760,10767,10902,11045,11075,11076,11163
9,"Light duty vehicle, long wheel basec",N,U,1539,2385,2975,3420,4451,4777,5116,5356,5514,5701,5919,6173,6308,6607,6617,6690,6903,7595,7927,7359,7586,4614,4366,4464,4531,4417,4389,4395,4668
10,Single-unit 2-axle 6-tire or more truckd,N,1731,496,678,865,925,1045,1022,1030,1061,1129,1152,1176,1197,852,1172,1195,1208,1290,1110,1120,1188,1232,2039,2143,2032,1887,1777,1797,1813,1862
11,Combination truck,N,832,919,1147,1630,1751,2017,2101,2152,2219,2332,2472,2524,2538,3145,3067,3208,3189,3310,2977,3024,3461,3513,3863,3820,3506,3741,3523,3497,3599,3640
12,Bus,103,109,103,132,127,104,112,108,110,116,121,121,124,128,130,144,139,128,125,121,170,140,144,253,257,248,240,242,258,265,279
13,Transite,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Electricity,10,9,9,9,8,14,17,17,16,17,17,17,17,17,17,17,18,19,19,19,19,20,20,21,22,22,22,22,22,23,23
15,Motor fuel,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Dieself,29,34,38,51,60,84,90,92,95,94,94,94,74,75,78,80,82,83,93,77,76,74,76,74,74,91,88,87,85,84,75
17,Gasoline and other nondiesel fuelsg,24,16,9,1,1,6,4,4,5,6,8,8,3,3,3,3,3,3,4,3,4,4,4,4,4,12,12,13,13,13,14
18,Compressed natural gas,N,N,N,N,N,N,N,N,0,0,1,1,2,3,4,5,6,7,9,11,12,13,15,15,16,20,18,18,17,18,19
19,"Rail, Class I (in freight service)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Distillate / diesel fuel,480,498,492,507,541,431,432,403,417,428,462,483,496,496,497,515,513,515,517,531,563,568,581,563,539,443,485,511,499,511,511
21,Amtrak,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,Electricity,N,N,N,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,Distillate / diesel fuel,N,N,N,9,9,9,11,11,11,12,10,10,10,10,11,11,13,13,12,10,10,9,9,9,9,9,9,9,9,9,9
24,Water,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
25,Residual fuel oil,592,463,565,608,1340,687,947,1014,983,791,806,881,853,750,841,874,960,810,726,580,702,775,861,947,787,687,770,683,721,631,576
26,Distillate / diesel fuel oil,109,90,114,152,205,236,286,284,308,299,304,324,345,357,360,336,314,284,288,307,297,278,264,267,275,265,278,296,245,232,221
27,Gasoline,N,N,75,91,132,132,163,214,165,109,109,133,124,123,120,137,141,124,135,138,126,158,155,153,142,141,146,138,137,140,177
28,Pipeline,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
29,Natural gas,358,516,745,601,654,519,680,620,606,644,707,722,734,775,655,665,662,644,688,610,584,602,602,641,668,691,695,709,753,859,862
