,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,"Air, certificated carrier",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Domestic operations,8633,10118,10185,8532,6029,4950,4767,4536,4413,4457,4345,4282,4096,4091,3881,4009,3892,3848,3608,3493,3408,3232,3142,3040,2936,2774,2691,2588,2428,2366,2329
2,International operations,9199,10292,10986,7547,4374,4586,4207,4192,3963,3861,3916,3932,3893,3955,3854,3952,3857,4039,3984,4180,3890,3817,3665,3572,3473,3384,3338,3519,3484,3392,3260
3,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3368,3344,3823,"(R) 3,854",3885,3864,3843,3877
5,"Passenger carsa,d",4496,4456,4842,4742,4348,4268,3812,3654,3704,3787,3771,3721,3702,3657,3637,3672,2939,2929,2933,2911,2864,2922,2898,N,N,N,N,N,N,N,N
6,"Motorcycleb,c",U,U,2289,2281,2080,1926,1922,1973,1999,2031,2068,2273,2273,2273,2273,2273,1693,1708,1683,1656,1331,1351,1136,2185,2315,"(R) 2,688","(R) 2,675","(R) 2,669",2665,2665,2665
7,"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4537,4159,5411,"(R) 5,447",5472,5465,5453,5472
8,"Other 2-axle 4-tire vehiclesa,d",U,U,6822,6566,5712,4971,4452,4277,4258,4275,4344,4538,4559,4564,4569,4612,7769,7533,7664,8292,8029,7303,6917,N,N,N,N,N,N,N,N
9,"Truck, single-unit 2-axle 6-tire or morec",U,U,18315,19578,21736,20353,20127,19311,19112,18689,18422,18372,18356,17894,17901,16663,11896,11679,12021,9848,10067,10823,9987,16997,16893,16901,17051,17118,17017,17008,17033
10,"Truck, combination",U,26283,26143,24551,23728,22426,21376,21741,21626,21515,21404,21413,21229,20369,24500,23169,19897,18873,19677,17154,17483,19763,19813,20972,20781,20858,21265,21507,21375,21369,21431
11,Bus,U,U,U,U,U,1098,922,886,896,894,887,889,889,885,875,884,443,466,442,427,593,502,482,821,818,814,822,828,823,823,823
12,Transit motor bus,N,N,N,N,2742,3389,3723,3767,4038,3944,4162,4155,4170,"(R) 3,761","(R) 3,712","(R) 3,615","(R) 3,711","(R) 3,598","(R) 3,460","(R) 3,362","(R) 3,426","(R) 3,207","(R) 3,176","(R) 3,083","(R) 3,031","(R) 3,484","(R) 3,089","(R) 1,838","(R) 3,998",3143,2760
13,Amtrak,N,N,N,2383,2148,2089,2066,1978,2024,2018,1900,2017,2201,2289,2255,2344,2688,2690,2537,2145,2068,2025,1948,1824,1745,1773,1668,1628,1561,1608,1629
