STATE,INTERSTATE,,,,OTHER FREEWAYS  AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL  ARTERIAL,,,,,,
,LANE WIDTH IN  FEET,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
,< 12,12,> 12,,< 9,9,10,11,12,> 12,,< 9,9,10,11,12,> 12,
Alabama,40 ,389 ,1 ,430 ,-,-,-,-,27 ,-,27 ,-,7 ,47 ,138 ,"1,076 ",30 ,"1,297 "
Alaska,1 ,77 ,1 ,79 ,-,-,-,-,-,-,-,-,-,2 ,3 ,110 ,21 ,136 
Arizona,-,252 ,-,252 ,-,-,-,-,214 ,0 ,214 ,-,-,-,52 ,725 ,66 ,843 
Arkansas,9 ,274 ,-,284 ,-,-,-,2 ,107 ,-,109 ,-,5 ,39 ,200 ,376 ,6 ,627 
California,-,"1,139 ",-,"1,139 ",-,-,-,-,"1,511 ",-,"1,511 ",-,-,-,-,"6,561 ",-,"6,561 "
Colorado,2 ,302 ,-,304 ,-,-,-,-,322 ,2 ,324 ,-,7 ,85 ,48 ,910 ,17 ,"1,067 "
Connecticut,-,317 ,-,317 ,-,-,-,-,242 ,2 ,244 ,-,-,14 ,14 ,679 ,3 ,710 
Delaware,0 ,35 ,6 ,41 ,-,-,-,-,21 ,10 ,31 ,0 ,-,-,17 ,170 ,6 ,193 
Dist. of Columbia,0 ,5 ,7 ,12 ,-,1 ,6 ,1 ,6 ,2 ,16 ,5 ,14 ,32 ,37 ,15 ,4 ,106 
Florida,-,737 ,38 ,775 ,-,-,-,5 ,559 ,2 ,567 ,0 ,1 ,89 ,676 ,"3,060 ",147 ,"3,973 "
Georgia,75 ,578 ,58 ,712 ,3 ,10 ,1 ,0 ,127 ,21 ,163 ,175 ,24 ,68 ,100 ,"1,229 ",710 ,"2,306 "
Hawaii,7 ,47 ,1 ,55 ,-,-,-,11 ,22 ,1 ,34 ,-,1 ,24 ,73 ,158 ,10 ,265 
Idaho,-,90 ,-,90 ,-,-,-,-,-,-,-,-,-,9 ,2 ,460 ,-,472 
Illinois,2 ,902 ,7 ,910 ,-,-,7 ,-,92 ,2 ,102 ,-,9 ,81 ,378 ,"2,388 ",279 ,"3,135 "
Indiana,0 ,496 ,-,496 ,0 ,-,16 ,1 ,153 ,-,171 ,7 ,17 ,158 ,52 ,"1,415 ",27 ,"1,676 "
Iowa,6 ,100 ,66 ,172 ,-,-,-,-,-,-,-,1 ,-,12 ,46 ,519 ,324 ,902 
Kansas,-,234 ,-,234 ,-,-,2 ,2 ,166 ,17 ,187 ,1 ,2 ,5 ,17 ,233 ,80 ,338 
Kentucky,-,220 ,-,220 ,-,-,-,-,70 ,-,70 ,-,0 ,61 ,113 ,440 ,10 ,623 
Louisiana,1 ,404 ,-,405 ,-,-,-,-,72 ,-,72 ,-,7 ,25 ,105 ,924 ,-,"1,062 "
Maine,0 ,66 ,0 ,66 ,-,0 ,1 ,-,15 ,1 ,18 ,0 ,9 ,5 ,13 ,84 ,23 ,134 
Maryland,-,338 ,-,338 ,-,-,0 ,1 ,299 ,4 ,305 ,-,12 ,72 ,33 ,"1,043 ",24 ,"1,183 "
Massachusetts,0 ,0 ,508 ,508 ,-,-,-,-,21 ,280 ,301 ,-,-,-,-,1 ,"1,850 ","1,852 "
Michigan,0 ,683 ,1 ,684 ,-,-,-,6 ,348 ,1 ,356 ,59 ,39 ,170 ,657 ,"1,392 ",31 ,"2,346 "
Minnesota,-,279 ,2 ,281 ,-,-,-,0 ,162 ,1 ,162 ,-,-,-,3 ,767 ,34 ,804 
Mississippi,4 ,221 ,28 ,253 ,-,-,-,-,57 ,7 ,64 ,-,2 ,25 ,177 ,696 ,57 ,956 
Missouri,-,533 ,1 ,533 ,-,-,0 ,7 ,462 ,1 ,470 ,-,2 ,67 ,118 ,692 ,20 ,899 
Montana,-,98 ,-,98 ,-,-,-,-,-,-,-,-,2 ,-,4 ,247 ,-,254 
Nebraska,-,66 ,1 ,67 ,-,-,-,1 ,100 ,27 ,127 ,-,-,1 ,21 ,200 ,173 ,395 
Nevada,28 ,94 ,28 ,150 ,-,-,3 ,4 ,39 ,9 ,55 ,-,-,21 ,90 ,211 ,35 ,358 
New Hampshire,1 ,83 ,-,83 ,-,-,-,-,74 ,0 ,74 ,-,-,-,-,209 ,13 ,222 
New Jersey,-,387 ,-,387 ,-,-,-,13 ,440 ,-,453 ,0 ,-,33 ,49 ,"1,424 ",296 ,"1,803 "
New Mexico,-,152 ,1 ,153 ,-,-,-,2 ,8 ,2 ,11 ,3 ,1 ,16 ,274 ,354 ,36 ,684 
New York,42 ,890 ,-,932 ,-,-,32 ,77 ,705 ,-,815 ,37 ,9 ,303 ,367 ,"2,379 ",-,"3,095 "
North Carolina,20 ,589 ,-,609 ,-,-,11 ,32 ,295 ,0 ,339 ,10 ,22 ,132 ,292 ,"1,136 ",30 ,"1,621 "
North Dakota,-,60 ,-,60 ,-,-,-,-,-,-,-,-,-,1 ,3 ,182 ,1 ,188 
Ohio,6 ,915 ,1 ,923 ,-,-,2 ,2 ,565 ,10 ,579 ,-,4 ,244 ,217 ,"1,875 ",76 ,"2,416 "
Oklahoma,-,286 ,-,286 ,-,-,-,-,186 ,10 ,196 ,5 ,8 ,47 ,131 ,551 ,426 ,"1,168 "
Oregon,0 ,233 ,1 ,234 ,-,-,-,2 ,52 ,4 ,57 ,-,-,3 ,71 ,685 ,97 ,856 
Pennsylvania,-,753 ,-,753 ,-,-,2 ,20 ,497 ,-,519 ,2 ,-,298 ,749 ,"1,452 ",303 ,"2,804 "
