Year,Vehicles
2005,"5,439"
2006,"5,466"
2007,"5,470"
2008,"5,212"
2010,"5,198"
2011,"5,198"
2012,"5,178"
2013,"5,124"
2014,"5,148"
2015,"5,260 "
