,STATE,JANUARY,FEBRUARY,MARCH ,APRIL,MAY ,JUNE ,JULY ,AUGUST ,SEPTEMBER ,OCTOBER ,NOVEMBER,DECEMBER ,TOTAL (1),CHANGE FROM PREVIOUS YEAR,GALLONS,PERCENT
0,Alabama,65847,60939,64730,71085,59734,67188,69062,68435,65574,71815,68769,95275,828453,64259,8.4,
1,Alaska,9963,13078,11539,5584,4713,8888,31504,18484,13013,7091,7916,8468,140241,6902,5.2,
2,Arizona,62819,60069,75638,67819,67423,70661,63381,70013,67822,65797,65106,71223,807771,38538,5.0,
3,Arkansas,44867,49661,52197,47477,56891,51390,47657,58474,53963,50037,55307,48979,616900,18529,3.1,
4,California,198322,194543,289910,221271,221742,278939,241105,247201,292064,247576,219600,359764,3012037,121411,4.2,
5,Colorado,50401,47408,45739,53201,54733,54209,57725,58562,53725,57578,50877,48582,632740,68622,12.2,
6,Connecticut,19220,19107,25569,19968,20743,26464,22419,21443,29548,22419,19927,27185,274012,4108,1.5,
7,Delaware,4623,4739,5598,5094,5880,5785,5107,5939,6226,5045,5462,5860,65358,4186,6.8,
8,Dist. of Col.,1181,1217,1311,1254,1041,1414,1400,1331,1276,1268,1705,1156,15554,(805),(4.9),
9,Florida,122031,130124,124073,130571,135277,129913,128538,128103,129321,127752,137230,133228,1556161,140541,9.9,
10,Georgia,103828,101148,178422,111337,115912,118056,116380,110049,108520,117926,113770,179851,1475199,226490,18.1,
11,Hawaii,4132,3901,4201,6133,4969,4359,4261,4318,4209,4412,4052,4170,53117,(214),(0.4),
12,Idaho,23043,20328,22080,19865,20618,24976,21808,27023,24678,32779,21786,28030,287014,23634,9.0,
13,Illinois,115695,107036,163174,122403,122341,163707,130843,123547,151016,170384,153270,158582,1681998,192272,12.9,
14,Indiana,104289,101088,105741,113549,109638,103951,112613,107540,106115,116989,103511,97863,1282887,43082,3.5,
15,Iowa,54765,49642,46928,60645,56755,53219,59133,59700,53438,67067,56535,55278,673105,8270,1.2,
16,Kansas,33394,38823,51762,39610,36111,49560,44860,38204,54488,40435,33739,53428,514414,26423,5.4,
17,Kentucky,65028,58295,62125,67137,67419,64839,65911,67754,64274,68548,61458,59695,772483,30543,4.1,
18,Louisiana,61357,72733,60506,59727,56189,57631,59015,63937,61819,58680,56532,58296,726422,46352,6.8,
19,Maine,12635,12255,16944,18183,14487,14682,15451,17792,17680,17515,19458,15334,192416,"(8,856)",(4.4),
20,Maryland,44332,40549,44163,45920,44965,47826,46288,45192,44939,47327,41852,42777,536130,48347,9.9,
21,Massachusetts,35773,37936,40287,34275,37660,38508,36932,37209,36352,37625,32473,37102,442132,36109,8.9,
22,Michigan,124885,60029,62458,73689,75082,70291,91260,85160,73380,96024,74971,68147,955376,44608,4.9,
23,Minnesota,46256,44099,53994,50205,52401,66609,57707,57287,66319,65144,50178,57457,667656,5594,0.8,
24,Mississippi,46038,45286,51422,51364,51416,52475,66234,57597,53488,53088,51489,53090,632987,82091,14.9,
25,Missouri,64374,84759,97375,67944,79806,106058,69890,97826,94627,79549,85019,94799,1022026,62063,6.5,
26,Montana,21266,18853,20829,21831,22614,23391,26263,24653,23951,25912,20978,20015,270556,5472,2.1,
27,Nebraska,33185,29536,40080,34621,33114,41881,35482,35728,44207,41279,34735,40228,444076,14326,3.3,
28,Nevada,26679,24392,20028,30338,29771,14625,30595,33221,24064,32913,28613,15323,310562,"(3,692)",(1.2),
29,New Hampshire,8188,8428,6612,8263,8268,8022,9946,8556,7836,9853,8304,9246,101522,9234,10.0,
30,New Jersey,64833,61085,70475,67868,70126,7141,72855,69744,66538,72861,66293,68318,758137,"(35,894)",(4.5),
31,New Mexico,45056,38437,44850,49695,44290,44145,44167,46863,42991,44437,49388,42745,537064,30496,6.0,
32,New York,104885,106751,147085,90945,94621,139134,98941,132997,141017,105024,93569,142178,1397147,45954,3.4,
33,North Carolina,80184,83892,86812,85749,87980,101313,84461,98839,89091,93536,92845,84074,1068776,85293,8.7,
34,North Dakota,35363,26871,31246,30032,26634,31528,30706,30291,25970,36058,21932,27507,354138,"(40,540)",(10.3),
35,Ohio,139053,114957,139383,135162,121083,136984,128585,137680,139298,135134,128182,130789,1586290,82571,5.5,
36,Oklahoma,67777,92125,76978,61375,57195,94351,73359,69826,79595,56170,65311,70027,864089,"(7,033)",(0.8),
37,Oregon,44140,42484,45040,49287,45640,44502,47505,48957,45987,45229,44954,44784,548509,25735,4.9,
38,Pennsylvania,121541,110926,147508,119606,121502,155530,122032,120133,149995,125169,111077,143898,1548917,594,0.0,
39,Rhode Island,6110,5262,5097,5561,5688,5919,4528,5674,5724,6539,5973,5355,67430,7611,12.7,
40,South Carolina,56706,41439,65119,70847,49971,64834,69732,66873,73868,69027,64491,68598,761505,82501,12.2,
41,South Dakota,17388,17013,16705,18853,18345,18313,19305,20487,20882,20961,23589,19442,231283,13208,6.1,
42,Tennessee,71201,69248,83744,84696,80436,84105,74058,86731,84312,82282,83911,95273,979997,94428,10.7,
43,Texas,433036,398159,469728,434641,431785,367529,457075,465791,440023,435882,432723,448477,5214849,447806,9.4,
44,Utah,36517,32679,35978,38512,38899,43667,41472,42779,43729,42801,36463,32803,466299,17428,3.9,
45,Vermont,8022,2615,7367,5334,486,4999,489,6268,8417,9919,5803,6391,66110,3245,5.2,
46,Virginia,87462,76973,74299,83999,80705,96864,102068,89290,70963,93892,81286,74710,1012511,7834,0.8,
47,Washington,54705,47942,53222,61410,55676,58268,60115,61187,60004,80134,40020,50757,683440,38168,5.9,
48,West Virginia,25148,27660,20477,40993,32624,21189,47098,34540,15999,13626,3306,37459,320119,32989,11.5,
49,Wisconsin,61824,62657,60668,57389,76861,68611,76414,63483,74654,85285,51792,65220,804858,76552,10.5,
50,Wyoming,19962,27061,32483,28311,26366,38594,20570,44889,20147,24147,38814,29044,350388,4548,1.3,
51,Total,3189329,3026237,3559699,3280628,3234626,3447035,3444305,3523597,3527135,3517937,3226341,3636280,40613161,2204157,5.7,
