, ,ASIA,EUROPE,NORTH AMERICA,"CHINA
        ","JAPAN
        ","FRANCE
        ","GERMANY
        ","U.K.
        ","CANADA
        ","MEXICO
        ","U.S. (2)
        "
0,POPULATION,1367485388.0,126919659.0,66553766.0,80854408.0,64088222.0,35099836.0,121736809.0,321368864.0,,,
1,VEHICLE REGISTERED,,,,,,,,,,,
2,Total Vehicles,142831000.0,75519447.0,38080000.0,47647581.0,37113358.0,22849800.0,35890250.0,260350938.0,,,
3,Privately Owned Vehicles,120724000.0,60667517.0,31800000.0,44403124.0,32612782.0,21729596.0,25509204.0,246912335.0,,,
4,Persons per Privately Owned Vehicles,11.3,2.1,2.1,1.8,2.0,1.6,4.8,1.3,,,
5,VEHICLE PRODUCTION,,,,,,,,,,,
6,Total Vehicles,24503326.0,9278238.0,2015080.0,6186364.0,1682156.0,2283307.0,3565218.0,12105490.0,,,
7,Privately Owned Vehicles Cars,11991201.0,7830722.0,1570124.0,5708138.0,1587677.0,888565.0,1968054.0,4162310.0,,,
