FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Austin,TX,"134,553","1,771,822","118,096","80,119","61,288","45,389","2,076,713","1,870,979","528,077","296,661","31,469","2,487","2,729,673","652,498","154,911","256,589","127,608","74,524","1,266,129","3,801,657","1,156,170","3,345,610","661,325","618,070","9,582,831"
Avondale--Goodyear,AZ,"1,324,361","1,641,704","112,857","110,117","10,237",0,"1,874,915",0,0,0,0,0,0,"124,890","28,031","33,864",0,0,"186,785","169,047","133,799","193,700","65,685","1,996","564,227"
Bakersfield,CA,0,0,0,0,0,0,0,"981,534","302,275","128,193","10,038","14,428","1,436,468","110,932","96,093","84,579","29,292","33,527","354,423","365,723","177,039","766,651","105,217","397,891","1,812,522"
Baltimore,MD,"925,839","2,858,329","284,587","328,208","139,177","68,035","3,678,337","1,210,248","267,224","185,010","69,300","26,153","1,757,935","844,227","113,524","113,555","48,324","170,334","1,289,964","1,106,959","1,384,065","2,116,481","1,559,913","1,445,203","7,612,621"
Bangor,ME,0,"300,249","21,009","35,457","24,571","21,660","402,945",0,0,0,0,0,0,"102,703","20,991","44,746","25,798","43,578","237,817","198,366","72,358","94,364","39,913","38,234","443,235"
Barnstable Town,MA,0,0,0,0,0,0,0,"544,728","101,071","90,143","5,213","2,972","744,126","42,529","27,762","33,447","36,827","26,141","166,705","29,490","161,580","1,795,823","14,194","46,057","2,047,145"
Baton Rouge,LA,"585,496","2,071,086","1,239,982","874,704","224,418","152,539","4,562,729",0,0,0,0,0,0,"1,464,649","598,404","1,187,044","932,029","1,004,811","5,186,937","186,539","304,197","753,014","655,726","661,228","2,560,703"
Battle    Creek,MI,"8,204","601,689","42,569","27,210","18,532","8,803","698,802",0,454,"4,056","1,937",0,"6,448","20,311","6,956","28,331","16,564","12,443","84,605","266,738","15,340","354,324","27,870","99,843","764,114"
Bay City,MI,298,"320,892","26,325","1,675",0,0,"348,892","115,613","26,072","13,633",0,"5,198","160,517","57,759","30,864","48,604","62,760","83,255","283,243","172,154","7,393","192,078","13,669","128,851","514,145"
Beaumont,TX,"73,148","378,553","123,190","60,072","9,688",0,"571,503","331,640","35,664","45,614","43,724","3,666","460,308","77,643","11,596","49,013","25,500","31,380","195,131","257,017",0,"182,515","40,721","251,590","731,843"
Beckley,WV,"131,708","606,816","68,462","109,393","10,425","6,182","801,278",0,0,0,0,0,0,"335,397","127,031","59,436","12,635","9,288","543,787","246,283","109,235","209,170",51,"43,607","608,345"
