FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Columbus,AL,"252,130",0,0,0,0,0,0,"88,432","4,095","4,821",0,0,"97,348","174,033","8,441","5,551","2,233",0,"190,258","42,890",0,0,43,0,"42,933"
Columbus,GA,0,"506,742","87,632","118,289","12,195","5,068","729,925","249,131","107,858","187,774","31,100",0,"575,863","635,008","127,364","174,958","87,433","58,690","1,083,454","70,416","52,780","29,374","7,199",0,"159,769"
Columbus,IN,"236,483","583,377","40,359","29,881","3,378",0,"656,995",0,0,0,0,0,0,"307,306","76,769","26,119","13,196","7,532","430,922","175,478","7,422","11,975",255,0,"195,130"
Columbus,OH,0,"972,731","210,182","275,519","63,758","20,856","1,543,046","708,271","64,929","55,532","11,048","9,963","849,744","486,603","95,068","116,809","54,505","59,562","812,546","1,487,924","1,225,944","1,893,755","903,732","944,457","6,455,812"
Concord,CA,0,"1,262,990","227,914","179,404","84,184","29,121","1,783,613","488,216","370,734","162,694","91,412","55,310","1,168,366","7,019","25,554","61,244","47,844","63,581","205,243","698,617","42,072","256,134","644,715","740,967","2,382,504"
Concord,NC,"110,676","2,202,151","308,798","193,613","6,601",0,"2,711,163",0,0,0,0,0,0,"687,982","357,520","143,385","36,450","54,631","1,279,968","466,043","247,052","338,790","194,336","41,901","1,288,122"
Conroe--The    Woodlands,TX,"684,616","1,310,067","687,223","232,480",0,0,"2,229,770",0,0,0,0,0,0,"153,425","138,076","88,222","85,880","61,855","527,458","1,053,989","155,506","560,841","605,819","109,241","2,485,397"
Conway,AR,"206,023","316,288","6,501","13,102","2,600",0,"338,491",0,0,0,0,0,0,"32,110","18,567","17,257","10,070","4,306","82,310","40,244","319,176","155,959","21,165","14,480","551,023"
Corpus    Christi,TX,"169,400","610,403","31,680","9,967",0,0,"652,050","837,373","174,312","96,604","14,466",0,"1,122,754","145,251","68,619","93,484","69,442","157,529","534,325","1,137,181","591,313","270,433","14,062",316,"2,013,305"
Corvallis,OR,741,0,0,0,0,0,0,0,0,0,0,0,0,"152,688","53,811","66,348","13,550","20,175","306,572","287,744","50,041","59,356",663,0,"397,804"
Cumberland,MD,"2,913","219,770","21,051","9,014","1,100",0,"250,934",0,0,0,0,0,0,"100,863","29,816","11,946","1,528","4,105","148,259","41,180","37,302","61,158","31,504","20,265","191,409"
Cumberland,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,171","7,713","9,497","5,929","1,762","33,072"
Dallas--Fort    Worth--Arlington,TX,"815,105","3,085,483","916,723","634,367","399,739","81,302","5,117,614","2,215,758","1,849,993","2,716,425","688,630","140,537","7,611,342","281,128","268,865","519,182","212,838","261,223","1,543,236","13,856,556","8,667,655","8,120,534","3,289,689","2,311,589","36,246,023"
Dalton,GA,0,"1,097,554","8,089","24,663",0,0,"1,130,306",0,0,0,0,0,0,"276,358","66,577","47,769","25,708","26,826","443,238","501,962","97,241","48,988","7,367","15,190","670,748"
Danbury,CT,0,"621,925","80,995","140,901","2,235",0,"846,056","140,567","7,393","9,514",0,0,"157,474","30,528","51,782","47,369","22,094","30,366","182,139","42,900","84,548","277,900","197,737","395,184","998,270"
Danville,IL,0,"182,211",0,0,0,0,"182,211",0,0,0,0,0,0,"205,533","16,820","106,170","11,599",0,"340,122","34,546",0,"20,237","42,804","26,449","124,036"
Daphne--Fairhope,AL,"213,476","460,164","27,350","20,064",0,0,"507,578",0,0,0,0,0,0,"209,503","10,063","7,184","5,165",0,"231,916","293,369","103,610","37,267","6,200","1,878","442,324"
Davenport,IL,0,"796,342","12,775",0,0,0,"809,117",0,"36,512",0,0,0,"36,512","225,121","202,244","196,317","54,421","24,450","702,555","106,022","26,680","172,135","260,140","151,118","716,096"
Davenport,IA,"1,005,744","751,977","112,128","55,807","12,385","1,938","934,235",0,0,0,0,0,0,"201,867","90,822","164,309","85,879","98,982","641,859","27,708","4,662","2,070","4,802",960,"40,202"
Davis,CA,0,"176,484",0,0,0,"10,032","186,516","81,908","1,306","4,080",0,0,"87,294",0,"1,122","5,255","6,467","7,046","19,889","9,611","78,440","24,482","13,910","75,301","201,744"
Dayton,OH,0,"1,034,533","211,117","187,664","43,396","25,253","1,501,962","252,073","30,879","42,646","1,732","3,584","330,914","238,376","138,025","178,376","75,272","47,103","677,153","281,082","300,863","919,510","551,595","441,712","2,494,761"
Decatur,AL,"382,147","245,556",0,"1,125",0,0,"246,681",0,0,0,0,0,0,"117,170","10,209","6,054","6,040","3,167","142,641",0,0,0,"6,287",0,"6,287"
Decatur,IL,0,"167,269",0,0,0,0,"167,269","21,190",0,"4,151","46,097",0,"71,438","150,360","123,605","275,655","62,446","13,668","625,733",0,"74,857","108,099","83,249","157,347","423,553"
DeKalb,IL,0,"295,100",0,"38,165","7,193",0,"340,458",0,0,0,0,0,0,"36,402","29,436","184,287",0,720,"250,845","97,613","47,332","89,948","95,667","1,640","332,200"
Delano,CA,0,0,0,0,0,0,0,"275,423",0,"3,848",0,"5,886","285,157",0,0,125,923,"1,169","2,218","61,357","7,773","25,863","51,634","33,141","179,768"
Deltona,FL,600,"847,584","97,070","7,150","3,941",0,"955,745",0,0,0,0,0,0,"295,730","49,315","21,843","5,695",728,"373,311","530,313","179,532","383,721","35,998","59,884","1,189,449"
Denton--Lewisville,TX,"62,043","723,282","705,767","767,236","153,943","16,340","2,366,567","25,013","153,992","224,059","58,597","91,847","553,508","194,523","139,068","208,123","83,868","24,540","650,121","1,079,206","815,932","701,142","26,381","179,861","2,802,522"
Denver--Aurora,CO,0,"2,483,315","1,818,974","1,243,877","138,008","49,792","5,733,966","1,836,900","394,552","523,961","182,670","43,300","2,981,383","99,222","184,292","444,282","252,113","100,161","1,080,070","645,775","288,357","2,703,802","3,024,902","1,182,683","7,845,519"
Des Moines,IA,"2,429,640","2,859,877","604,936","389,461","47,225","6,440","3,907,939",0,0,0,0,0,0,"683,834","623,203","586,636","284,300","172,822","2,350,795","14,400","76,347","228,879","88,358","109,740","517,724"
Detroit,MI,"19,188","4,789,695","1,077,081","892,396","319,723","33,890","7,112,785","2,288,453","605,790","364,870","96,073","32,772","3,387,958","558,443","634,426","967,403","754,700","784,032","3,699,004","2,880,206","47,435","10,353,615","97,505","6,783,084","20,161,844"
Dothan,AL,"451,874",0,0,0,0,0,0,0,0,0,0,0,0,"201,919","20,560","19,754","8,984","3,609","254,827","113,973","7,139","57,591","5,933",0,"184,635"
Dover,DE,"26,584",0,0,0,0,0,0,"228,381","34,562","16,596",875,0,"280,415","154,760","18,047","4,999",0,0,"177,806","736,101","197,243","64,993","17,840","20,609","1,036,786"
Dover--Rochester,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,569",526,968,0,0,"13,062","33,439","18,614","17,856","8,825","3,120","81,854"
Dover--Rochester,NH,0,0,0,0,0,0,0,"587,040","23,014",0,0,0,"610,054","44,424","10,456","18,041","4,502","1,571","78,994","298,650","214,089","392,443","16,792","11,705","933,679"
Dubuque,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,281","38,911",0,0,"48,192",0,0,0,"3,226",0,"3,226"
Dubuque,IA,"195,696",0,0,0,0,0,0,0,0,0,0,0,0,"19,059","65,960","192,004","91,206","74,494","442,724","6,079","13,776","35,396","28,466","107,816","191,532"
Duluth,MN,0,"99,707","35,160","83,346","55,521","28,859","302,593",0,0,0,0,0,0,"152,177","122,864","134,171","42,836","54,063","506,111","148,544","11,670","170,629","55,877","406,668","793,388"
Duluth,WI,"1,011",0,0,"1,975",0,0,"1,975","21,886",0,0,0,0,"21,886","20,590","8,004","52,848","18,178","14,594","114,214","17,528","6,708","28,655","20,899","24,034","97,824"
Durham,NC,"189,797","3,161,290","184,007","30,504","6,960",0,"3,382,761","1,074,566","268,899","130,955","19,476","23,664","1,517,560","535,314","432,241","487,605","238,550","236,201","1,929,912","254,847","269,742","466,397","247,688","296,994","1,535,668"
East    Stroudsburg,PA,0,"557,993","46,555","51,114","58,417","11,801","725,880",0,0,0,0,0,0,"31,350","2,085","7,458","3,143",0,"44,036",0,"100,149","186,345","94,079","167,452","548,025"
Eau Claire,WI,"9,443","91,014","46,763","12,427","3,047",0,"153,251","163,096","63,019","22,798","4,816",0,"253,729","103,764","29,170","32,688","13,754","7,058","186,434","28,407","59,060","92,317","118,393","58,175","356,353"
El    Centro--Calexico,CA,0,"97,599","3,350","3,150",0,0,"104,099",0,0,0,0,0,0,"67,349","37,310","26,308","11,995","28,600","171,562","161,419","24,515","38,445","19,404","60,783","304,567"
Elizabethtown--Radcliff,KY,"501,604","136,162","21,883","12,273",0,0,"170,318","19,369",0,0,"4,607",0,"23,976","350,445","82,229","35,172","4,878",512,"473,236","101,168","37,623","42,628",0,"3,135","184,553"
Elkhart,IN,"1,374,318",0,0,0,0,0,0,"28,520","126,345","64,748","9,100","2,624","231,336","355,192","86,213","149,583","65,325","37,302","693,615","12,544","4,973","23,590","2,144",0,"43,251"
Elkhart,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,614","1,662",649,0,0,"12,926"
Elmira,NY,"403,149",0,0,"10,277","17,129","4,796","32,203",0,0,0,0,0,0,"76,181","14,519","20,797","8,078","14,485","134,060","59,517","84,790","70,263","20,375","5,484","240,429"
El Paso,NM,"5,284","222,110","3,552",0,0,0,"225,662",0,0,0,0,0,0,"54,383","6,243","3,065","3,238","2,257","69,185","92,194","34,073","59,707","17,098","2,740","205,812"
El Paso,TX,"54,718","877,536","579,198","463,910","116,086","9,405","2,046,135","568,825","176,802","143,044","27,824",0,"916,495","326,447","204,022","264,316","69,349","44,022","908,156","1,154,776","202,683","857,574","673,100","110,181","2,998,315"
El Paso de    Robles (Paso Robles)--Atascadero,CA,0,0,0,0,0,0,0,"334,780","4,899","13,992",866,0,"354,537","61,660","7,896","10,081","1,238","4,242","85,117","99,540",64,"62,104","41,179","160,048","362,935"
Erie,PA,0,"348,339",0,0,"3,609",0,"351,947",0,0,0,0,0,0,"75,075","34,263","54,241","44,991","21,001","229,570","272,369","160,007","176,435","66,108","100,543","775,462"
Eugene,OR,"2,320","729,294","21,344","21,317","6,477","3,592","782,024","520,027","212,643","43,932","12,115","4,491","793,208","297,421","148,785","132,217","51,716","68,691","698,830","1,248,292","225,929","108,368","39,393","8,455","1,630,438"
Evansville,IN,"950,140","62,415","38,747","31,888","5,382",0,"138,433",0,0,0,0,0,0,"375,982","248,790","394,003","165,622","106,256","1,290,653","91,868","4,639",0,0,0,"96,507"
Evansville,KY,"85,596",0,0,0,0,0,0,"80,656","11,790","10,706","9,937","1,649","114,737","151,355","48,568","61,710","28,964","29,381","319,979","25,709","3,173","3,209","5,700",582,"38,373"
Fairbanks,AK,"3,432","185,289","76,119","50,771","10,579",993,"323,750",0,0,0,0,0,0,"164,793","74,915","61,668","25,776","22,699","349,850","67,318","43,094","68,529","52,522","44,650","276,112"
Fairfield,CA,0,"789,041","42,504","30,012","7,200","25,564","894,321","63,032","13,460","54,652","27,657","11,382","170,183","21,385","26,976","38,681","9,226","8,650","104,917","1,127",0,0,0,"341,866","342,993"
Fargo,MN,0,"211,514","7,600",0,0,0,"219,114",0,0,0,0,0,0,"92,053","28,036","31,617","7,257","27,953","186,916","29,798",52,"49,732","41,000","86,458","207,042"
Fargo,ND,0,"430,736","152,131","5,416",0,0,"588,283",0,0,0,0,0,0,"19,826","39,852","64,094","18,826","27,273","169,871","63,815","27,708","418,796","106,256","40,315","656,890"
Farmington,NM,"89,108",0,0,0,0,0,0,0,0,0,0,0,0,"44,837","20,413","77,767","17,339","17,914","178,271","76,225","18,282","44,301","56,524","28,115","223,447"
Fayetteville,NC,"111,191","451,888",0,0,0,0,"451,888","378,426","37,287","19,600",882,"2,289","438,484","1,145,940","541,759","525,537","205,119","205,005","2,623,360","976,163","524,985","437,897","105,313","102,097","2,146,456"
Fayetteville--Springdale--Rogers,AR,"510,174","423,740","20,610","17,200","12,360",0,"473,910","69,358","12,600","13,691",0,780,"96,430","273,550","58,544","27,177","1,698","4,380","365,349","1,022,834","491,417","511,434","589,196","287,019","2,901,900"
Fayetteville--Springdale--Rogers,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,914",0,"1,533","2,018",0,"7,465",0,0,0,0,0,0
Flagstaff,AZ,"280,341","416,677","100,498","47,394","3,124",0,"567,693",0,0,0,0,0,0,"66,016","1,502","1,810",710,"3,308","73,346","40,991","8,087","11,950","5,280","11,974","78,282"
Flint,MI,29,"1,527,819","38,814","220,207","224,638","72,398","2,083,875","342,635","143,787","57,894","4,796",0,"549,112","41,447","50,169","80,534","72,074","132,429","376,654","888,974","79,693","867,117","6,329","1,150,285","2,992,399"
Florence,AL,"446,874",0,0,0,0,0,0,0,0,0,0,0,0,"107,317","29,248","9,534","1,813",0,"147,912",0,0,0,0,0,0
Florence,SC,0,"316,508","148,966",0,0,0,"465,474","6,909","22,758","2,640","9,240",0,"41,547","82,215","27,584","41,167","8,116","3,100","162,182","118,111","220,271","311,936","109,846","13,719","773,883"
Fond du Lac,WI,"12,708","51,568","45,413","30,301","3,784",0,"131,066",0,0,0,0,0,0,"11,453","20,206","26,091","6,059","10,476","74,284","56,110","12,078","56,238","38,193","83,351","245,969"
Fort    Collins,CO,0,"533,824","97,653","90,382","15,586","23,700","761,145","9,000","30,024","56,826","5,274","1,800","102,924","203,539","45,179","132,566","73,858","23,494","478,636","648,735","423,240","1,011,811","224,649","71,645","2,380,080"
Fort Smith,AR,"60,248","307,570","10,820","6,720","5,950",0,"331,060","2,040",0,0,"1,700","4,420","8,160","9,588","15,505","50,139","31,053","12,963","119,248","125,462","178,385","196,564","133,686","294,687","928,785"
Fort Smith,OK,"1,176",0,0,0,0,0,0,0,0,0,0,0,0,"59,707","3,491","13,705",893,0,"77,796",0,0,"13,151",391,0,"13,542"
Fort Walton    Beach--Navarre--Wright,FL,832,0,0,0,0,0,0,0,0,0,0,0,0,"505,850","55,977","13,240","4,497",0,"579,564","755,169","96,113","106,559","1,222","16,066","975,128"
Fort Wayne,IN,"2,346,719","945,175","203,961","174,298","73,047","24,243","1,420,724","88,428","29,190","4,660","1,973",0,"124,251","318,929","81,875","76,326","34,943","19,892","531,964","308,298","14,060","17,272",0,"3,049","342,678"
Frederick,MD,"11,065","553,883","27,061","23,727",0,0,"604,671","579,980","28,219","29,318","2,649","3,239","643,405","43,389","47,693","61,568","21,566","14,978","189,193","117,672","54,046","166,077","96,165","52,146","486,106"
Fredericksburg,VA,"170,517","1,466,877","64,943","22,527","6,261",0,"1,560,608",0,0,0,0,0,0,"377,988","296,556","330,131","117,459","49,542","1,171,675","217,462","106,159","103,880","43,294","30,946","501,741"
Fresno,CA,0,0,0,0,0,0,0,"846,180","124,011","73,246","20,808","2,038","1,066,283","94,061","38,592","68,933","22,714","38,144","262,444","352,764","573,681","631,142","535,423","779,450","2,872,460"
Gadsden,AL,"170,227","254,772","13,657","8,486","4,682",400,"281,996",0,0,0,0,0,0,"228,554","4,386","11,613","9,551","7,803","261,907","81,807","39,407","53,741","17,458","8,064","200,477"
Gainesville,FL,0,"484,312","49,720","4,669","2,736",0,"541,437",0,0,0,0,0,0,"272,543","106,231","31,420","2,600","2,030","414,823","635,590","248,024","143,948","29,774","7,460","1,064,796"
Gainesville,GA,0,"758,164","27,101","54,384",0,0,"839,650","30,900","3,000",103,0,0,"34,003","884,247","132,869","168,473","39,434","36,198","1,261,220","332,107","157,576","125,917","24,214","11,675","651,490"
Gastonia,NC,"38,498","1,935,651","139,913","37,930","26,000",0,"2,139,494","276,273","7,097","9,362",0,0,"292,732","195,731","221,375","359,672","151,208","155,937","1,083,921","257,617","295,067","403,898","135,896","103,833","1,196,311"
Gastonia,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,725",0,"7,056",0,0,"12,781"
Gilroy--Morgan    Hill,CA,0,0,0,0,0,0,0,"703,480","66,838","20,628",0,"15,916","806,862","6,430","6,663","43,966","7,558","16,109","80,725","71,611","11,429","36,087",0,"203,700","322,826"
Glens Falls,NY,"68,502","306,080","1,186","1,186","1,991",0,"310,444",0,0,0,0,0,0,"49,740","44,737","48,818","8,694","4,114","156,103","5,662","33,461","165,949","85,194","64,312","354,579"
Goldsboro,NC,"15,919","136,921","1,440","2,871",0,0,"141,232","234,444","39,046","5,123","2,045","3,200","283,857","281,000","68,677","44,453","5,817","13,042","412,989","239,304","158,335","128,165","59,550","45,518","630,872"
Grand Forks,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,827","4,504","2,064","6,314","7,471","46,181","4,536","3,157","4,592","2,270","4,153","18,707"
Grand Forks,ND,0,"32,507","10,194","28,197",0,0,"70,898",0,0,0,0,0,0,"36,469","21,069","33,382","10,985","10,709","112,613","20,973","16,865","49,354","24,034","47,337","158,563"
Grand    Junction,CO,0,"319,320","10,830","6,600","1,300",0,"338,050",0,0,0,0,0,0,"99,405","55,240","46,988","9,479","7,529","218,641","118,599","103,359","180,224","351,812","67,681","821,676"
Grand    Rapids,MI,932,"1,170,204","64,247","130,751","38,172","11,594","1,414,968","1,543,148","349,251","284,524","38,223","6,747","2,221,893","225,157","132,242","179,706","68,946","80,296","686,346","2,266,149","147,168","1,315,781","20,956","1,286,125","5,036,177"
Grants Pass,OR,0,"783,053","7,676","5,947","8,382",236,"805,294",0,0,0,0,0,0,"187,806","45,570","56,481","16,811","5,272","311,940","310,417","63,399","47,890","3,117","11,362","436,185"
Great Falls,MT,0,"58,026","5,546",651,"3,105","1,601","68,929",0,0,0,0,0,0,"51,954","50,874","40,676","15,636","22,252","181,393","7,029","2,455","63,979","39,222","59,736","172,421"
Greeley,CO,0,0,0,0,0,0,0,"260,467","68,420","25,041","13,920","14,272","382,120","31,249","39,335","51,286","18,570","11,386","151,825","68,405","211,269","261,132","219,110","48,225","808,141"
Green Bay,WI,"29,851","318,557","464,295","25,577",499,0,"808,928","106,436","123,501","47,921","11,529","5,964","295,351","17,934","6,615","56,204","33,000","47,780","161,534","9,769","150,550","191,028","374,181","304,798","1,030,326"
Greensboro,NC,"150,935","2,831,135","646,004","255,010",522,0,"3,732,671","1,072,802","260,704","105,604","16,844",0,"1,455,955","428,456","278,332","356,044","102,239","52,145","1,217,216","505,920","506,817","901,367","345,926","151,023","2,411,052"
Greenville,NC,"13,813",0,0,0,0,0,0,"132,992","7,796","2,158","2,500",0,"145,446","389,466","97,456","156,455","51,157","52,847","747,382","132,304","179,351","351,132","141,901","145,028","949,716"
Greenville,SC,0,"828,536","475,968","185,614","23,517",0,"1,513,635","27,086","36,998","15,080",0,0,"79,164","186,131","106,537","308,790","42,246","5,339","649,043","474,874","424,646","1,329,577","459,888","129,756","2,818,740"
Gulfport,MS,"52,166","1,784,993","67,436","49,030","20,691",989,"1,923,140","1,575","3,053","7,662",759,"2,167","15,216","739,811","217,501","167,669","35,913","40,057","1,200,950","249,930","167,215","244,076","153,345","189,746","1,004,311"
Hagerstown,MD,"19,932","673,487","115,154","60,479","14,137","10,943","874,200",0,0,0,0,0,0,"55,369","34,595","40,313","6,066","8,525","144,868","259,856","46,961","88,437","86,557","72,739","554,549"
Hagerstown,PA,0,"242,125","4,830","9,595",0,"4,737","261,287",0,0,0,0,0,0,"8,090",196,0,829,466,"9,580",0,0,0,0,0,0
Hagerstown,WV,"8,232","542,381","53,258","52,599","13,253",0,"661,491",0,0,0,0,0,0,"63,329","45,230","50,051","28,916","29,932","217,458","161,767","117,733","183,248","18,366","6,630","487,744"
Hammond,LA,"7,314","1,297,437","44,753","103,407","41,082",0,"1,486,678",0,0,0,0,0,0,"99,860","32,575","59,955","52,132","41,509","286,031","250,762","98,287","166,446","14,501","28,791","558,786"
Hanford,CA,0,0,0,0,0,0,0,"101,186","25,910","11,951",0,0,"139,046","30,589","14,728","8,298","5,950","6,365","65,931","124,704","39,466","146,541","19,956","19,554","350,221"
Hanover,PA,0,0,0,0,0,0,0,"19,438","7,033","1,774",0,0,"28,244","25,161","14,235","9,599","3,180","3,977","56,152","67,336","11,258","11,727","11,727","19,105","121,155"
Harlingen,TX,"165,015","665,725","30,779","42,256","2,985",0,"741,744",0,0,0,0,0,0,"131,201","59,912","38,061","24,998","23,847","278,020","318,880","54,796","204,298","20,978","49,223","648,174"
Harrisburg,PA,0,"3,794,800","455,921","465,683","173,471","40,799","4,930,674","182,487","75,685","138,090","40,964","20,024","457,250","66,482","94,323","112,946","36,124","21,930","331,805","550,722","376,174","565,679","232,525","114,413","1,839,513"
Harrisonburg,VA,"124,510","1,634,956","152,007","30,235","3,478","1,410","1,822,086",0,0,0,0,0,0,"164,826","93,683","89,407","8,626","2,676","359,217","44,257","67,079","75,812","43,606","23,660","254,415"
Hartford,CT,0,"1,733,038","100,923","75,777","4,749",330,"1,914,817","713,358","138,396","83,131","22,790","19,563","977,238","71,076","117,821","169,425","50,350","120,998","529,670","258,348","497,055","1,178,433","944,417","1,438,185","4,316,439"
Hattiesburg,MS,0,"293,923","30,469","24,266","8,918",0,"357,575",0,0,0,0,0,0,"399,767","52,555","98,590","23,937","25,697","600,547","76,882","65,482","76,926","84,324","93,728","397,341"
Hazleton,PA,0,"19,045","69,374","53,063","1,152","7,956","150,592",0,0,0,0,0,0,"14,479","15,431","28,676","11,782","11,275","81,643","62,597","78,900","27,240","28,519","12,129","209,385"
Hemet,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,421","62,072","98,055","44,644","31,828","290,019",0,"19,169","190,051","78,068","162,654","449,941"
Hickory,NC,"126,152","1,637,285","100,122","18,000",0,0,"1,755,407","212,059","35,988","26,228","4,000","1,011","279,286","850,168","407,202","357,686","124,125","89,634","1,828,814","607,830","440,561","248,488","89,304","59,530","1,445,713"
High Point,NC,"54,240","737,996","151,879","450,274","45,532","5,510","1,391,191","328,900","13,484","4,100",0,0,"346,484","234,642","218,716","210,503","79,809","47,375","791,045","321,319","160,274","441,018","80,083","118,439","1,121,133"
Hilton Head    Island,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,120","14,070","31,179",0,0,"200,369",0,0,"108,540","142,798","5,812","257,150"
Hinesville,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,"221,756","26,675","23,136","18,630","14,849","305,047","166,721","24,545","48,721","5,152","1,601","246,741"
Holland,MI,461,"262,271","6,357","7,434","2,379",0,"278,441","2,683",0,"12,396","20,365","5,927","41,372","267,181","93,771","88,837","63,205","56,566","569,562","323,538","2,211","268,396",0,"293,952","888,097"
Homosassa    Springs--Beverly Hills--Citrus Springs,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,"212,655","31,455","3,140",0,0,"247,250","318,740","10,029","105,346","214,770",0,"648,886"
Hot Springs,AR,"2,139",0,0,0,0,0,0,"84,260","47,672","17,704","8,585",530,"158,751","30,288","42,595","72,977","48,590","34,253","228,702","29,401","32,371","52,737","111,802","49,484","275,795"
Houma,LA,"341,974",0,0,0,0,0,0,"182,868","69,937","36,385","27,597","1,896","318,681","114,366","90,219","161,237","83,702","130,315","579,838","507,259","128,412","155,095","154,638","160,897","1,106,301"
Houston,TX,"955,421","2,268,369","1,394,750","1,503,694","441,725","97,414","5,705,952","1,132,194","920,114","1,632,952","545,097","51,887","4,282,244","705,564","279,194","293,123","185,679","298,338","1,761,898","9,848,158","2,629,577","11,036,771","4,779,731","2,755,591","31,049,828"
Huntington,KY,"412,907",0,0,0,0,0,0,0,0,0,0,0,0,"265,770","45,977","60,597","10,091","6,428","388,862",0,0,0,0,0,0
Huntington,OH,0,0,0,0,0,0,0,"125,818","7,343","3,694",0,0,"136,855","33,706","9,267","6,077","5,527",980,"55,557","68,339","17,176","31,328","11,974","13,610","142,427"
Huntington,WV,"243,002","320,572","50,619","33,073","4,403","4,403","413,071","1,789","1,158","1,170",225,0,"4,343","200,447","159,205","149,591","58,163","29,980","597,385","263,551","149,020","133,337","12,923","33,227","592,058"
Huntsville,AL,"1,924,420","922,749","8,591","2,972","2,584",0,"936,896","330,647","44,254","26,170","3,687",0,"404,759","538,483","59,516","22,340","4,042","2,772","627,152","38,869","4,902","3,664","3,858","2,191","53,484"
Idaho Falls,ID,"20,750","76,227",635,0,0,"2,144","79,007",0,0,0,0,0,0,"257,469","56,608","53,944","31,217","24,236","423,475","404,724","73,198","213,497","22,571",0,"713,990"
Indianapolis,IN,"10,958,076","7,751,412","2,106,224","1,784,535","554,895","235,999","12,433,064","83,098","7,656","9,250",0,0,"100,003","2,013,643","410,121","380,908","148,793","69,958","3,023,422","1,969,254","183,652","306,741","54,128","10,870","2,524,646"
Indio--Cathedral    City,CA,0,"1,249,791","46,249",0,"7,237",0,"1,303,277","134,514","13,896","2,700",0,0,"151,110","12,688","35,680","49,953","46,559","49,017","193,896","5,834","255,841","972,218","326,952","602,413","2,163,258"
Iowa City,IA,"41,784","588,491","44,387","38,547","7,746",0,"679,172",0,0,0,0,0,0,"351,328","55,840","42,342","30,567","55,911","535,988","64,865","20,255","93,147","78,361","283,761","540,389"
Ithaca,NY,"5,988",0,0,0,0,0,0,"92,216","7,980","8,689","17,606","2,621","129,112","19,188","13,574","25,547","38,281","22,876","119,467","17,198","68,218","90,795","69,621","63,899","309,731"
Jackson,MI,0,"184,666","129,580","86,848","22,179",0,"423,274","190,343","70,180","26,833","3,829","2,949","294,134","54,021","29,094","47,510","37,803","48,164","216,592","90,390","5,206","547,847","2,603","188,107","834,153"
Jackson,MS,0,"2,459,255","317,355","315,458","107,358","42,254","3,241,681",0,0,0,0,0,0,"484,110","220,150","201,837","166,173","311,816","1,384,086","230,705","193,055","472,086","355,010","644,622","1,895,478"
Jackson,TN,"317,198","267,397","32,512","17,843",0,0,"317,751",0,0,0,0,0,0,"96,176","75,325","85,327","25,285","10,132","292,245","64,508","21,328","38,140","9,563",0,"133,538"
Jacksonville,FL,"599,054","1,693,886","61,496","62,675","7,056",0,"1,825,114","604,898","34,597","60,041","21,134",75,"720,745","696,231","164,300","113,991","34,880","10,138","1,019,541","6,647,730","919,211","1,335,492","269,365","187,138","9,358,937"
Jacksonville,NC,"12,959",0,0,0,0,0,0,"180,648","9,888","4,138","3,534",0,"198,208","501,098","147,758","48,521","15,932","36,135","749,443","143,479","71,437","230,342","37,767","53,011","536,037"
Janesville,WI,"10,246","153,132","8,517","38,041","9,084",0,"208,774","3,123","19,550","20,235","8,760",883,"52,551","34,222","25,062","41,752","16,276","21,528","138,839","12,349","20,101","59,967","143,843","83,304","319,564"
Jefferson    City,MO,"7,395",0,0,0,0,0,0,"352,807","38,354","17,662","13,563",302,"422,688","64,686","5,364","10,726","6,784","3,256","90,815","64,504","48,092","176,046","56,487","79,743","424,872"
Johnson    City,TN,"538,547","119,718","64,272","157,452","27,477",0,"368,920",0,0,0,0,0,0,"248,370","23,109","12,479","2,746",0,"286,704","161,335","18,764","12,047","14,041","8,256","214,442"
Johnstown,PA,0,0,0,0,0,0,0,"69,418","1,792","7,733",0,0,"78,942","16,825","17,364","27,380","7,116","8,471","77,154","23,110","64,244","91,228","18,029","19,152","215,764"
