STATE,COMBINED GASOLINE AND    GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,
,HIGHWAY USE,,,,,NONHIGHWAY    USE,,,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC. (2)",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY    USE,HIGHWAY (3),,NON-HIGHWAY (GASOLINE ONLY),TOTAL
,PRIVATE AND COMMERCIAL,PUBLIC USE,,,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,,,,,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,
,,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,,,,,,,,,,,,
Minnesota," 2,289,827 ","3,874 ","29,498 "," 33,372 "," 2,323,199 "," 238,746 "," 1,545 "," 240,291 "," 2,563,490 "," 65,649 "," 2,629,139 "," 667,656 "," 2,990,855 ",(3.8)," 240,291 "," 3,231,146 "
Mississippi," 1,596,838 ","2,199 ","8,111 "," 10,310 "," 1,607,148 "," 86,243 ", 426 ," 86,669 "," 1,693,817 "," 34,568 "," 1,728,385 "," 632,987 "," 2,240,135 ",0.3 ," 86,669 "," 2,326,804 "
Missouri," 2,925,068 ","4,003 ","25,198 "," 29,201 "," 2,954,269 "," 184,401 "," 1,322 "," 185,723 "," 3,139,992 "," 31,348 "," 3,171,340 "," 1,022,026 "," 3,976,295 ",(2.5)," 185,723 "," 4,162,018 "
Montana," 480,279 ","2,136 ",717 ," 2,853 "," 483,132 "," 56,813 ", 37 ," 56,850 "," 539,982 ",-," 539,982 "," 268,546 "," 751,678 ",(2.5)," 56,850 "," 808,528 "
Nebraska," 802,503 ","1,457 ","18,567 "," 20,024 "," 822,527 "," 67,908 ", 970 ," 68,878 "," 891,405 ",-," 891,405 "," 444,076 "," 1,266,603 ",(2.7)," 68,878 "," 1,335,481 "
Nevada," 1,053,283 ","2,690 ","12,085 "," 14,775 "," 1,068,058 "," 85,278 ", 630 ," 85,908 "," 1,153,966 ",-," 1,153,966 "," 310,562 "," 1,378,620 ",(0.8)," 85,908 "," 1,464,528 "
New Hampshire," 649,330 ",707 ,"6,822 "," 7,529 "," 656,859 "," 58,874 ", 322 ," 59,196 "," 716,055 ", 1 ," 716,056 "," 101,522 "," 758,381 ",(3.8)," 59,196 "," 817,577 "
New Jersey," 3,886,121 ","5,521 ","36,868 "," 42,389 "," 3,928,510 "," 186,289 "," 1,924 "," 188,213 "," 4,116,723 ",-," 4,116,723 "," 768,334 "," 4,696,844 ",(3.1)," 188,213 "," 4,885,057 "
New Mexico," 897,015 ","4,582 ","11,968 "," 16,550 "," 913,565 "," 67,418 ", 624 ," 68,042 "," 981,607 ",-," 981,607 "," 537,064 "," 1,450,629 ",(1.5)," 68,042 "," 1,518,671 "
New York," 4,990,107 ","9,024 ","91,666 "," 100,690 "," 5,090,797 "," 381,339 "," 4,784 "," 386,123 "," 5,476,920 "," 13,794 "," 5,490,714 "," 1,397,147 "," 6,487,944 ",(4.4)," 386,123 "," 6,874,067 "
North Carolina," 4,198,644 ","5,384 ","48,066 "," 53,450 "," 4,252,094 "," 266,204 "," 2,059 "," 268,263 "," 4,520,357 "," 45,981 "," 4,566,338 "," 1,068,776 "," 5,320,870 ",1.3 ," 268,263 "," 5,589,133 "
North Dakota," 425,550 ","1,050 ","6,514 "," 7,564 "," 433,114 "," 37,996 ", 341 ," 38,337 "," 471,451 "," 1,141 "," 472,592 "," 354,138 "," 787,252 ",(10.1)," 38,337 "," 825,589 "
Ohio," 4,719,029 ","6,020 ","79,240 "," 85,260 "," 4,804,289 "," 291,405 "," 4,154 "," 295,559 "," 5,099,848 ",-," 5,099,848 "," 1,586,290 "," 6,390,579 ",(1.3)," 295,559 "," 6,686,138 "
Oklahoma," 1,778,804 ","2,638 ","13,094 "," 15,732 "," 1,794,536 "," 161,077 ", 684 ," 161,761 "," 1,956,297 ", 17 ," 1,956,314 "," 864,089 "," 2,658,625 ",(5.5)," 161,761 "," 2,820,386 "
Oregon," 1,427,698 ","3,510 ","17,675 "," 21,185 "," 1,448,883 "," 106,540 ", 924 ," 107,464 "," 1,556,347 ",-," 1,556,347 "," 548,509 "," 1,997,392 ",0.5 ," 107,464 "," 2,104,856 "
Pennsylvania," 4,573,256 ","6,520 ","61,672 "," 68,192 "," 4,641,448 "," 266,259 "," 2,994 "," 269,253 "," 4,910,701 "," 24,574 "," 4,935,275 "," 1,548,917 "," 6,190,365 ",(4.1)," 269,253 "," 6,459,618 "
Rhode Island," 349,650 ",819 ,"9,062 "," 9,881 "," 359,531 "," 20,944 ", 443 ," 21,387 "," 380,918 "," 2,560 "," 383,478 "," 67,430 "," 426,961 ",(1.0)," 21,387 "," 448,348 "
South    Carolina," 2,575,307 ","3,071 ","53,610 "," 56,680 "," 2,631,987 "," 182,036 "," 2,884 "," 184,920 "," 2,816,907 ",-," 2,816,907 "," 761,505 "," 3,393,492 ",1.7 ," 184,920 "," 3,578,413 "
South Dakota," 422,020 ","1,129 ","12,674 "," 13,803 "," 435,823 "," 34,953 ", 667 ," 35,620 "," 471,443 "," 10,557 "," 482,000 "," 231,283 "," 667,106 ",(1.1)," 35,620 "," 702,726 "
Tennessee," 2,965,160 ","4,587 ","91,650 "," 96,237 "," 3,061,397 "," 192,791 "," 4,511 "," 197,302 "," 3,258,699 "," 48,823 "," 3,307,522 "," 979,997 "," 4,041,394 ",(1.6)," 197,302 "," 4,238,696 "
Texas," 12,942,422 ","16,678 ","295,616 "," 312,294 "," 13,254,716 "," 609,069 "," 15,450 "," 624,519 "," 13,879,235 ",-," 13,879,235 "," 5,214,849 "," 18,469,565 ",0.5 ," 624,519 "," 19,094,084 "
Utah," 1,034,853 ","2,725 ","6,329 "," 9,054 "," 1,043,907 "," 73,235 ", 332 ," 73,567 "," 1,117,474 "," 22,570 "," 1,140,044 "," 466,299 "," 1,510,206 ",(2.4)," 73,567 "," 1,583,773 "
Vermont," 287,330 ",399 ,"4,471 "," 4,870 "," 292,200 "," 20,503 ", 234 ," 20,737 "," 312,937 ", 61 ," 312,998 "," 66,110 "," 358,310 ",(2.1)," 20,737 "," 379,047 "
Virginia," 3,741,681 ","8,729 ","65,552 "," 74,281 "," 3,815,962 "," 205,258 "," 3,419 "," 208,677 "," 4,024,639 ",-," 4,024,639 "," 1,012,511 "," 4,828,473 ",(2.6)," 208,677 "," 5,037,150 "
Washington," 2,584,730 ","6,590 ","36,742 "," 43,332 "," 2,628,062 "," 168,806 "," 1,613 "," 170,419 "," 2,798,481 "," 31,808 "," 2,830,289 "," 683,440 "," 3,311,502 ",(0.8)," 170,419 "," 3,481,921 "
West Virginia," 793,160 ","1,276 ","17,061 "," 18,337 "," 811,497 "," 52,648 ", 891 ," 53,539 "," 865,036 ",-," 865,036 "," 320,119 "," 1,131,616 ",4.8 ," 53,539 "," 1,185,155 "
Wisconsin," 2,305,461 ","2,813 ","63,366 "," 66,179 "," 2,371,640 "," 227,123 "," 3,322 "," 230,445 "," 2,602,085 "," 35,606 "," 2,637,691 "," 804,858 "," 3,176,498 ",(5.2)," 230,445 "," 3,406,943 "
Wyoming," 312,509 ","1,206 ",381 ," 1,587 "," 314,096 "," 55,035 ", 19 ," 55,054 "," 369,150 ",-," 369,150 "," 350,388 "," 664,484 ",(4.7)," 55,054 "," 719,538 "
 Total," 127,371,398 "," 221,876 "," 2,170,628 "," 2,392,503 "," 132,242,542 "," 8,869,632 "," 111,657 "," 8,981,289 "," 141,223,831 "," 533,714 "," 141,757,545 "," 40,621,320 "," 172,863,862 ",(1.9)," 8,981,289 "," 181,845,152 "
 Percentage of Total Use, 70.0 , 0.1 , 1.2 , 1.3 , 72.7 , 4.9 , 0.1 , 4.9 , 77.7 , 0.3 , 78.0 , 22.3 , 95.1 , , 4.9 , 100.0 
