,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
177,Fresno,CA,0,0,0,0,0,0,0,11,5,4,0,0,21,6,2,4,2,3,17,31,55,76,47,93,301,,,,,,
178,Gadsden,AL,16,13,1,0,0,0,14,0,0,0,0,0,0,17,0,1,0,0,19,15,6,5,5,1,31,,,,,,
179,Gainesville,FL,0,7,1,0,0,0,8,0,0,0,0,0,0,11,3,1,0,0,15,38,15,13,2,1,68,,,,,,
180,Gainesville,GA,0,14,0,1,0,0,16,1,0,0,0,0,1,44,6,8,1,2,61,40,13,10,2,1,66,,,,,,
181,Gastonia,NC,1,22,1,0,0,0,24,8,0,0,0,0,8,12,15,23,9,10,69,38,37,52,18,14,159,,,,,,
182,Gastonia,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,,,,,,
183,Gilroy--Morgan Hill,CA,0,0,0,0,0,0,0,7,1,0,0,0,8,0,0,2,0,2,5,4,0,3,0,35,42,,,,,,
184,Glens Falls,NY,3,10,0,0,0,0,10,0,0,0,0,0,0,5,4,4,1,0,14,1,6,31,21,16,74,,,,,,
185,Goldsboro,NC,1,8,0,0,0,0,8,9,1,0,0,0,11,11,3,2,1,1,17,26,18,20,7,8,79,,,,,,
186,Grand Forks,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,7,1,1,2,0,1,5,,,,,,
187,Grand Forks,ND,0,3,1,2,0,0,6,0,0,0,0,0,0,3,2,3,1,1,9,4,2,8,6,11,31,,,,,,
188,Grand Junction,CO,0,17,1,0,0,0,17,0,0,0,0,0,0,6,3,3,1,1,13,15,6,18,37,7,83,,,,,,
189,Grand Rapids,MI,0,22,1,2,1,0,27,24,7,6,1,0,38,8,7,11,4,4,35,276,10,192,1,252,731,,,,,,
190,Grants Pass,OR,0,23,0,0,0,0,24,0,0,0,0,0,0,14,3,4,1,1,23,110,18,11,1,2,140,,,,,,
191,Great Falls,MT,0,6,0,0,0,0,7,0,0,0,0,0,0,3,3,3,1,2,12,2,1,11,7,15,36,,,,,,
192,Greeley,CO,0,0,0,0,0,0,0,10,3,1,1,1,15,2,2,4,1,1,11,6,15,36,20,8,85,,,,,,
193,Green Bay,WI,0,9,8,1,0,0,17,3,3,3,1,0,9,2,1,4,2,3,12,5,15,22,56,42,141,,,,,,
194,Greensboro,NC,5,39,11,5,0,0,55,30,6,2,0,0,39,21,15,17,5,3,60,52,46,77,31,12,218,,,,,,
195,Greenville,NC,1,0,0,0,0,0,0,8,0,0,0,0,9,18,4,8,2,2,34,7,13,28,11,10,69,,,,,,
196,Greenville,SC,0,14,7,2,0,0,23,2,4,1,0,0,7,7,4,11,2,0,24,41,64,119,46,14,283,,,,,,
197,Gulfport,MS,3,30,1,1,0,0,33,0,0,1,0,0,2,32,10,8,2,3,55,29,22,34,22,26,132,,,,,,
198,Hagerstown,MD,1,11,2,1,0,0,15,0,0,0,0,0,0,3,2,2,1,1,9,25,5,9,12,11,62,,,,,,
199,Hagerstown,PA,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,
200,Hagerstown,WV,1,9,1,1,0,0,11,0,0,0,0,0,0,3,2,3,2,1,11,20,10,32,1,1,65,,,,,,
201,Hammond,LA,0,28,1,3,1,0,33,0,0,0,0,0,0,5,2,3,3,2,15,23,11,16,1,2,53,,,,,,
202,Hanford,CA,0,0,0,0,0,0,0,4,1,1,0,0,6,2,1,1,1,1,6,13,9,20,5,6,52,,,,,,
203,Hanover,PA,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,5,13,2,2,2,3,23,,,,,,
204,Harlingen,TX,11,13,1,1,0,0,15,0,0,0,0,0,0,8,5,3,2,1,19,107,15,71,14,39,245,,,,,,
205,Harrisburg,PA,0,78,6,6,2,1,93,3,2,3,1,0,9,4,5,5,2,2,17,47,38,60,22,15,181,,,,,,
206,Harrisonburg,VA,5,35,3,1,0,0,39,0,0,0,0,0,0,11,7,6,1,0,26,6,5,6,2,2,22,,,,,,
207,Hartford,CT,0,21,1,1,0,0,23,16,3,2,1,1,24,4,8,12,5,9,37,24,47,116,98,174,457,,,,,,
208,Hattiesburg,MS,0,8,1,1,0,0,10,0,0,0,0,0,0,15,2,4,2,3,25,11,11,14,12,16,64,,,,,,
209,Hazleton,PA,0,1,2,2,0,0,5,0,0,0,0,0,0,2,1,2,1,1,7,8,8,3,5,2,25,,,,,,
210,Hemet,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,1,15,0,2,16,5,15,38,,,,,,
211,Hickory,NC,6,36,2,1,0,0,39,6,1,1,0,0,8,47,26,21,7,6,107,87,54,33,15,7,196,,,,,,
212,High Point,NC,2,17,3,8,1,0,29,15,1,0,0,0,16,12,12,14,7,4,48,31,23,65,15,22,156,,,,,,
213,Hilton Head Island,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,0,0,9,9,0,18,,,,,,
214,Hinesville,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,1,1,15,18,3,3,0,0,25,,,,,,
215,Holland,MI,0,11,0,0,0,0,12,0,0,1,1,0,3,11,4,6,3,3,27,38,0,38,0,55,131,,,,,,
216,Homosassa Springs--Beverly Hills--Citrus Springs,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,15,46,2,29,65,0,142,,,,,,
217,Hot Springs,AR,0,0,0,0,0,0,0,5,2,1,0,0,8,2,3,4,2,1,12,4,26,18,46,11,105,,,,,,
218,Houma,LA,8,0,0,0,0,0,0,8,3,1,1,0,13,6,5,9,4,6,30,61,15,15,18,19,128,,,,,,
219,Houston,TX,9,15,10,12,4,1,42,22,15,20,7,1,66,37,13,14,9,19,92,1128,492,1182,493,403,3699,,,,,,
220,Huntington,KY,33,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,1,0,22,0,0,0,0,0,0,,,,,,
221,Huntington,OH,0,0,0,0,0,0,0,10,1,0,0,0,11,6,1,1,0,0,9,9,2,4,2,4,20,,,,,,
222,Huntington,WV,5,9,1,1,0,0,11,0,0,0,0,0,1,16,13,11,5,2,47,28,10,13,2,23,76,,,,,,
223,Huntsville,AL,49,13,0,0,0,0,13,6,1,0,0,0,7,24,2,1,0,0,26,4,1,0,0,0,6,,,,,,
224,Idaho Falls,ID,4,5,0,0,0,0,5,0,0,0,0,0,0,16,4,4,3,2,28,57,23,41,10,0,131,,,,,,
225,Indianapolis,IN,296,97,21,17,6,3,144,2,0,0,0,0,3,85,18,17,5,4,129,173,18,29,3,1,223,,,,,,
226,Indio--Cathedral City,CA,0,16,1,0,0,0,17,5,1,0,0,0,6,1,2,3,3,3,12,1,24,53,15,43,138,,,,,,
227,Iowa City,IA,0,13,1,1,0,0,14,0,0,0,0,0,0,16,3,2,1,4,26,6,3,12,9,31,61,,,,,,
228,Ithaca,NY,0,0,0,0,0,0,0,4,0,0,1,0,5,2,1,1,2,1,7,4,12,14,8,9,47,,,,,,
229,Jackson,MI,0,4,3,2,1,0,9,9,3,1,0,0,14,4,3,4,3,4,17,15,1,91,0,42,149,,,,,,
230,Jackson,MS,0,41,5,5,1,1,53,0,0,0,0,0,0,28,19,16,11,19,92,45,26,69,57,107,304,,,,,,
231,Jackson,TN,11,5,1,0,0,0,6,0,0,0,0,0,0,6,3,4,1,1,14,8,1,2,0,0,12,,,,,,
232,Jacksonville,FL,10,22,1,1,0,0,23,9,1,2,1,0,13,23,5,4,2,0,34,366,55,124,19,13,577,,,,,,
233,Jacksonville,NC,1,0,0,0,0,0,0,6,0,0,0,0,7,19,5,2,1,1,28,9,5,14,3,3,34,,,,,,
234,Janesville,WI,0,3,0,1,0,0,4,0,1,1,0,0,3,6,3,3,1,2,14,8,3,11,24,16,62,,,,,,
235,Jefferson City,MO,0,0,0,0,0,0,0,14,1,1,0,0,16,4,0,0,0,0,5,7,10,26,11,16,69,,,,,,
236,Johnson City,TN,10,3,1,3,1,0,8,0,0,0,0,0,0,13,1,1,0,0,15,23,3,2,1,1,31,,,,,,
237,Johnstown,PA,0,0,0,0,0,0,0,3,0,0,0,0,4,2,2,3,1,2,9,5,14,16,6,6,47,,,,,,
238,Jonesboro,AR,7,0,0,0,0,0,0,7,1,0,0,0,9,7,4,2,1,0,14,16,30,13,10,1,70,,,,,,
239,Joplin,MO,0,8,0,0,0,0,8,5,0,0,0,0,5,15,1,1,0,0,18,10,15,26,10,14,75,,,,,,
240,Kahului,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,8,3,1,29,3,2,2,1,0,7,,,,,,
241,Kailua (Honolulu County)--Kaneohe,HI,0,3,1,3,0,0,7,1,2,2,0,0,6,6,8,8,4,2,28,0,0,2,2,0,5,,,,,,
242,Kalamazoo,MI,0,14,1,0,0,0,15,9,5,3,1,0,18,7,5,8,5,4,30,101,0,110,0,94,305,,,,,,
243,Kankakee,IL,0,16,3,0,0,0,19,0,0,0,0,0,0,10,8,9,7,0,34,0,10,9,9,15,42,,,,,,
244,Kansas City,KS,3,27,3,2,1,1,33,19,2,1,1,0,24,12,4,3,1,0,21,94,80,116,67,32,389,,,,,,
245,Kansas City,MO,5,46,5,4,1,0,55,48,5,5,2,0,61,37,10,11,3,1,61,48,98,198,128,106,577,,,,,,
246,Kennewick--Pasco,WA,8,18,9,2,0,0,29,23,5,3,1,1,32,5,6,6,3,4,24,32,32,17,8,19,108,,,,,,
247,Kenosha,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,3,17,0,0,2,6,20,27,,,,,,
248,Killeen,TX,3,0,0,0,0,0,0,13,1,2,0,0,16,15,4,4,1,0,24,59,33,44,46,27,209,,,,,,
249,Kingsport,TN,19,11,0,0,0,0,11,4,1,0,0,0,5,14,1,1,0,0,16,22,11,2,0,0,36,,,,,,
250,Kingsport,VA,0,0,0,0,0,0,0,2,1,0,0,0,3,4,4,1,0,0,9,2,2,4,1,0,10,,,,,,
251,Kingston,NY,0,13,1,1,1,0,16,1,1,2,0,0,4,3,1,4,2,1,11,17,12,14,7,4,54,,,,,,
252,Kissimmee,FL,0,0,0,0,0,0,0,20,0,1,0,0,21,21,6,2,0,0,29,157,4,50,1,1,212,,,,,,
253,Knoxville,TN,28,29,2,1,0,0,31,0,0,0,0,0,1,32,6,3,1,2,44,79,20,19,4,1,123,,,,,,
254,Kokomo,IN,15,0,0,0,0,0,0,9,0,0,0,0,10,10,2,2,0,0,14,0,0,0,0,0,0,,,,,,
255,La Crosse,MN,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1,0,2,,,,,,
256,La Crosse,WI,1,5,4,0,0,0,8,5,1,1,0,0,7,2,2,2,2,3,10,12,4,9,7,17,48,,,,,,
257,Lady Lake--The Villages,FL,0,0,0,0,0,0,0,1,0,0,0,0,1,18,1,0,0,0,20,115,10,36,9,1,170,,,,,,
258,Lafayette,IN,32,5,0,1,0,0,6,0,0,0,0,0,0,9,2,7,3,2,22,24,1,3,4,3,34,,,,,,
259,Lafayette,LA,6,14,3,4,2,0,24,0,0,0,0,0,0,16,13,18,20,28,95,32,24,28,20,37,140,,,,,,
260,Lafayette--Louisville--Erie,CO,0,0,0,0,0,0,0,2,1,1,1,0,5,2,3,4,1,2,11,6,8,20,6,4,45,,,,,,
261,Lake Charles,LA,1,9,4,5,3,1,23,0,0,0,0,0,0,15,3,6,5,3,32,34,17,14,9,22,96,,,,,,
262,Lake Havasu City,AZ,15,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,14,0,0,0,0,0,0,,,,,,
263,Lake Jackson--Angleton,TX,3,0,0,0,0,0,0,3,1,1,0,0,6,10,2,3,1,0,17,59,7,40,46,10,163,,,,,,
264,Lakeland,FL,1,4,1,0,0,0,6,5,0,0,0,0,6,13,2,1,0,0,15,105,6,109,1,4,223,,,,,,
265,Lancaster,PA,0,16,1,0,0,0,17,7,2,2,0,0,11,5,2,3,1,1,13,36,44,50,32,38,199,,,,,,
266,Lancaster--Palmdale,CA,0,0,0,0,0,0,0,6,0,3,1,0,11,14,7,5,3,3,31,28,48,110,10,94,289,,,,,,
267,Lansing,MI,1,14,7,3,1,0,25,9,3,1,0,0,13,9,4,6,2,3,25,112,2,164,6,76,361,,,,,,
268,Laredo,TX,10,7,1,1,0,0,9,0,0,0,0,0,0,6,5,8,4,5,27,17,14,70,45,11,158,,,,,,
269,Las Cruces,NM,6,11,2,1,0,0,14,6,1,0,0,0,7,5,2,3,1,1,12,31,22,27,18,17,114,,,,,,
270,Las Vegas--Henderson,NV,2,23,2,1,0,0,26,12,4,3,0,0,19,22,6,6,1,1,36,261,87,98,43,35,523,,,,,,
271,Lawrence,KS,2,7,0,0,0,0,7,12,0,0,0,0,12,2,2,4,3,3,13,5,8,13,10,13,48,,,,,,
272,Lawton,OK,1,5,1,1,0,0,8,2,1,0,0,1,5,4,0,5,4,5,18,5,2,3,9,14,32,,,,,,
273,Lebanon,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,6,0,3,6,7,10,25,,,,,,
274,Leesburg--Eustis--Tavares,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0,18,72,2,68,34,0,175,,,,,,
275,Leominster--Fitchburg,MA,0,0,0,0,0,0,0,2,0,0,0,0,2,6,3,4,3,4,19,0,0,213,1,3,216,,,,,,
276,Lewiston,ID,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,35,11,20,4,1,71,,,,,,
277,Lewiston,WA,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,1,0,3,9,7,4,1,2,22,,,,,,
278,Lewiston,ME,0,7,3,1,0,0,12,0,0,1,0,0,1,16,5,5,3,8,37,7,8,8,4,5,31,,,,,,
279,Lexington-Fayette,KY,37,13,0,0,0,0,13,10,1,2,1,0,13,21,6,7,3,2,39,8,4,4,2,1,18,,,,,,
280,Lexington Park--California--Chesapeake Ranch Estates,MD,1,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,6,7,3,2,1,0,13,,,,,,
281,Lima,OH,0,5,0,1,0,0,6,0,0,0,0,0,0,2,2,3,2,1,9,29,12,3,2,6,52,,,,,,
282,Lincoln,NE,31,12,3,2,0,0,17,15,2,2,0,0,19,7,4,8,6,8,32,103,26,55,21,7,213,,,,,,
283,Little Rock,AR,20,10,3,2,0,0,15,4,2,4,2,0,12,2,2,7,3,1,15,44,184,158,192,77,655,,,,,,
284,Livermore,CA,0,6,0,0,0,0,6,0,0,0,0,0,0,1,1,1,2,1,5,0,2,6,6,19,33,,,,,,
285,Lodi,CA,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2,0,0,6,1,8,10,4,4,27,,,,,,
286,Logan,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,2,1,0,30,5,4,2,0,0,11,,,,,,
287,Lompoc,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,10,0,4,2,3,4,13,,,,,,
288,Longmont,CO,0,0,1,0,0,0,2,3,2,2,1,1,8,2,1,3,0,0,7,3,5,24,15,6,53,,,,,,
289,Longview,TX,6,5,0,0,0,0,5,0,0,0,0,0,0,8,3,4,1,0,15,65,8,35,17,3,128,,,,,,
290,Longview,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,6,4,3,0,1,0,8,,,,,,
291,Longview,WA,2,8,0,0,0,0,8,2,0,0,0,0,3,5,4,3,2,4,18,6,2,9,4,20,42,,,,,,
292,Lorain--Elyria,OH,0,6,1,1,0,0,9,9,1,0,0,0,10,3,2,2,2,1,10,44,30,20,19,27,140,,,,,,
293,Los Angeles--Long Beach--Anaheim,CA,0,7,1,1,2,0,11,19,5,5,3,2,35,1,4,11,7,10,33,13,16,35,1274,1781,3119,,,,,,
294,Los Lunas,NM,0,4,0,0,0,0,4,0,0,0,0,0,0,3,2,3,2,0,10,19,7,4,2,1,32,,,,,,
295,Los Lunas,IN,53,20,4,3,1,0,28,1,1,2,0,0,5,3,1,1,0,0,5,23,2,4,1,0,30,,,,,,
296,Louisville/Jefferson County,KY,41,76,10,10,4,1,101,2,4,5,2,0,13,25,23,32,10,5,95,62,68,101,48,26,306,,,,,,
297,Lubbock,TX,26,3,3,4,1,0,11,9,3,5,2,0,19,23,8,7,4,3,45,64,9,61,33,98,265,,,,,,
298,Lynchburg,VA,6,0,0,0,0,0,0,25,6,1,0,0,32,19,8,7,2,2,38,29,19,27,19,12,106,,,,,,
299,McAllen,TX,5,23,2,2,0,0,27,4,0,0,0,0,5,20,6,7,2,2,36,328,57,291,72,117,865,,,,,,
300,McKinney,TX,8,0,0,0,0,0,0,7,4,4,0,0,15,13,3,3,1,1,20,116,6,84,9,3,219,,,,,,
301,Macon,GA,0,30,7,7,3,1,47,0,0,0,0,0,0,16,6,7,3,2,35,17,5,3,5,3,32,,,,,,
302,Madera,CA,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,2,2,3,16,8,32,61,,,,,,
303,Madison,WI,1,5,3,5,1,0,15,9,3,7,2,1,22,5,3,6,3,4,22,6,25,62,23,55,171,,,,,,
304,Manchester,NH,0,25,0,0,0,0,25,8,0,0,0,0,8,12,3,6,2,4,27,12,27,107,3,7,155,,,,,,
305,Mandeville--Covington,LA,4,17,0,0,0,0,18,3,0,0,0,0,3,11,6,4,2,0,23,22,9,7,3,4,45,,,,,,
306,Manhattan,KS,0,0,0,0,0,0,0,8,1,0,0,0,9,7,1,2,1,0,11,5,3,7,3,5,24,,,,,,
307,Mankato,MN,2,0,0,0,0,0,0,3,3,3,1,0,10,10,4,2,1,0,17,14,0,7,0,5,26,,,,,,
308,Mansfield,OH,0,4,0,0,0,0,5,9,1,1,0,0,12,7,2,2,1,1,13,45,14,16,8,5,87,,,,,,
309,Manteca,CA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,1,0,4,3,4,12,2,1,21,,,,,,
310,Marysville,WA,1,7,1,0,0,0,9,18,5,2,1,1,27,0,2,7,1,1,12,12,2,49,6,1,71,,,,,,
311,Mauldin--Simpsonville,SC,0,11,1,1,0,0,13,1,2,0,0,0,2,0,3,6,0,0,10,6,11,19,12,0,48,,,,,,
312,Medford,OR,0,25,2,0,0,0,27,0,0,0,0,0,0,26,11,9,4,4,53,116,74,87,6,30,313,,,,,,
313,Memphis,AR,2,4,1,1,0,0,5,0,0,0,0,0,0,0,1,2,0,0,4,8,16,20,1,12,57,,,,,,
314,Memphis,MS,0,13,1,1,0,0,15,12,1,0,0,0,13,15,7,6,3,2,32,10,17,21,12,14,74,,,,,,
315,Memphis,TN,32,18,2,2,0,0,23,8,1,2,1,1,13,6,5,6,5,4,26,37,11,28,34,22,133,,,,,,
316,Merced,CA,0,0,0,0,0,0,0,1,1,2,1,0,5,1,1,3,1,3,8,0,0,4,11,68,83,,,,,,
317,Miami,FL,8,23,2,1,0,0,26,42,3,2,0,0,47,34,9,10,3,2,58,721,125,466,162,86,1560,,,,,,
318,Michigan City--La Porte,IN,21,1,1,1,0,0,3,0,0,0,0,0,0,17,5,4,3,2,32,5,10,4,1,0,20,,,,,,
319,Michigan City--La Porte,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,,,,,,
320,Middletown,OH,0,4,0,0,0,0,4,0,0,0,0,0,0,4,3,4,1,2,14,6,9,9,7,5,36,,,,,,
321,Midland,MI,4,0,0,0,0,0,0,19,1,1,0,0,22,2,1,5,2,3,12,8,0,66,0,48,122,,,,,,
322,Midland,TX,2,13,0,0,0,0,13,3,1,1,0,0,5,5,2,5,3,2,16,19,30,101,18,19,187,,,,,,
323,Milwaukee,WI,0,32,7,2,3,1,45,7,3,4,1,1,16,9,6,9,6,12,42,13,49,81,96,366,605,,,,,,
324,Minneapolis--St. Paul,MN,5,127,42,30,8,3,209,84,21,15,6,3,129,114,28,19,4,4,169,551,303,359,393,137,1743,,,,,,
325,Mission Viejo--Lake Forest--San Clemente,CA,0,5,2,2,0,0,8,5,1,1,0,0,8,1,1,3,3,3,10,0,0,0,80,49,128,,,,,,
326,Missoula,MT,0,10,1,1,0,0,12,0,0,0,0,0,0,3,2,2,2,1,11,5,9,5,4,7,31,,,,,,
327,Mobile,AL,48,36,2,3,1,0,43,0,0,0,0,0,0,13,2,2,1,1,19,21,3,1,0,0,25,,,,,,
328,Modesto,CA,0,0,0,0,0,0,0,9,0,0,0,0,9,2,2,4,3,3,15,1,1,27,41,28,98,,,,,,
329,Monessen--California,PA,0,9,2,1,1,0,11,4,0,9,0,0,13,4,2,3,1,0,10,15,11,23,13,5,67,,,,,,
330,Monroe,LA,3,11,1,0,0,1,13,0,0,0,0,0,0,15,3,7,5,7,37,12,10,36,23,20,101,,,,,,
331,Monroe,MI,0,3,1,3,3,2,11,0,0,0,0,0,0,6,2,2,1,0,12,21,3,29,1,40,95,,,,,,
332,Montgomery,AL,31,29,4,2,1,0,36,4,0,0,0,0,4,15,2,2,0,0,20,23,7,5,1,0,36,,,,,,
333,Morgantown,WV,1,12,1,0,0,0,13,0,0,0,0,0,0,3,3,6,5,3,20,26,2,15,12,14,69,,,,,,
334,Morristown,TN,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,11,20,1,3,1,3,27,,,,,,
335,Mount Vernon,WA,1,6,1,0,0,0,7,0,0,0,0,0,0,3,2,4,1,2,12,16,2,8,10,12,48,,,,,,
336,Muncie,IN,36,0,0,0,0,0,0,4,1,2,0,0,7,18,4,3,0,0,26,5,2,2,1,1,12,,,,,,
337,Murrieta--Temecula--Menifee,CA,0,6,3,3,1,0,13,0,0,0,0,0,0,1,1,4,2,3,11,14,11,27,10,45,107,,,,,,
338,Muskegon,MI,0,5,0,0,0,0,5,18,0,1,0,0,18,8,5,9,5,5,32,95,2,118,0,65,280,,,,,,
339,Myrtle Beach--Socastee,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,16,9,0,0,0,0,9,,,,,,
340,Myrtle Beach--Socastee,SC,0,0,0,0,0,0,0,8,0,1,0,0,9,13,11,15,1,0,41,22,0,58,41,3,124,,,,,,
341,Nampa,ID,3,8,4,4,1,0,18,0,0,0,0,0,0,19,10,11,6,4,51,117,11,16,50,17,210,,,,,,
342,Napa,CA,0,0,0,0,0,0,0,4,2,2,1,0,8,1,2,2,1,1,7,0,2,3,1,12,18,,,,,,
343,Nashua,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
344,Nashua,NH,0,10,1,0,0,0,11,16,0,0,0,0,17,13,3,5,3,3,27,16,67,147,8,4,240,,,,,,
345,Nashville-Davidson,TN,29,37,1,0,0,0,39,22,3,2,1,0,28,32,7,5,1,1,46,162,34,41,9,6,252,,,,,,
346,Newark,OH,0,3,0,0,0,0,3,6,0,0,0,0,7,7,2,2,1,0,11,13,6,10,3,4,37,,,,,,
347,New Bedford,MA,0,37,1,1,0,0,39,10,1,0,0,0,12,1,1,1,1,1,4,8,4,211,8,5,237,,,,,,
348,New Bern,NC,2,0,0,0,0,0,0,5,1,0,0,0,7,14,2,3,1,1,20,6,4,4,1,1,17,,,,,,
349,New Haven,CT,0,18,2,1,1,0,22,15,2,1,0,0,19,2,3,7,3,6,20,11,36,58,35,167,306,,,,,,
350,New Orleans,LA,21,20,3,5,1,0,29,0,0,2,1,1,3,56,24,39,19,30,168,65,40,56,42,102,305,,,,,,
351,New York--Newark,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
352,New York--Newark,NJ,0,44,4,4,2,2,56,37,4,5,2,2,50,22,11,16,7,13,68,676,474,910,569,499,3129,,,,,,
353,New York--Newark,NY,2,26,12,9,4,2,53,21,15,25,20,15,95,7,5,13,12,20,57,207,275,844,532,670,2528,,,,,,
354,North Port--Port Charlotte,FL,4,5,1,0,0,0,6,0,0,0,0,0,0,16,3,2,0,0,21,42,10,24,4,0,80,,,,,,
355,Norwich--New London,CT,0,19,3,1,0,0,23,3,1,1,0,1,5,5,2,3,2,2,14,3,9,40,25,26,104,,,,,,
356,Norwich--New London,RI,0,0,0,0,0,0,0,0,0,2,1,1,4,2,1,2,1,1,7,1,4,7,4,3,18,,,,,,
357,Ocala,FL,3,12,0,0,0,0,12,0,0,0,0,0,0,18,3,1,0,0,22,172,11,17,8,2,210,,,,,,
358,Odessa,TX,5,19,0,0,0,0,20,7,0,0,0,0,8,19,6,5,3,3,36,19,36,64,74,14,206,,,,,,
359,Ogden--Layton,UT,7,53,7,4,1,0,65,11,0,0,0,0,11,71,22,19,6,2,121,17,14,18,4,1,55,,,,,,
360,Oklahoma City,OK,3,26,7,5,4,2,43,17,3,1,0,1,21,10,10,16,5,7,49,44,52,294,184,126,699,,,,,,
361,Olympia--Lacey,WA,0,16,1,0,0,0,17,6,1,0,0,0,7,4,4,2,1,1,11,16,31,49,18,8,123,,,,,,
362,Omaha,IA,9,8,4,3,1,0,15,0,0,0,0,0,0,1,2,3,3,5,14,0,2,0,0,2,4,,,,,,
363,Omaha,NE,46,22,4,3,1,0,30,34,8,4,5,5,56,12,13,35,27,40,127,165,93,82,119,8,466,,,,,,
364,Orlando,FL,7,9,1,0,0,0,10,38,2,1,0,0,41,25,7,6,2,2,42,401,79,63,49,76,669,,,,,,
365,Oshkosh,WI,0,2,4,1,0,0,7,0,0,0,0,0,0,1,1,3,1,2,8,6,6,5,10,16,43,,,,,,
366,Owensboro,KY,29,0,0,0,0,0,0,9,1,0,0,0,10,4,2,3,3,2,13,2,1,1,1,0,6,,,,,,
367,Oxnard,CA,0,0,0,0,0,0,0,6,1,6,1,0,14,7,3,7,5,4,25,23,8,14,11,23,78,,,,,,
368,Palm Bay--Melbourne,FL,0,12,0,0,0,0,13,9,1,0,0,0,10,26,7,4,1,0,38,81,23,87,34,13,238,,,,,,
369,Palm Coast--Daytona Beach--Port Orange,FL,12,23,1,0,0,0,24,0,0,0,0,0,0,33,7,3,0,0,43,68,12,55,50,11,197,,,,,,
370,Panama City,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,0,0,17,90,7,6,4,0,107,,,,,,
371,Parkersburg,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,6,4,2,1,0,0,7,,,,,,
372,Parkersburg,WV,6,1,0,0,0,0,1,0,0,0,0,0,0,12,7,7,2,1,29,4,2,13,4,7,29,,,,,,
373,Pascagoula,MS,0,2,0,0,0,0,2,0,0,0,0,0,0,19,2,1,1,0,24,10,5,7,4,1,27,,,,,,
374,Pensacola,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5,4,0,0,0,0,5,,,,,,
375,Pensacola,FL,0,16,1,0,0,0,17,0,0,0,0,0,0,14,5,2,0,1,22,150,35,43,5,4,236,,,,,,
