,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
27,Augusta-Richmond County,SC,0,5,0,5,0,0,10,0,0,0,0,0,0,4,3,7,1,0,15,8,26,43,1,3,81,,,,,,
28,Austin,TX,9,16,1,1,0,0,18,38,10,5,0,0,53,22,5,7,4,4,43,361,115,491,102,102,1171,,,,,,
29,Avondale--Goodyear,AZ,40,15,1,1,0,0,17,0,0,0,0,0,0,6,2,3,0,0,12,26,17,40,17,1,101,,,,,,
30,Bakersfield,CA,0,0,0,0,0,0,0,14,5,4,0,0,23,8,7,8,3,3,28,33,20,79,16,47,194,,,,,,
31,Baltimore,MD,4,24,3,3,1,1,32,20,3,3,1,1,28,19,4,4,2,8,37,75,99,160,116,151,601,,,,,,
32,Bangor,ME,0,9,1,2,1,1,13,0,0,0,0,0,0,10,2,4,2,3,21,22,8,9,4,3,46,,,,,,
33,Barnstable Town,MA,0,0,0,0,0,0,0,11,4,3,0,0,18,3,3,3,2,2,13,4,33,511,4,9,561,,,,,,
34,Baton Rouge,LA,14,25,14,10,3,2,54,0,0,0,0,0,0,72,28,55,41,43,240,17,33,60,49,63,222,,,,,,
35,Battle Creek,MI,2,14,1,1,1,0,16,0,0,0,0,0,0,2,1,3,2,1,8,44,1,71,2,20,138,,,,,,
36,Bay City,MI,0,6,1,0,0,0,7,5,1,0,0,0,7,5,2,3,4,5,18,37,1,43,2,41,123,,,,,,
37,Beaumont,TX,2,5,2,1,0,0,8,7,1,1,1,0,9,5,1,3,2,2,12,37,0,52,20,69,178,,,,,,
