STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
,INTERSTATE,,,OTHER,,,TOTAL,,,,,,,,,,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,
Missouri,"1,354 ",866 ,"2,220 ","4,811 ","2,221 ","7,032 ","6,165 ","3,087 ","9,252 ","32,786 ","7,592 ","40,378 ","38,951 ","10,679 ","49,630 ","133,514 ","28,563 ","162,077 ","211,707 "
Montana,"1,761 ",157 ,"1,919 ","4,463 ",349 ,"4,811 ","6,224 ",506 ,"6,730 ","15,639 ","1,264 ","16,902 ","21,863 ","1,770 ","23,633 ","92,114 ","4,966 ","97,080 ","120,713 "
Nebraska,667 ,108 ,775 ,"4,418 ",791 ,"5,208 ","5,085 ",899 ,"5,984 ","24,970 ","2,226 ","27,196 ","30,055 ","3,125 ","33,180 ","110,497 ","8,376 ","118,873 ","152,053 "
Nevada,720 ,241 ,961 ,"2,476 ",677 ,"3,154 ","3,197 ",918 ,"4,115 ","4,643 ","3,335 ","7,977 ","7,839 ","4,253 ","12,092 ","47,301 ","11,257 ","58,558 ","70,650 "
New Hampshire,228 ,134 ,362 ,624 ,512 ,"1,137 ",853 ,646 ,"1,499 ","2,591 ","1,617 ","4,208 ","3,443 ","2,263 ","5,707 ","14,393 ","5,873 ","20,265 ","25,972 "
New Jersey,72 ,622 ,694 ,310 ,"3,775 ","4,086 ",383 ,"4,397 ","4,780 ","1,709 ","11,092 ","12,800 ","2,091 ","15,489 ","17,580 ","7,056 ","38,232 ","45,288 ","62,868 "
New Mexico,"1,362 ",247 ,"1,609 ","2,852 ",974 ,"3,825 ","4,214 ","1,221 ","5,435 ","11,210 ","3,180 ","14,390 ","15,424 ","4,401 ","19,825 ","82,283 ","9,048 ","91,330 ","111,155 "
New York,"1,292 ","1,514 ","2,806 ","3,625 ","6,440 ","10,064 ","4,917 ","7,954 ","12,871 ","13,607 ","18,120 ","31,727 ","18,524 ","26,074 ","44,598 ","85,114 ","54,341 ","139,454 ","184,053 "
North Carolina,887 ,"1,159 ","2,046 ","3,461 ","3,931 ","7,392 ","4,348 ","5,090 ","9,438 ","16,748 ","11,618 ","28,366 ","21,096 ","16,708 ","37,804 ","84,319 ","49,004 ","133,323 ","171,127 "
North Dakota,823 ,96 ,919 ,"4,769 ",299 ,"5,069 ","5,592 ",396 ,"5,988 ","23,342 ","1,019 ","24,361 ","28,934 ","1,414 ","30,348 ","107,865 ","2,006 ","109,871 ","140,220 "
Ohio,"1,034 ","1,499 ","2,533 ","2,941 ","5,156 ","8,097 ","3,975 ","6,655 ","10,630 ","22,048 ","15,717 ","37,765 ","26,023 ","22,372 ","48,395 ","95,469 ","53,965 ","149,435 ","197,830 "
Oklahoma,"1,040 ",461 ,"1,501 ","3,614 ","1,661 ","5,275 ","4,654 ","2,122 ","6,776 ","38,305 ","6,676 ","44,981 ","42,959 ","8,798 ","51,756 ","109,590 ","20,045 ","129,635 ","181,391 "
Oregon,797 ,377 ,"1,174 ","4,278 ","1,482 ","5,760 ","5,075 ","1,859 ","6,934 ","16,732 ","6,277 ","23,009 ","21,806 ","8,136 ","29,942 ","72,568 ","15,847 ","88,415 ","118,357 "
Pennsylvania,"1,789 ","1,216 ","3,005 ","3,113 ","5,497 ","8,611 ","4,902 ","6,713 ","11,616 ","19,152 ","15,157 ","34,310 ","24,055 ","21,871 ","45,926 ","92,609 ","54,732 ","147,342 ","193,267 "
Rhode Island,29 ,84 ,113 ,174 ,682 ,856 ,202 ,766 ,968 ,393 ,"1,472 ","1,864 ",595 ,"2,238 ","2,833 ","1,595 ","5,303 ","6,898 ","9,730 "
South Carolina,879 ,490 ,"1,369 ","2,561 ","1,868 ","4,429 ","3,440 ","2,358 ","5,798 ","20,934 ","7,484 ","28,418 ","24,373 ","9,842 ","34,215 ","68,455 ","20,042 ","88,497 ","122,712 "
South Dakota,951 ,141 ,"1,092 ","4,654 ",245 ,"4,899 ","5,605 ",387 ,"5,991 ","24,743 ","1,259 ","26,002 ","30,348 ","1,646 ","31,994 ","97,102 ","3,798 ","100,900 ","132,893 "
Tennessee,923 ,854 ,"1,777 ","2,728 ","3,135 ","5,863 ","3,651 ","3,990 ","7,640 ","12,786 ","9,888 ","22,674 ","16,437 ","13,877 ","30,315 ","87,101 ","36,497 ","123,598 ","153,912 "
Texas,"3,220 ","2,279 ","5,499 ","12,282 ","11,156 ","23,438 ","15,502 ","13,435 ","28,937 ","74,601 ","41,052 ","115,653 ","90,103 ","54,487 ","144,590 ","240,170 ","119,922 ","360,093 ","504,683 "
Utah,"1,101 ",407 ,"1,508 ","3,046 ","1,239 ","4,285 ","4,146 ","1,647 ","5,793 ","6,240 ","3,328 ","9,568 ","10,386 ","4,974 ","15,360 ","46,338 ","12,813 ","59,150 ","74,510 "
Vermont,416 ,99 ,515 ,496 ,208 ,704 ,912 ,308 ,"1,220 ","4,379 ",653 ,"5,033 ","5,291 ",961 ,"6,253 ","15,293 ","1,391 ","16,685 ","22,937 "
Virginia,755 ,"1,050 ","1,806 ","2,225 ","3,460 ","5,685 ","2,980 ","4,510 ","7,490 ","16,804 ","9,895 ","26,699 ","19,784 ","14,405 ","34,189 ","56,294 ","30,316 ","86,611 ","120,799 "
Washington,690 ,539 ,"1,229 ","3,100 ","3,005 ","6,105 ","3,790 ","3,544 ","7,333 ","16,272 ","9,071 ","25,343 ","20,062 ","12,615 ","32,677 ","70,553 ","26,062 ","96,615 ","129,292 "
West Virginia,497 ,394 ,891 ,"1,613 ",686 ,"2,299 ","2,111 ","1,080 ","3,190 ","10,746 ","3,069 ","13,815 ","12,856 ","4,149 ","17,005 ","38,042 ","7,347 ","45,389 ","62,394 "
Wisconsin,825 ,585 ,"1,409 ","5,082 ","3,094 ","8,176 ","5,906 ","3,679 ","9,585 ","26,950 ","9,547 ","36,497 ","32,857 ","13,226 ","46,083 ","114,746 ","24,844 ","139,590 ","185,673 "
Wyoming,"1,300 ",170 ,"1,470 ","3,196 ",374 ,"3,570 ","4,497 ",544 ,"5,041 ","6,366 ","1,277 ","7,643 ","10,863 ","1,821 ","12,684 ","30,997 ","2,897 ","33,894 ","46,577 "
U.S. Total,"46,655 ","30,679 ","77,334 ","155,582 ","125,553 ","281,136 ","202,237 ","156,232 ","358,470 ","871,689 ","415,504 ","1,287,193 ","1,073,926 ","571,737 ","1,645,663 ","3,666,418 ","1,374,305 ","5,040,723 ","6,686,385 "
Puerto Rico (2),68 ,386 ,454 ,31 ,179 ,209 ,98 ,565 ,663 ,801 ,"4,175 ","4,976 ",900 ,"4,740 ","5,639 ","4,096 ","17,125 ","21,221 ","26,860 "
Grand Total,"46,723 ","31,065 ","77,788 ","155,613 ","125,732 ","281,345 ","202,336 ","156,797 ","359,133 ","872,490 ","419,679 ","1,292,169 ","1,074,826 ","576,476 ","1,651,302 ","3,670,514 ","1,391,430 ","5,061,944 ","6,713,245 "
