STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
,INTERSTATE,,,OTHER,,,TOTAL,,,,,,,,,,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,
Mississippi,"6,849 ","6,548 ","13,398 ","8,264 ","9,056 ","17,320 ","15,113 ","15,604 ","30,718 ","11,852 ","6,954 ","18,806 ","26,965 ","22,558 ","49,524 ","8,698 ","5,976 ","14,674 ","64,197 "
Missouri,"10,974 ","22,358 ","33,332 ","12,641 ","17,685 ","30,326 ","23,615 ","40,043 ","63,659 ","13,700 ","15,529 ","29,229 ","37,316 ","55,573 ","92,888 ","10,070 ","12,782 ","22,852 ","115,740 "
Montana,"3,980 ",961 ,"4,941 ","3,898 ","1,684 ","5,582 ","7,878 ","2,645 ","10,523 ","3,186 ","2,039 ","5,225 ","11,064 ","4,684 ","15,748 ","2,662 ","1,458 ","4,119 ","19,867 "
Nebraska,"4,579 ","2,469 ","7,048 ","5,455 ","5,213 ","10,668 ","10,034 ","7,681 ","17,716 ","6,145 ","4,371 ","10,516 ","16,179 ","12,052 ","28,232 ","2,140 ","1,978 ","4,118 ","32,349 "
Nevada,"3,408 ","6,704 ","10,112 ","2,442 ","7,743 ","10,185 ","5,850 ","14,446 ","20,297 ","1,147 ","10,535 ","11,681 ","6,997 ","24,981 ","31,978 ","1,067 ","8,678 ","9,745 ","41,723 "
New Hampshire,"1,680 ","3,079 ","4,759 ","2,186 ","4,420 ","6,606 ","3,867 ","7,498 ","11,365 ","3,090 ","3,987 ","7,078 ","6,957 ","11,486 ","18,443 ","1,356 ","1,273 ","2,629 ","21,072 "
New Jersey,"1,899 ","23,408 ","25,307 ","1,819 ","46,451 ","48,270 ","3,717 ","69,859 ","73,577 ","2,384 ","25,840 ","28,224 ","6,101 ","95,699 ","101,800 ","1,680 ","17,853 ","19,534 ","121,334 "
New Mexico,"7,068 ","4,231 ","11,299 ","4,904 ","6,050 ","10,954 ","11,972 ","10,281 ","22,253 ","6,008 ","6,036 ","12,044 ","17,980 ","16,317 ","34,297 ","7,017 ","2,840 ","9,856 ","44,153 "
New York,"9,200 ","33,241 ","42,441 ","7,148 ","58,330 ","65,478 ","16,348 ","91,571 ","107,919 ","11,498 ","40,057 ","51,555 ","27,847 ","131,628 ","159,474 ","21,860 ","23,423 ","45,283 ","204,757 "
North Carolina,"9,339 ","29,386 ","38,725 ","13,307 ","32,603 ","45,910 ","22,645 ","61,990 ","84,635 ","19,986 ","34,405 ","54,390 ","42,631 ","96,394 ","139,025 ","17,933 ","23,092 ","41,026 ","180,051 "
North Dakota,"2,441 ",759 ,"3,200 ","4,088 ","1,371 ","5,459 ","6,528 ","2,130 ","8,659 ","3,338 ","1,469 ","4,807 ","9,867 ","3,600 ","13,466 ","1,868 ",818 ,"2,685 ","16,152 "
Ohio,"13,435 ","37,087 ","50,522 ","9,552 ","31,844 ","41,396 ","22,987 ","68,931 ","91,918 ","19,471 ","38,728 ","58,199 ","42,457 ","107,659 ","150,117 ","11,911 ","20,911 ","32,821 ","182,938 "
Oklahoma,"8,246 ","8,874 ","17,120 ","8,116 ","11,887 ","20,003 ","16,361 ","20,761 ","37,122 ","13,292 ","12,661 ","25,954 ","29,654 ","33,422 ","63,076 ","4,414 ","9,296 ","13,711 ","76,787 "
Oregon,"6,047 ","8,911 ","14,958 ","6,457 ","11,009 ","17,466 ","12,504 ","19,920 ","32,424 ","5,696 ","11,588 ","17,284 ","18,200 ","31,508 ","49,708 ","4,819 ","3,407 ","8,226 ","57,934 "
Pennsylvania,"17,906 ","24,127 ","42,032 ","10,017 ","36,660 ","46,677 ","27,923 ","60,787 ","88,709 ","17,110 ","31,032 ","48,142 ","45,033 ","91,818 ","136,851 ","11,930 ","13,674 ","25,604 ","162,455 "
Rhode Island,491 ,"2,991 ","3,482 ",463 ,"4,876 ","5,339 ",954 ,"7,867 ","8,821 ",400 ,"2,692 ","3,092 ","1,354 ","10,558 ","11,913 ",74 ,618 ,692 ,"12,605 "
South Carolina,"12,430 ","11,764 ","24,194 ","6,981 ","13,796 ","20,777 ","19,411 ","25,559 ","44,970 ","13,412 ","16,415 ","29,827 ","32,823 ","41,975 ","74,798 ","5,174 ","3,273 ","8,447 ","83,245 "
South Dakota,"3,130 ","1,151 ","4,281 ","3,091 ",882 ,"3,973 ","6,221 ","2,033 ","8,255 ","3,288 ","2,038 ","5,326 ","9,509 ","4,071 ","13,580 ",970 ,455 ,"1,426 ","15,006 "
Tennessee,"11,984 ","22,944 ","34,928 ","7,736 ","23,619 ","31,354 ","19,719 ","46,563 ","66,282 ","11,344 ","21,727 ","33,072 ","31,064 ","68,290 ","99,354 ","9,922 ","14,114 ","24,035 ","123,389 "
