STATE,RURAL,,,,,,,,URBAN,,,,,,,, 
,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,"OTHERPRINCIPAL
  ARTERIAL",MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,TOTAL
New Hampshire,"1,680 ",229 ,"1,664 ","1,788 ","1,596 ",774 ,582 ,"8,314 ","3,079 ","2,167 ","2,118 ","2,708 ","1,412 ",-,"1,276 ","12,759 ","21,072 "
New Jersey,"1,899 ",686 ,"1,133 ","1,063 ","1,321 ",268 ,"1,412 ","7,781 ","23,408 ","19,529 ","26,341 ","17,954 ","7,300 ","1,166 ","17,854 ","113,553 ","121,334 "
New Mexico,"7,068 ",-,"5,539 ","2,722 ","2,650 ",923 ,"6,094 ","24,997 ","4,231 ",130 ,"6,555 ","3,074 ","1,810 ",518 ,"2,840 ","19,156 ","44,153 "
New York,"9,200 ",867 ,"6,259 ","5,550 ","5,971 ","14,776 ","7,084 ","49,707 ","33,241 ","27,053 ","30,725 ","28,385 ","11,946 ",256 ,"23,446 ","155,050 ","204,757 "
North Carolina,"9,339 ","3,809 ","9,079 ","9,242 ","11,130 ","4,528 ","13,439 ","60,565 ","29,386 ","8,931 ","24,225 ","21,891 ","10,989 ",944 ,"23,120 ","119,487 ","180,051 "
North Dakota,"2,441 ",-,"4,087 ","1,401 ","1,938 ",-,"1,868 ","11,734 ",759 ,-,"1,375 ",992 ,472 ,-,818 ,"4,418 ","16,152 "
Ohio,"13,435 ","2,742 ","6,947 ","6,839 ","12,494 ","2,746 ","9,165 ","54,368 ","37,087 ","9,651 ","21,984 ","22,112 ","16,089 ",723 ,"20,924 ","128,570 ","182,938 "
Oklahoma,"8,246 ",-,"8,111 ","4,571 ","8,727 ",275 ,"4,140 ","34,068 ","8,874 ","5,001 ","9,207 ","7,812 ","2,344 ",184 ,"9,296 ","42,718 ","76,787 "
Oregon,"6,047 ",-,"6,472 ","2,826 ","2,853 ","1,246 ","3,574 ","23,019 ","8,911 ","2,232 ","8,810 ","6,884 ","4,232 ",431 ,"3,415 ","34,915 ","57,934 "
Pennsylvania,"17,906 ","3,353 ","6,620 ","10,455 ","6,698 ","2,935 ","8,995 ","56,963 ","24,127 ","10,903 ","25,426 ","19,403 ","11,959 ",-,"13,675 ","105,492 ","162,455 "
Rhode Island,491 ,104 ,359 ,166 ,235 ,39 ,35 ,"1,429 ","2,991 ","1,913 ","2,964 ","1,676 ",984 ,31 ,618 ,"11,177 ","12,605 "
South Carolina,"12,430 ",371 ,"6,610 ","6,317 ","7,096 ",394 ,"4,780 ","37,997 ","11,764 ","1,148 ","12,532 ","10,556 ","5,924 ",51 ,"3,273 ","45,248 ","83,245 "
South Dakota,"3,130 ",663 ,"2,419 ","1,584 ","1,712 ",234 ,736 ,"10,480 ","1,151 ",103 ,778 ,"1,577 ",463 ,-,455 ,"4,526 ","15,006 "
Tennessee,"11,984 ",-,"7,783 ","6,929 ","4,367 ","5,782 ","4,139 ","40,985 ","22,944 ","3,736 ","20,182 ","14,879 ","5,445 ","1,103 ","14,114 ","82,404 ","123,389 "
Texas,"27,433 ",11 ,"35,367 ","18,278 ","19,617 ","2,954 ","7,208 ","110,867 ","77,226 ","53,013 ","66,316 ","48,591 ","41,440 ","1,058 ","16,897 ","304,541 ","415,408 "
Utah,"4,961 ",123 ,"2,856 ","1,252 ","1,465 ",811 ,"1,869 ","13,337 ","11,982 ",665 ,"8,354 ","3,922 ","2,799 ",374 ,"6,209 ","34,306 ","47,642 "
Vermont,"1,962 ",7 ,"1,136 ","1,566 ","1,838 ",352 ,"1,506 ","8,367 ",868 ,93 ,780 ,589 ,443 ,18 ,612 ,"3,404 ","11,770 "
Virginia,"10,396 ",877 ,"7,896 ","7,396 ","5,653 ","1,598 ","4,168 ","37,983 ","30,211 ","8,297 ","22,308 ","17,320 ","7,339 ",898 ,"8,615 ","94,988 ","132,971 "
Washington,"7,417 ","2,821 ","3,677 ","3,428 ","5,648 ","1,727 ","1,860 ","26,577 ","19,042 ","9,203 ","15,441 ","12,355 ","5,573 ",173 ,"7,637 ","69,424 ","96,001 "
West Virginia,"3,525 ",70 ,"3,536 ","2,324 ","3,868 ",529 ,"1,795 ","15,647 ","5,648 ",135 ,"3,983 ","3,499 ","1,734 ",77 ,"1,185 ","16,261 ","31,908 "
Wisconsin,"9,314 ","1,359 ","10,852 ","8,080 ","12,427 ","3,314 ","6,345 ","51,692 ","12,441 ","5,134 ","14,028 ","8,517 ","4,059 ",1 ,"4,027 ","48,206 ","99,897 "
Wyoming,"4,051 ",-,"2,619 ",863 ,"1,010 ","1,159 ","1,005 ","10,706 ",865 ,19 ,"1,274 ",720 ,641 ,52 ,"1,167 ","4,739 ","15,445 "
U.S. Total,"379,428 ", ,"298,514 ","226,480 ","253,174 ","82,672 ","204,425 ","1,494,927 ","870,955 ","384,438 ","756,130 ","643,851 ","321,750 ", ,"487,746 ","3,486,593 ","4,981,519 "
Puerto Rico (2),700 ,-,289 ,426 ,240 ,0 ,0 ,"1,657 ","7,602 ","1,452 ","5,179 ","4,915 ","2,629 ",0 ,5 ,"21,783 ","23,439 "
Grand Total,"380,128 ", ,"298,803 ","226,907 ","253,414 ","82,672 ","204,425 ","1,496,584 ","878,557 ","385,890 ","761,309 ","648,765 ","324,379 ", ,"487,751 ","3,508,375 ","5,004,959 "
