, ,ASIA,EUROPE,NORTH AMERICA,"CHINA
        ","JAPAN
        ","FRANCE
        ","GERMANY
        ","U.K.
        ","CANADA
        ","MEXICO
        ","U.S.
        "
0,Population,1367485388,126919659,66553766,80854408,64088222,35099836,121736809,321368864,,,
1,Land Area  (square kilometers),9596960,364485,640053,348672,241930,9093507,1943945,9161966,,,
2,Population Density  (persons per square kilometer),142.5,348.2,104.0,231.9,264.9,3.9,62.6,35.1,,,
3,GDP (trillion $)  (Purchasing Power Parity),$19.39,$4.83,$2.65,$3.84,$2.68,$1.63,$2.23,$17.95,,,
4,GDP per Capita ($)  (Purchasing power parity),"$14,100","$38,100","$41,200","$46,900","$41,200","$45,600","$17,500","$55,800",,,
