,STATE,RURAL ,URBAN,TOTAL,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE .1,OTHER FREEWAYS AND EXPRESSWAYS .1,OTHER PRINCIPAL ARTERIAL .1,MINOR ARTERIAL .1,MAJOR COLLECTOR .1,MINOR COLLECTOR .1,LOCAL .1,TOTAL .1
0,Alabama,571,-,1986,20,5,-,-,2583,430,27,1167,56,11,-,8,1698,4281,,
1,Alaska,1002,-,802,154,33,1,0,1993,79,-,136,18,3,-,0,235,2228,,
2,Arizona,917,18,1164,6,20,-,-,2124,252,209,586,15,3,-,-,1066,3190,,
3,Arkansas,410,85,1880,7,3,1,0,2385,293,116,532,36,9,-,4,990,3375,,
4,California,1209,404,3159,18,37,-,7,4835,1241,1554,6364,78,23,-,24,9285,14120,,
5,Colorado,648,28,2547,-,1,-,-,3225,304,324,1034,17,4,-,-,1684,4908,,
6,Connecticut,29,36,114,-,-,-,-,178,317,243,701,1,0,-,0,1264,1442,,
7,Delaware,-,25,121,10,-,-,-,156,41,31,189,8,-,-,-,268,424,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,12,16,107,-,-,-,-,134,134,,
9,Florida,717,173,2559,5,7,-,-,3461,778,570,3778,150,22,4,6,5309,8770,,
10,Georgia,536,-,2346,720,66,-,1,3668,712,163,2252,338,26,1,16,3508,7175,,
11,Hawaii,-,-,78,1,-,-,1,80,55,34,265,2,1,-,13,369,449,,
12,Idaho,521,-,1706,10,-,-,-,2238,90,-,382,13,1,-,-,487,2725,,
13,Illinois,1243,30,2246,17,15,-,2,3555,942,109,3018,165,58,0,9,4300,7855,,
14,Indiana,768,139,1407,46,51,-,4,2415,498,168,1519,220,36,1,1,2443,4858,,
15,Iowa,612,-,3419,0,-,-,-,4031,176,-,905,21,0,-,1,1103,5134,,
16,Kansas,639,404,2627,-,-,-,-,3671,234,187,338,3,2,0,-,765,4436,,
17,Kentucky,622,492,1216,4,8,-,0,2342,220,73,626,7,6,1,4,937,3280,,
18,Louisiana,532,24,1026,52,33,-,1,1668,405,72,985,85,11,0,7,1566,3234,,
19,Maine,299,-,789,6,-,-,1,1095,66,18,134,8,6,-,0,232,1327,,
20,Maryland,142,-,335,26,2,-,-,505,338,301,1148,34,9,-,5,1836,2341,,
21,Massachusetts,64,10,105,5,-,-,-,185,510,322,1829,44,7,-,7,2719,2904,,
22,Michigan,566,344,2130,3,7,-,-,3050,686,357,2361,12,4,-,0,3420,6470,,
23,Minnesota,594,4,3462,0,-,-,0,4061,320,162,789,8,3,-,3,1286,5346,,
24,Mississippi,554,-,1783,23,4,-,2,2367,253,64,937,13,-,-,0,1267,3634,,
25,Missouri,842,926,2026,31,6,-,0,3831,538,475,898,3,3,-,0,1918,5749,,
26,Montana,1094,-,2773,-,-,-,-,3867,98,-,217,-,-,-,-,315,4182,,
27,Nebraska,415,329,2352,60,4,-,-,3160,67,119,362,9,2,-,-,558,3718,,
28,Nevada,448,-,1504,35,-,-,-,1986,150,55,358,5,-,4,-,571,2557,,
29,New Hampshire,142,9,324,55,-,-,-,530,83,74,222,20,1,-,1,402,931,,
30,New Jersey,45,35,157,-,-,-,-,238,387,453,1803,74,15,0,0,2732,2970,,
31,New Mexico,847,-,1760,11,0,-,-,2618,153,11,553,28,10,3,-,758,3377,,
32,New York,803,113,2132,7,1,-,-,3055,941,815,3094,66,21,1,6,4942,7997,,
33,North Carolina,551,395,1349,198,190,1,17,2702,720,438,1762,221,18,-,3,3163,5865,,
34,North Dakota,511,-,2963,-,0,-,-,3475,60,-,186,-,-,-,-,246,3721,,
35,Ohio,643,329,1445,39,14,-,0,2470,931,578,2264,312,34,-,15,4135,6605,,
36,Oklahoma,646,-,2239,1,5,-,-,2892,286,195,828,6,4,-,-,1319,4210,,
37,Oregon,495,-,2654,-,2,-,3,3153,234,57,825,27,5,0,6,1155,4308,,
38,Pennsylvania,1112,357,1563,9,6,-,0,3046,756,527,2808,58,23,-,0,4172,7218,,
39,Rhode Island,18,11,97,-,-,-,-,126,52,80,343,0,1,-,-,476,602,,
40,South Carolina,546,45,1546,0,-,-,-,2137,304,84,1064,10,3,-,-,1465,3602,,
41,South Dakota,591,290,2593,8,1,-,-,3483,88,18,134,0,-,-,-,240,3723,,
42,Tennessee,573,-,1677,13,5,-,-,2269,531,162,1721,51,13,-,2,2479,4748,,
43,Texas,2001,-,7374,222,35,-,-,9633,1416,1461,5326,93,49,-,3,8348,17981,,
44,Utah,684,9,1164,435,270,15,-,2576,253,44,622,80,22,0,3,1023,3599,,
45,Vermont,259,2,306,-,0,-,-,567,62,16,108,4,2,-,-,191,758,,
46,Virginia,469,86,1282,10,3,-,1,1852,653,358,1723,53,14,1,0,2803,4654,,
47,Washington,429,614,1295,11,6,-,0,2355,335,417,1410,26,12,-,2,2202,4557,,
48,West Virginia,309,9,994,-,-,-,-,1311,245,14,411,1,-,-,-,671,1982,,
49,Wisconsin,512,142,2927,75,13,-,-,3670,363,328,1562,19,13,-,-,2286,5956,,
50,Wyoming,808,-,1983,3,-,0,-,2794,106,3,228,2,0,-,0,338,3132,,
51,U.S. Total,28990,5917,87487,2358,854,17,41,125664,19063,11904,62915,2519,510,16,151,97078,222743,,
52,Puerto Rico (1),42,-,19,-,-,-,-,61,240,45,65,1,-,-,-,351,411,,
53,Grand Total,29032,5917,87506,2358,854,17,41,125725,19303,11949,62980,2520,510,16,151,97429,223154,,
