State,ALLOCATIONS FROM THE HIGHWAY ACCOUNT ,,,,,,,,,," Cumulative 
        Payments 
        from the Fund 
        Since 1956 "
,Fiscal Year 2006,Fiscal Year 2007,Fiscal Year 2008,Fiscal Year 2009,Fiscal Year 2010,Fiscal Year 2011,Fiscal Year 2012,Fiscal Year 2013,Fiscal Year 2014,Fiscal Year 2015,
Alabama,"776,407 ","817,468 ","793,186 ","807,311 ","833,407 ","807,594 ","862,231 ","754,175 ","755,752 ","756,763 ","20,570,579 "
Alaska,"505,389 ","541,251 ","501,320 ","546,134 ","604,383 ","578,327 ","695,499 ","565,255 ","502,439 ","507,052 ","13,381,676 "
Arizona,"644,309 ","762,180 ","781,411 ","810,072 ","810,783 ","821,774 ","867,716 ","691,978 ","736,008 ","770,945 ","17,732,115 "
Arkansas,"525,118 ","541,826 ","549,917 ","588,035 ","577,539 ","579,389 ","625,707 ","544,695 ","514,266 ","513,228 ","13,421,864 "
California,"3,313,664 ","4,232,975 ","4,071,785 ","4,044,914 ","3,999,691 ","3,943,077 ","4,559,503 ","4,135,542 ","3,775,722 ","3,662,857 ","96,674,922 "
Colorado,"491,843 ","554,380 ","583,649 ","567,233 ","598,641 ","582,122 ","615,213 ","553,506 ","776,158 ","522,061 ","14,733,998 "
Connecticut,"537,565 ","530,357 ","551,458 ","529,350 ","553,993 ","544,730 ","651,390 ","566,233 ","498,350 ","500,027 ","16,078,878 "
Delaware,"179,342 ","176,331 ","175,528 ","183,613 ","200,054 ","192,201 ","194,556 ","177,454 ","203,805 ","177,656 ","4,450,434 "
Dist. of Col.,"151,403 ","159,815 ","157,379 ","154,940 ","172,458 ","173,584 ","238,052 ","235,931 ","159,491 ","160,900 ","5,147,135 "
Florida,"1,715,000 ","2,003,500 ","1,765,811 ","2,062,167 ","2,062,252 ","1,801,157 ","2,394,902 ","1,870,910 ","1,874,002 ","1,887,552 ","46,113,028 "
Georgia,"1,231,422 ","1,343,422 ","1,445,524 ","1,357,856 ","1,433,381 ","1,370,557 ","1,591,007 ","1,266,079 ","1,268,860 ","1,271,040 ","32,373,286 "
Hawaii,"179,578 ","216,929 ","177,019 ","178,174 ","199,864 ","185,552 ","178,630 ","171,543 ","167,879 ","168,880 ","6,449,764 "
Idaho,"287,714 ","295,283 ","301,181 ","307,341 ","321,107 ","304,107 ","351,539 ","289,364 ","289,387 ","284,370 ","7,907,098 "
Illinois,"1,327,228 ","1,579,222 ","1,506,996 ","1,517,770 ","1,527,179 ","1,517,287 ","1,638,593 ","1,418,533 ","1,406,834 ","1,417,278 ","38,440,759 "
Indiana,"874,083 ","988,156 ","996,927 ","1,024,116 ","1,042,196 ","1,009,360 ","1,196,235 ","946,661 ","946,169 ","940,152 ","23,689,115 "
Iowa,"453,529 ","475,913 ","491,400 ","546,532 ","537,751 ","528,392 ","568,619 ","528,600 ","504,730 ","492,664 ","13,209,350 "
Kansas,"412,879 ","407,799 ","408,824 ","414,543 ","435,388 ","405,983 ","400,112 ","385,997 ","378,904 ","378,943 ","11,501,282 "
Kentucky,"652,702 ","700,301 ","707,323 ","747,102 ","744,958 ","713,695 ","789,944 ","676,450 ","648,982 ","659,597 ","17,758,195 "
Louisiana,"636,132 ","756,201 ","715,446 ","866,315 ","870,966 ","747,262 ","827,372 ","743,224 ","694,892 ","681,994 ","20,208,366 "
Maine,"202,236 ","202,084 ","201,990 ","208,246 ","221,680 ","200,312 ","190,519 ","190,519 ","184,148 ","185,188 ","5,404,599 "
Maryland,"601,258 ","661,588 ","644,238 ","646,306 ","694,160 ","640,155 ","695,143 ","639,087 ","594,563 ","596,591 ","19,259,330 "
Massachusetts,"664,280 ","654,592 ","639,622 ","637,623 ","679,614 ","654,384 ","686,029 ","658,105 ","589,048 ","589,760 ","22,572,656 "
Michigan,"1,117,754 ","1,171,364 ","1,138,389 ","1,145,080 ","1,163,503 ","1,127,324 ","1,197,685 ","1,047,102 ","1,045,406 ","1,054,516 ","30,033,305 "
Minnesota,"618,540 ","733,286 ","1,026,476 ","722,409 ","797,416 ","726,119 ","744,710 ","647,694 ","650,302 ","657,118 ","18,508,353 "
Mississippi,"560,675 ","537,044 ","516,493 ","582,867 ","544,862 ","514,278 ","529,979 ","476,384 ","493,626 ","488,544 ","13,746,178 "
Missouri,"969,813 ","979,126 ","1,001,497 ","1,024,129 ","1,077,106 ","1,059,295 ","1,162,929 ","1,003,148 ","943,945 ","942,084 ","24,272,125 "
Montana,"397,200 ","415,349 ","414,912 ","422,905 ","431,969 ","449,214 ","550,278 ","463,446 ","403,831 ","405,400 ","10,729,084 "
Nebraska,"298,911 ","299,915 ","310,088 ","310,762 ","326,414 ","317,335 ","320,028 ","297,712 ","284,247 ","286,711 ","8,078,873 "
Nevada,"299,915 ","321,892 ","373,545 ","372,323 ","410,421 ","387,106 ","432,609 ","378,880 ","363,416 ","372,911 ","8,246,857 "
New Hampshire,"183,895 ","178,129 ","177,103 ","181,712 ","186,587 ","180,007 ","191,104 ","171,907 ","168,754 ","164,094 ","4,891,635 "
New Jersey,"934,267 ","1,044,152 ","1,089,938 ","1,064,125 ","1,074,263 ","1,053,593 ","1,251,879 ","1,083,076 ","1,065,792 ","985,749 ","27,229,200 "
New Mexico,"367,886 ","389,821 ","383,330 ","407,937 ","416,431 ","399,172 ","451,559 ","392,762 ","374,523 ","377,038 ","10,047,503 "
New York,"1,765,147 ","1,786,606 ","1,768,110 ","1,890,156 ","1,752,770 ","1,794,701 ","1,888,868 ","1,734,074 ","1,664,984 ","1,667,836 ","51,021,087 "
North Carolina,"1,002,457 ","1,111,941 ","1,103,383 ","1,134,886 ","1,149,695 ","1,129,450 ","1,271,170 ","1,064,619 ","1,062,099 ","1,034,208 ","26,599,854 "
North Dakota,"257,033 ","252,257 ","250,074 ","316,462 ","381,812 ","320,796 ","582,676 ","563,299 ","247,867 ","256,172 ","7,321,799 "
Ohio,"1,336,330 ","1,536,682 ","1,427,029 ","1,437,003 ","1,473,065 ","1,443,031 ","1,722,136 ","1,488,737 ","1,335,801 ","1,357,472 ","36,762,528 "
Oklahoma,"658,552 ","677,902 ","675,241 ","709,984 ","670,233 ","673,402 ","701,345 ","625,631 ","622,716 ","627,380 ","15,465,383 "
Oregon,"507,961 ","544,644 ","519,695 ","562,651 ","561,463 ","545,102 ","609,890 ","573,405 ","507,927 ","500,497 ","13,906,436 "
Pennsylvania,"1,735,798 ","1,723,126 ","1,737,192 ","1,705,253 ","1,784,735 ","1,751,749 ","1,822,815 ","1,645,820 ","1,620,308 ","1,619,041 ","46,682,916 "
Rhode Island,"240,581 ","241,579 ","228,913 ","237,437 ","254,072 ","266,917 ","226,082 ","226,082 ","215,105 ","218,930 ","6,233,801 "
South Carolina,"597,083 ","650,292 ","673,927 ","671,243 ","687,554 ","667,316 ","772,295 ","640,068 ","668,114 ","661,614 ","15,444,560 "
South Dakota,"289,894 ","297,765 ","292,126 ","304,016 ","326,838 ","323,705 ","350,743 ","312,777 ","278,180 ","284,352 ","7,472,766 "
Tennessee,"821,714 ","924,124 ","908,894 ","918,904 ","948,059 ","956,474 ","1,013,136 ","855,581 ","844,174 ","846,000 ","22,379,643 "
Texas,"2,824,186 ","3,216,831 ","3,120,314 ","3,442,894 ","3,465,384 ","3,356,999 ","3,904,117 ","3,118,901 ","3,398,951 ","3,396,355 ","74,408,729 "
Utah,"312,762 ","319,569 ","324,267 ","348,593 ","366,401 ","357,765 ","387,578 ","343,006 ","342,512 ","344,143 ","9,389,237 "
Vermont,"221,360 ","221,461 ","211,951 ","217,196 ","225,843 ","229,363 ","361,195 ","359,919 ","213,212 ","208,495 ","5,302,320 "
Virginia,"971,692 ","1,102,630 ","1,068,458 ","1,091,429 ","1,108,700 ","1,099,566 ","1,218,685 ","1,035,629 ","1,007,263 ","1,007,527 ","27,379,222 "
Washington,"707,723 ","759,593 ","811,562 ","853,686 ","798,105 ","778,149 ","808,449 ","776,128 ","737,712 ","667,616 ","21,937,079 "
West Virginia,"478,191 ","449,142 ","475,101 ","475,998 ","493,738 ","475,944 ","539,231 ","446,971 ","432,414 ","555,109 ","13,352,238 "
Wisconsin,"735,334 ","765,287 ","778,407 ","833,388 ","821,197 ","814,391 ","987,071 ","804,323 ","758,551 ","753,432 ","19,087,927 "
Wyoming,"263,319 ","272,733 ","264,569 ","282,567 ","303,800 ","289,810 ","345,386 ","315,447 ","265,363 ","252,916 ","7,295,376 "
 Total,"37,839,054 ","41,525,815 ","41,238,918 ","42,413,688 ","43,123,881 ","41,789,074 ","47,164,139 ","40,902,369 ","39,487,484 ","39,118,758 ","1,050,304,443 "
American Samoa," 14,139 "," 15,180 "," 4,882 "," 28,383 "," 21,720 "," 18,105 "," 20,770 "," 20,770 "," 8,411 "," 6,118 "," 243,806 "
Guam," 26,990 "," 24,387 "," 21,742 "," 81,699 "," 16,598 "," 22,994 "," 22,054 "," 22,054 "," 46,028 "," 30,533 "," 571,092 "
N. Marianas," 12,728 "," 11,672 "," 6,462 "," 22,461 "," 6,426 "," 8,364 "," 7,919 "," 7,919 "," 272,114 "," 265,230 "," 667,053 "
Puerto Rico," 116,786 "," 201,031 "," 12,726 "," 258,093 "," 248,323 "," 268,717 "," 287,292 "," 287,292 "," 3,790 "," 9,928 "," 3,394,350 "
Virgin Islands," 34,581 "," 31,196 "," 19,719 "," 63,867 "," 16,840 "," 24,572 "," 26,438 "," 26,438 "," 37,553 "," 23,786 "," 541,812 "
 Grand Total,"38,044,278 ","41,809,281 ","41,304,449 ","42,868,191 ","43,433,788 ","42,131,826 ","47,528,612 ","41,266,842 ","39,855,380 ","39,454,353 ","1,055,722,556 "
