,STATE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 (5)
0,Alabama,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
1,Alaska,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2,Arizona,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,18.0,26.0
3,Arkansas,20.5,20.5,22.7,22.7,22.7,22.7,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22.5
4,California,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,13.0,10.0,10.0,36.0,13.0
5,Colorado,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.0,20.5
6,Connecticut,18.0,18.0,18.0,26.0,26.0,26.0,26.0,37.0,43.0,43.4,39.6,39.6,51.2,51.2,25.0,54.5
7,Delaware,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,22.0
8,Dist. of Col.,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.5,23.5,23.5,23.5
9,Florida,25.4,25.9,26.4,26.7,27.0,27.3,27.9,28.5,15.6,16.1,16.0,16.2,16.6,16.9,17.1,17.3
10,Georgia,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,29.0
11,Hawaii,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
12,Idaho,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,32.0
13,Illinois,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,19.0,21.5
14,Indiana,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,16.0
15,Iowa,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.0,32.5
16,Kansas,22.0,22.0,23.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,26.0
17,Kentucky,13.4,13.4,13.4,13.4,13.4,15.5,16.7,18.0,19.5,21.1,22.6,23.4,25.5,27.9,30.5,21.6
18,Louisiana,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
19,Maine,20.0,20.0,23.0,23.0,26.8,27.0,27.9,28.8,29.8,30.7,30.7,30.7,31.2,31.2,30.0,31.2
20,Maryland,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.3,27.0,32.9
21,Massachusetts,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,24.0
22,Michigan,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,15.0
23,Minnesota,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.1,27.5,28.0,28.5,28.5,28.5,28.5
24,Mississippi,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
25,Missouri,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
26,Montana,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,27.75,27.75,28.5,28.5,28.5,28.5,27.8,28.5
27,Nebraska,22.8,22.8,24.5,24.5,24.6,25.3,27.1,27.1,26.0,26.0,27.1,26.3,26.2,26.3,26.4,26.1
28,Nevada,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,24.0,27.0
29,New Hampshire,19.5,19.5,19.5,19.5,19.5,19.5,19.6,19.6,19.6,19.6,19.6,19.6,19.625,19.625,23.825,23.825
30,New Jersey,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,13.5
31,New Mexico,19.0,19.5,19.875,19.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,21.0,17.0,21.0
32,New York,19.65,20.25,20.85,20.25,20.85,21.45,22.15,22.85,22.65,23.35,22.55,23.25,24.05,24.9,26.5,24.1
33,North Carolina,22.0,24.3,24.2,23.4,24.3,26.6,29.9,29.9,30.2,30.15,32.15,35.25,35.25,37.8,36.8,36.3
34,North Dakota,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
35,Ohio,22.0,22.0,22.0,24.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
36,Oklahoma,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,14.0
37,Oregon,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,30.0,30.0,30.0,30.0
38,Pennsylvania,30.8,30.9,31.8,30.8,31.2,36.4,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,40.7,64.2
39,Rhode Island,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,33.0
40,South Carolina,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
41,South Dakota,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0
42,Tennessee,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0,17.0
43,Texas,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
44,Utah,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
45,Vermont,19.0,19.0,19.0,19.0,19.0,19.0,19.0,26.0,27.0,26.0,29.0,29.0,29.0,44.8,19.2,31.0
46,Virginia,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.5,17.5,17.5,17.5,17.5,17.5,20.2,11.1,20.2
47,Washington,23.0,23.0,23.0,23.0,28.0,31.0,34.0,36.0,38.0,37.5,37.5,37.5,37.5,37.5,37.5,44.5
48,West Virginia,25.35,25.35,25.65,25.35,25.35,27.0,27.0,32.0,32.2,32.2,32.2,32.2,33.4,34.7,35.7,34.6
49,Wisconsin,25.8,26.4,27.3,28.1,28.5,29.1,29.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
50,Wyoming,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,24.0,24.0,24.0
51,State Average (3),19.96,20.37,19.73,20.0,19.39,20.0,20.47,20.51,20.77,21.38,22.36,22.65,21.898000000000003,22.296999999999997,23.77,
