,STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),OTHER FREEWAYS & EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL (3),NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2).1,< 60.1,60-94.1,95-119.1,120-144.1,145-170.1,171-194.1,195-220.1,> 220.1,TOTAL REPORTED.1,NOT REPORTED (2).2,< 60.2,60-94.2,95-119.2,120-144.2,145-170.2,171-194.2,195-220.2,> 220.2,TOTAL REPORTED.2
39,Rhode Island,-,4,2,3,1,1,0,-,-,11,-,0,12,13,18,18,13,9,14,97,0,5,9,9,13,11,9,8,8,72,,,,
40,South Carolina,-,5,28,9,3,0,-,-,-,45,-,38,673,379,302,78,36,24,15,1546,-,330,943,908,398,228,178,-,-,2986,,,,
41,South Dakota,-,81,127,40,27,11,4,1,1,291,-,298,1072,588,298,162,84,50,42,2593,5,462,1207,556,325,191,109,73,39,2962,,,,
42,Tennessee,-,-,-,-,-,-,-,-,-,-,9,779,657,157,68,40,16,7,6,1729,17,1003,1132,301,150,98,31,122,98,2936,,,,
43,Texas,-,0,2,1,0,0,0,-,-,4,18,1764,3695,1590,761,340,140,70,60,8420,80,1056,3752,2325,1323,717,278,115,130,9697,,,,
44,Utah,-,0,4,3,1,1,-,0,-,9,326,163,409,143,66,33,12,6,5,838,2,40,195,147,107,87,47,19,14,655,,,,
45,Vermont,-,0,1,0,-,-,-,-,-,2,1,57,143,50,27,13,7,6,7,311,5,167,316,74,50,30,25,21,44,727,,,,
46,Virginia,7,15,51,11,2,1,0,0,0,81,23,153,681,265,104,41,17,9,4,1273,14,150,1528,901,342,148,59,37,18,3182,,,,
47,Washington,-,144,268,107,39,19,13,10,13,614,-,204,647,247,108,54,24,13,15,1312,10,285,705,394,249,179,85,68,56,2021,,,,
48,West Virginia,-,1,5,2,1,0,0,-,-,9,5,92,401,216,127,66,35,22,30,990,362,5,354,353,229,119,60,50,27,1197,,,,
49,Wisconsin,-,36,34,26,25,12,5,3,1,142,-,670,977,528,335,164,96,64,97,2931,11,1038,1019,734,640,444,273,194,404,4746,,,,
50,Wyoming,-,-,-,-,-,-,-,-,-,-,29,445,921,336,147,62,23,12,9,1955,4,194,557,235,112,64,29,19,17,1227,,,,
51,U.S. Total,72,2244,2403,642,303,144,68,36,34,5876,1463,24161,36561,13340,6742,3488,1686,986,1192,88155,1387,21026,48927,23458,13818,8350,4101,2526,3297,125503,,,,
52,Puerto Rico (4),-,-,-,-,-,-,-,-,-,-,1,-,1,3,23,6,2,-,7,42,13,-,-,-,-,18,30,38,132,218,,,,
53,Grand Total,72,2244,2403,642,303,144,68,36,34,5876,1464,24161,36562,13343,6765,3494,1688,986,1199,88197,1400,21026,48927,23458,13818,8368,4131,2564,3429,125721,,,,
