STATE,JANUARY,FEBRUARY,MARCH ,APRIL,MAY ,JUNE ,JULY ,AUGUST ,SEPTEMBER ,OCTOBER ,NOVEMBER,DECEMBER ,TOTAL (1),CHANGE FROM PREVIOUS YEAR,
,,,,,,,,,,,,,,GALLONS,PERCENT
Missouri,"64,374 ","84,759 ","97,375 ","67,944 ","79,806 ","106,058 ","69,890 ","97,826 ","94,627 ","79,549 ","85,019 ","94,799 "," 1,022,026 "," 62,063 ",6.5 
Montana,"21,266 ","18,853 ","20,829 ","21,831 ","22,614 ","23,391 ","26,263 ","24,653 ","23,951 ","25,912 ","20,978 ","20,015 "," 270,556 "," 5,472 ",2.1 
Nebraska,"33,185 ","29,536 ","40,080 ","34,621 ","33,114 ","41,881 ","35,482 ","35,728 ","44,207 ","41,279 ","34,735 ","40,228 "," 444,076 "," 14,326 ",3.3 
Nevada,"26,679 ","24,392 ","20,028 ","30,338 ","29,771 ","14,625 ","30,595 ","33,221 ","24,064 ","32,913 ","28,613 ","15,323 "," 310,562 "," (3,692)",(1.2)
New Hampshire,"8,188 ","8,428 ","6,612 ","8,263 ","8,268 ","8,022 ","9,946 ","8,556 ","7,836 ","9,853 ","8,304 ","9,246 "," 101,522 "," 9,234 ",10.0 
New Jersey,"64,833 ","61,085 ","70,475 ","67,868 ","70,126 ","7,141 ","72,855 ","69,744 ","66,538 ","72,861 ","66,293 ","68,318 "," 758,137 "," (35,894)",(4.5)
New Mexico,"45,056 ","38,437 ","44,850 ","49,695 ","44,290 ","44,145 ","44,167 ","46,863 ","42,991 ","44,437 ","49,388 ","42,745 "," 537,064 "," 30,496 ",6.0 
New York,"104,885 ","106,751 ","147,085 ","90,945 ","94,621 ","139,134 ","98,941 ","132,997 ","141,017 ","105,024 ","93,569 ","142,178 "," 1,397,147 "," 45,954 ",3.4 
North Carolina,"80,184 ","83,892 ","86,812 ","85,749 ","87,980 ","101,313 ","84,461 ","98,839 ","89,091 ","93,536 ","92,845 ","84,074 "," 1,068,776 "," 85,293 ",8.7 
North Dakota,"35,363 ","26,871 ","31,246 ","30,032 ","26,634 ","31,528 ","30,706 ","30,291 ","25,970 ","36,058 ","21,932 ","27,507 "," 354,138 "," (40,540)",(10.3)
Ohio,"139,053 ","114,957 ","139,383 ","135,162 ","121,083 ","136,984 ","128,585 ","137,680 ","139,298 ","135,134 ","128,182 ","130,789 "," 1,586,290 "," 82,571 ",5.5 
