,STATE,RURAL,URBAN,TOTAL,INTERSTATE,NON-INTERSTATE,TOTAL.1,INTERSTATE.1,NON-INTERSTATE.1,TOTAL.2
0,Alabama,571,626,1197,430,310,740,1937,,
1,Alaska,1002,291,1294,79,5,84,1377,,
2,Arizona,917,264,1181,252,43,295,1476,,
3,Arkansas,410,330,740,293,74,368,1108,,
4,California,1209,1208,2418,1241,768,2009,4427,,
5,Colorado,648,28,676,304,30,334,1010,,
6,Connecticut,29,-,29,317,2,320,349,,
7,Delaware,-,20,20,41,25,66,86,,
8,Dist. of Columbia,-,-,-,12,0,12,12,,
9,Florida,717,229,947,778,325,1103,2050,,
10,Georgia,536,643,1179,712,278,989,2168,,
11,Hawaii,-,11,11,55,79,134,145,,
12,Idaho,521,117,638,90,13,103,741,,
13,Illinois,1243,-,1243,942,12,953,2197,,
14,Indiana,768,58,825,498,4,502,1327,,
15,Iowa,612,3,615,176,-,176,791,,
16,Kansas,639,3,643,234,15,250,892,,
17,Kentucky,622,13,635,220,15,236,871,,
18,Louisiana,532,266,798,405,78,482,1281,,
19,Maine,299,-,299,66,-,66,365,,
20,Maryland,142,91,233,338,125,463,696,,
21,Massachusetts,64,-,64,510,24,534,599,,
22,Michigan,566,-,566,686,-,686,1252,,
23,Minnesota,594,166,760,320,37,357,1117,,
24,Mississippi,554,291,845,253,70,323,1168,,
25,Missouri,842,328,1170,538,54,592,1762,,
26,Montana,1094,208,1302,98,15,113,1415,,
27,Nebraska,415,-,415,67,-,67,482,,
28,Nevada,448,1269,1717,150,120,270,1987,,
29,New Hampshire,142,-,142,83,-,83,225,,
30,New Jersey,45,7,52,387,70,457,509,,
31,New Mexico,847,398,1244,153,35,189,1433,,
32,New York,803,5,808,941,21,962,1770,,
33,North Carolina,551,653,1204,720,373,1093,2297,,
34,North Dakota,511,123,634,60,17,77,711,,
35,Ohio,643,142,785,931,57,988,1773,,
36,Oklahoma,646,112,758,286,19,305,1064,,
37,Oregon,495,500,995,234,94,328,1323,,
38,Pennsylvania,1112,116,1228,756,69,825,2053,,
39,Rhode Island,18,-,18,52,14,66,84,,
40,South Carolina,546,160,706,304,155,460,1166,,
41,South Dakota,591,-,591,88,-,88,679,,
42,Tennessee,573,52,625,531,59,590,1216,,
43,Texas,2001,2229,4230,1416,564,1980,6210,,
44,Utah,684,12,696,253,26,279,975,,
45,Vermont,259,-,259,62,-,62,320,,
46,Virginia,469,256,725,653,291,944,1669,,
47,Washington,429,116,545,335,100,435,980,,
48,West Virginia,309,57,366,245,25,270,636,,
49,Wisconsin,512,108,621,363,8,371,992,,
50,Wyoming,808,52,860,106,0,106,966,,
51,U.S. Total,28990,11561,40551,19063,4521,23584,64136,,
52,Puerto Rico (2),31,-,31,234,22,256,287,,
53,Grand Total,29021,11561,40582,19297,4543,23840,64423,,
