STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,OTHER PRINCIPAL    ARTERIAL,,,,MINOR ARTERIAL,,,,,
,PAVED (2),,,,PAVED (2),,,,PAVED (2),,,,UNPAVED,PAVED (2),,,,TOTAL
,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,
Oregon,87 ,46 ,101 ,234 ,56 ,1 ,-,57 ,802 ,20 ,34 ,856 ,-,"1,265 ",15 ,6 ,"1,286 ","1,286 "
Pennsylvania,113 ,160 ,480 ,753 ,46 ,199 ,274 ,519 ,976 ,151 ,"1,677 ","2,804 ",-,"2,300 ",87 ,"1,589 ","3,976 ","3,976 "
Rhode Island,30 ,-,23 ,52 ,62 ,-,19 ,80 ,305 ,-,36 ,341 ,-,329 ,3 ,11 ,343 ,343 
South Carolina,112 ,67 ,125 ,304 ,76 ,8 ,-,84 ,"1,059 ",-,-,"1,059 ",-,"1,767 ",-,-,"1,767 ","1,767 "
South Dakota,-,74 ,14 ,88 ,2 ,14 ,2 ,18 ,23 ,91 ,21 ,134 ,9 ,256 ,159 ,7 ,422 ,431 
Tennessee,506 ,21 ,3 ,530 ,150 ,12 ,-,162 ,"1,738 ",17 ,39 ,"1,795 ",-,"2,655 ",6 ,11 ,"2,672 ","2,672 "
Texas,523 ,584 ,308 ,"1,415 ",529 ,845 ,120 ,"1,494 ","3,979 ","1,216 ",885 ,"6,080 ",28 ,"5,569 ","2,054 ",294 ,"7,917 ","7,945 "
Utah,114 ,138 ,-,252 ,29 ,12 ,-,41 ,508 ,88 ,-,597 ,-,148 ,5 ,-,153 ,153 
Vermont,62 ,-,-,62 ,16 ,-,-,16 ,84 ,-,28 ,113 ,-,111 ,-,40 ,151 ,151 
Virginia,520 ,108 ,22 ,651 ,302 ,43 ,2 ,347 ,"1,614 ",43 ,-,"1,658 ",-,"2,579 ",113 ,-,"2,692 ","2,692 "
Washington,139 ,160 ,36 ,335 ,343 ,57 ,16 ,417 ,"1,097 ",48 ,295 ,"1,441 ",-,"2,471 ",26 ,214 ,"2,711 ","2,711 "
West Virginia,227 ,16 ,-,243 ,5 ,9 ,-,14 ,388 ,22 ,-,411 ,0 ,759 ,2 ,-,761 ,761 
Wisconsin,54 ,102 ,191 ,346 ,42 ,192 ,77 ,311 ,663 ,745 ,525 ,"1,933 ",437 ,"1,238 ",706 ,289 ,"2,233 ","2,670 "
Wyoming,23 ,53 ,30 ,106 ,3 ,-,-,3 ,191 ,38 ,-,229 ,-,206 ,31 ,-,236 ,236 
U.S. Total,"8,293 ","4,962 ","5,544 ","18,798 ","5,808 ","3,395 ","2,623 ","11,826 ","43,241 ","6,910 ","16,155 ","66,307 ",751 ,"83,045 ","8,259 ","16,980 ","108,283 ","109,035 "
Puerto Rico (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grand Total,"8,293 ","4,962 ","5,544 ","18,798 ","5,808 ","3,395 ","2,623 ","11,826 ","43,241 ","6,910 ","16,155 ","66,307 ",751 ,"83,045 ","8,259 ","16,980 ","108,283 ","109,035 "
