STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER FREEWAYS & EXPRESSWAYS ,,,,,,,,,,OTHER PRINCIPAL ARTERIAL ,,,,,,,,,,MINOR ARTERIAL (3),,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Kansas,1 ,169 ,188 ,31 ,10 ,3 ,1 ,0 ,0 ,403 ,7 ,"1,513 ",838 ,148 ,61 ,30 ,13 ,8 ,9 ,"2,620 ",34 ,"2,080 ","1,615 ",326 ,82 ,55 ,37 ,24 ,13 ,"4,231 "
Kentucky,4 ,306 ,131 ,23 ,14 ,8 ,3 ,1 ,1 ,487 ,169 ,454 ,421 ,99 ,40 ,17 ,7 ,4 ,4 ,"1,047 ",21 ,157 ,619 ,310 ,153 ,76 ,31 ,13 ,16 ,"1,374 "
Louisiana,0 ,0 ,8 ,7 ,5 ,2 ,1 ,1 ,0 ,24 ,2 ,153 ,437 ,172 ,104 ,67 ,43 ,25 ,29 ,"1,029 ",17 ,219 ,776 ,347 ,218 ,142 ,73 ,36 ,63 ,"1,874 "
Maine,-,-,-,-,-,-,-,-,-,-,-,142 ,386 ,108 ,63 ,47 ,18 ,14 ,12 ,789 ,5 ,129 ,413 ,150 ,102 ,58 ,40 ,26 ,35 ,953 
Maryland,-,-,-,-,-,-,-,-,-,-,1 ,150 ,134 ,22 ,11 ,8 ,5 ,2 ,4 ,334 ,3 ,187 ,352 ,111 ,48 ,20 ,3 ,3 ,0 ,726 
Massachusetts,-,3 ,4 ,1 ,1 ,1 ,0 ,0 ,0 ,10 ,-,12 ,37 ,26 ,15 ,6 ,3 ,2 ,3 ,105 ,1 ,9 ,103 ,57 ,47 ,46 ,28 ,16 ,10 ,315 
Michigan,1 ,188 ,99 ,28 ,10 ,9 ,6 ,2 ,2 ,344 ,0 ,921 ,804 ,206 ,95 ,52 ,22 ,12 ,19 ,"2,130 ",10 ,950 ,"2,129 ",673 ,335 ,217 ,126 ,86 ,157 ,"4,673 "
Minnesota,-,-,1 ,1 ,0 ,1 ,0 ,0 ,0 ,4 ,29 ,"1,172 ","1,104 ",518 ,294 ,174 ,91 ,50 ,49 ,"3,452 ",16 ,"2,093 ","2,088 ",791 ,456 ,316 ,157 ,211 ,409 ,"6,520 "
Mississippi,-,-,-,-,-,-,-,-,-,-,-,500 ,752 ,247 ,138 ,78 ,33 ,17 ,19 ,"1,783 ",30 ,497 ,"1,232 ",642 ,534 ,406 ,251 ,97 ,86 ,"3,746 "
Missouri,-,381 ,417 ,92 ,24 ,7 ,3 ,0 ,1 ,926 ,1 ,653 ,894 ,260 ,114 ,58 ,28 ,15 ,9 ,"2,032 ",25 ,173 ,"1,440 ","1,200 ",596 ,330 ,121 ,62 ,44 ,"3,965 "
