,STATE,NAME OF FACILITY,OBLIGATIONS OUTSTANDING BEGINNING OF YEAR,OBLIGATIONS ISSUED,OBLIGATIONS RETIRED,OBLIGATIONS OUTSTANDING END OF YEAR,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,ORIGINAL ISSUES,REFUNDING ISSUES,TOTAL,BY CURRENT REVENUES OR SINKING FUNDS,BY REFUNDING,TOTAL,,,,
1,California,Foothill/Eastern Toll Roads,2849473,2269,-,2269,2250,-,2250,2849492
2,Golden Gate Bridge,61000,-,-,-,-,-,-,61000,
3,State Route 91 Express Lanes,155460,-,-,-,20245,-,20245,135215,
4,San Joaquin Hills Toll Road,2943525,59511,-,59511,36890,-,36890,2966146,
5,Total,6009458,61780,-,61780,59385,-,59385,6011853,
6,Colorado,E-470 Beltway,1798043,136866,-,136866,133073,-,133073,1801836
7,Pikes Peak Toll Highway,494,-,-,-,62,-,62,432,
8,Total,1798537,136866,-,136866,133135,-,133135,1802268,
9,Florida,Biscayne Key (Rickenbacker) Causeway,15327,33725,-,33725,295,-,295,48757
10,Broad Causeway,14006,-,-,-,771,-,771,13235,
11,Card Sound Toll Bridge,-,-,-,-,-,-,-,-,
12,Lee County Toll Bridges 2/,143636,-,-,-,11331,-,11331,132305,
13,Osceola Parkway,247112,84775,-,84775,87745,-,87745,244142,
14,Pensacola Beach Bridge,14775,-,-,-,-,-,-,14775,
15,Venetian Causeway,-,-,-,-,-,-,-,-,
16,Total,434856,118500,-,118500,100142,-,100142,453214,
17,Massachusetts,"Woods Hole, Martha's Vineyard and Nantucket Ferries",35140,23801,-,23801,28270,-,28270,30671
18,New Jersey,Cape May County Bridges,13637,-,-,-,575,-,575,13062
19,Tacony-Palmyra and Burlington-Bristol Bridges,56914,-,-,-,2610,-,2610,54304,
20,Total,70551,-,-,-,3185,-,3185,67366,
21,New York,Atlantic Beach Bridge,10105,-,-,-,210,-,210,9895
22,Triborough Bridges and Tunnels,3230600,371586,-,371586,246545,-,246545,3355641,
23,Total,3240705,371586,-,371586,246755,-,246755,3365536,
24,Oregon,Hood River - White Salmon Bridge,6232,-,-,-,650,-,650,5582
25,Texas,Cameron County International Toll Bridge,18727,-,-,-,1645,-,1645,17082
26,Del Rio International Bridge,815,-,-,-,-,-,-,815,
27,Eagle Pass-Piedras Negras International Bridge,7255,-,-,-,1330,-,1330,5925,
28,Fort Bend Toll Road,151580,-,-,-,2345,-,2345,149235,
29,Harris County Toll Facilities 3/,2318163,-,-,-,105180,-,105180,2212983,
30,Laredo-Nuevo Laredo International Bridge,53780,36226,-,36226,25105,-,25105,64901,
31,McAllen International Toll Bridge,35645,-,-,-,1200,-,1200,34445,
32,Pharr-Reynosa International Toll Bridge,14650,-,-,-,530,-,530,14120,
33,Roma International Toll Bridge,-,-,-,-,-,-,-,-,
34,San Luis Pass-Vacek Bridge,3310,-,-,-,787,-,787,2523,
35,Zaragosa Bridge,11366,-,-,-,11366,-,11366,-,
36,Total,2615291,36226,-,36226,149488,-,149488,2502029,
37,Virginia,Chesapeake Expressway,177374,13580,-,13580,(247),-,(247),191201
38,Richmond Expressway System,157025,41,-,41,3725,-,3725,153341,
39,Total,334399,13621,-,13621,3478,-,3478,344542,
40,Washington,Puget Island Ferry,-,-,-,-,-,-,-,-
41,West Virginia,Steilacoom (Tacoma-McNeil-Anderson) Ferry,200,-,-,-,50,-,50,150
42,Grand Total,14545369,762380,-,762380,724538,-,724538,14583211,
